t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.0143530618725987,0.101956569531143,0.0304531132329036,-0.521263157701129,-0.0810606316506436,0.0634848521466035,0.435929801616791,-0.287415865505843,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,-0.00458242751407422,-0.0924595129338148,-0.0282008028549919,0.41323144782158,0.0823236207826236,-0.0423388903387747,-0.343550557158221,0.231362333638518,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,-0.00469967512652651,-0.0045238037077148,-0.0274969558610367,0.0609464746417287,0.00626926839890768,0.00180222640733169,-0.0389815195799578,0.0543230750613038,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.04,0.00524683065089858,-0.0242995676498479,-0.0868547189434208,0.0623556145383954,0.0184048807853644,-0.016711031779195,-0.0104738730632098,0.106406122240486,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.05,-0.00452380370735927,0.131327096407566,-0.0285527263549037,-0.638691482068424,-0.111405049930924,0.0696863394124927,0.567121397114762,-0.295153160890508,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.06,-0.00458242751371879,-0.0436063411409259,-0.0282008028571255,0.178374799031454,0.0400385808408102,-0.0178724277553778,-0.140269533424427,0.11374230613185,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.07,-0.0142944380654394,0.151395979381585,0.030101189730324,-0.758938086256822,-0.123882451823755,0.0881941702305262,0.64182644662798,-0.406142724671081,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.08,-0.0337770829754198,0.131854710664268,0.0887551058166197,-0.641509761861759,-0.0972112105690924,0.0952708591248017,0.510811100116346,-0.398100820610028,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.09,-0.0043479322862373,0.13132709640259,-0.0296084968605053,-0.638691482042796,-0.111493129193255,0.069534113263902,0.567650144124232,-0.294239334889305,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.1,0.0147243459759373,-0.00475829893404131,-0.144100941030065,0.061651044589528,-0.00325562892996769,-0.0151277444926584,0.0188058086171322,0.155602937205523,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.11,-0.00464105132025594,-0.00434793228534848,-0.027848879358281,-0.0564818497597443,0.00608768249657172,0.00183956362655913,0.0628352413001882,-0.00418233003737632,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.12,0.00524683065232029,-0.110945553121643,-0.0868547189476881,0.525727782501953,0.0934016276077633,-0.0601047498088314,-0.411547332799736,0.33847043646872,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.13,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.14,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.15,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.16,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.17,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.18,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.19,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.2,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.21,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.22,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.23,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.24,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.25,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.26,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
0.27,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,-0.144963141214248,265.976845571528
