t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,omega_seen,iq_ref
0,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.00464105132025594,-0.00464105132025594,-0.0557772798034009,-0.027848879358281,0,0,0,0,0,0,0,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00462701365855917,-0.00465504665046503,0.0276802987059917,-0.0558611321701058,1.5677762099521,-0.144963141214248,1952.73743818085,0,0,0,0,-0.00464105132025594
0.02,0.0634309582455077,0.0439776252404417,-0.319710765767702,-0.28957707363872,-0.0632978516007008,0.0441689932924414,0.31883475244306,-0.290541315408854,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.03,-0.0143335206050859,0.00509050050137684,0.030453113238238,-0.0555424231584063,0.0143488291192883,0.00504718844470883,-0.0306207187079786,-0.0554501980340491,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.04,0.00518820684311728,0.00520774811142981,-0.0867374111051379,-0.0562469930912535,-0.0051724551981687,0.00522339332828835,0.0865671433019348,-0.0565086932920193,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.05,-0.0340506607366828,-0.0145875570927044,0.0899281841332987,0.0623556145181023,0.0340064493870646,-0.0146903273830979,-0.0897394530560055,0.0626269233529129,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.06,-0.0339529543955646,-0.0144116856786916,0.0894589528164431,0.061651044589528,0.0339092746429532,-0.0145141616870374,-0.089272351759376,0.0619209395063157,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.07,0.00511004177013379,0.00516866557427145,-0.0863854876174962,-0.0560121364441225,-0.00509440851531019,0.00518407490207326,0.0862159307126949,-0.056272774867527,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.08,-0.0339724956635216,-0.0144507682146057,0.0895762606440567,0.0618859012291822,0.0339286977881458,-0.0145533030615365,-0.0893889497585866,0.062156149357702,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.09,-0.0339724956634328,-0.0144507682144281,0.0895762606435235,0.0618859012281148,0.0339286977880575,-0.0145533030613586,-0.0893889497580567,0.062156149356633,1.5677762099521,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.1,0.170878624311559,0.11235252449984,-0.905898003270504,-0.641509761942931,-0.170538527775403,0.112868084737433,0.903956440386294,-0.644242749964408,1.5677762099521,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.11,-0.0435867998801667,-0.0338357067894216,0.147526329773739,0.178374799073106,0.0434844134677938,-0.0339671895083383,-0.146986945056553,0.178819531662015,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.12,0.00503187670017128,0.00505141796777296,-0.0860335641437225,-0.055307566532635,-0.00501659790275621,0.00506659176300282,0.0858661367241074,-0.0555671453208706,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.13,-0.00462151005274321,-0.0143726031436661,-0.0279661871832271,0.0614161879552141,0.00457808210127572,-0.0143864950758309,0.0281515434237431,0.0613314468391101,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.14,-0.00469967512252728,-0.0144116856786916,-0.0276142637094566,0.061651044589528,0.00465612878094127,-0.0144258134999034,0.0278003308483357,0.0615673652507434,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.15,-0.0729573267510803,-0.0826693373008458,0.265068777566877,0.296037980057627,0.0727073233471675,-0.0828892995996187,-0.26417350077709,0.296837167424458,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.16,0.0345001099218897,0.00520774811605061,-0.20416255113041,-0.0562469931190211,-0.034484224598545,0.00531191857051708,0.203991747803971,-0.0568633304238311,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.17,-0.014372603139934,-0.0338747893180494,0.0305704210567846,0.0614161879327869,0.0142702319267251,-0.0339180417052304,-0.0303847978572424,0.0615082339443998,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.18,0.0245145216007301,0.02449498033144,-0.14433555668369,-0.172266177573625,-0.0244404322108398,0.0245689052279021,0.143814635240815,-0.172701301528303,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.19,0.0441144141259164,0.0245926866782463,-0.261995312367398,-0.172735890887114,-0.0440399402656128,0.0247258050046606,0.261472435744461,-0.17352635836931,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.2,-0.0924790542006172,-0.0339529543955646,0.440795910167872,0.179079368982457,0.0923760907117711,-0.0342320966760527,-0.440253060100061,0.180409805410931,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.21,-0.00458242751318536,0.0245926866789568,-0.0280834950263121,-0.172735890891383,0.00465667928913888,0.0245787350773192,0.0275616851697615,-0.172819918428217,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.22,-0.0437235887540002,-0.0339529543955646,0.148112868903805,0.061651044589528,0.0436208476168631,-0.0340848496975215,-0.147926000352656,0.0620980809168995,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.23,-0.043469552259007,-0.0337966242447996,0.146939790574329,0.178139942381124,0.0433672844150195,-0.0339277530409769,-0.146401117825657,0.178582904626887,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.24,-0.0435086347976738,-0.033796624245509,0.147057098412067,0.178139942385387,0.0434063667754463,-0.0339278710753402,-0.146518425128395,0.178583258913988,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
0.25,0.0440557903225782,0.0245926866803789,-0.261760696716438,-0.172735890899929,-0.0439813167296249,0.0247256279563265,0.261237821163438,-0.173525649816523,1.5677762099521,-0.144963141214248,1968.91227288472,0,0,0,0,-0.00464105132025594
