,Unnamed: 0.1,Unnamed: 0,t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf,omega_meta
0,0,113,0.0,0.0052468306524737,-0.024299567651423,-0.0868547189481486,0.0623556145478608,0.0184048807859389,-0.0167110317813472,-0.0104738730690348,0.106406122249319,2.61705109019401,-0.144963141214248,336.77989559602,-0.144963141214248,-0.909029425191451,-3.8191862
1,1,114,0.01,0.0147829697865332,-0.00487554654042,-0.144452864553275,0.0623556145225501,-0.0031835045965617,-0.0152372060516693,0.0183722145787272,0.156260405962627,2.61705109019401,-0.144963141214248,336.745007196783,-0.144963141214248,-0.218093478108374,-4.62804
2,2,115,0.02,-0.0145875571006663,-0.0725078775633828,0.0315088837362282,0.293689413533502,0.0700651420004668,-0.0236868108314762,-0.269984097708191,0.119811803928702,2.61705109019401,-0.144963141214248,336.813082121619,-0.144963141214248,8.93847648720162,4.755035
3,3,116,0.03,0.0052468306486132,-0.0237719534006116,-0.0868547189365612,0.0602419047192597,0.0179482023604424,-0.0164467939843814,-0.0086443438703404,0.105347541996976,2.61705109019401,-0.144963141214248,333.728039991515,-0.144963141214248,1.53526699808409,35.68967
4,4,117,0.04,-0.0045824275127553,0.218617943736249,-0.0282008028629095,-1.10558649971392,-0.186930599517213,0.113453756788881,0.971067823160608,-0.529286384156923,2.61705109019401,-0.144963141214248,339.831751200523,-0.144963141214248,3.9207744740136,64.42161
5,5,118,0.05,0.0051295830381796,0.06346027016182,-0.086502795445643,-0.289929358651983,-0.0574972454579097,0.0273420057038552,0.294271413531866,-0.070328527684136,2.61705109019401,-0.144963141214248,336.77989559602,-0.144963141214248,20.8521583891625,59.13038
6,6,119,0.06,0.0147829697812582,0.131327096390343,-0.144452864521609,-0.638691481979712,-0.121074195927128,0.0529752916223364,0.625166070287108,-0.194835376109459,2.61705109019401,-0.144963141214248,336.753516562193,-0.144963141214248,25.214457537516,82.07718
7,7,120,0.07,0.0051295830381796,0.101546202899939,-0.086502795445643,-0.519149447920416,-0.0904626626036647,0.0464160599383096,0.492673692737651,-0.185125674557123,2.61705109019401,-0.144963141214248,339.831751200523,-0.144963141214248,29.9402855200115,81.26166
8,8,121,0.08,0.0148415935887588,-0.004523803704543,-0.144804788026237,0.0609464746226689,-0.0035173166363828,-0.0151117895661153,0.0197681497233786,0.15585929443177,2.61705109019401,-0.144963141214248,333.728039991515,-0.144963141214248,37.5110529935301,83.63876
9,9,122,0.09,-0.0046410513202559,-0.0434890935309983,-0.027848879358281,0.295098553492289,0.0399664565022998,-0.0177629661981027,-0.241476451239139,0.17189485114949,2.61705109019401,-0.144963141214248,339.81047778622,-0.144963141214248,37.0371766418513,80.80787
10,10,123,0.1,0.0051295830381796,0.0634602701486216,-0.086502795445643,-0.289224788651261,-0.0574972454464858,0.0273420056972452,0.293661570413624,-0.0699756675743902,2.61705109019401,-0.144963141214248,339.831751200523,-0.144963141214248,27.8648548020337,85.8894
11,11,124,0.1100000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,31.3829651021973,91.44904
12,12,125,0.1200000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,32.7033703229088,96.568886
13,13,126,0.1300000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,36.4090978250691,102.62258
14,14,127,0.1400000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,32.6213145126039,101.052444
15,15,128,0.1500000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,37.6905706810759,99.68636
16,16,129,0.1600000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,32.3219113282769,95.72074
17,17,130,0.1700000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,37.6493519988908,93.39618
18,18,131,0.1800000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,31.9370443082192,93.171524
19,19,132,0.1900000000000001,-0.0046410513202559,-0.0046410513202559,-0.027848879358281,-0.0557772798034009,0.0063413927398136,0.0016927648489784,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,333.728039991515,92.9366327961561,36.8611840289886,92.24633
