t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,1383.5071399967,-3.0627282751913e-24,0,0,0,0
0.01,0.0610468157042294,120.070591616872,1383.5071399967,0.177531336974093,7.48486794006344,10,-1.1808022915242,18.9483350374837
0.02,0.25070616474273,239.887088757209,1383.5071399967,0.183508777058295,7.60485215834761,10,-1.52180857401607,21.7171611923501
0.03,0.558698933148874,348.247661984728,1383.5071399967,0.241810923523789,7.7797873587289,10,-2.37604231896098,23.9483218266477
0.04,0.975801383202558,447.891016068169,1383.5071399967,0.575544463547348,7.90221073615776,10,-4.99718259184376,26.3019669579539
0.05,1.49380440924358,540.177372115105,1383.5071399967,0.375673688007528,7.99872543246563,10,-4.50483369527692,28.6447083498859
0.06,2.10464723879948,625.299190953455,1383.5071399967,0.556371956698652,8.19926728189467,10,-6.36117921352685,30.1896259361177
0.07,2.80133052626737,704.563634551896,1383.5071399967,0.666739131180861,8.18324952926283,10,-7.90724084822712,32.8713807124484
0.08,3.57767113282374,777.63761505102,1383.5071399967,0.429814219682493,8.35834970240829,10,-7.3437099027173,34.2209265431761
0.09,4.42803891370769,845.893317376955,1383.5071399967,0.471863546801432,8.18380159853008,10,-8.51661143262977,37.4853466682948
0.1,5.3469677283786,908.761846685099,1383.5071399967,0.309269291246904,8.33215574397699,10,-8.45820223294403,38.7029832790824
0.11,0.046176742995609,966.870096393608,1383.5071399967,0.876515265214724,8.86842132739087,10,-12.7540541743705,37.4241426009574
0.12,1.08740688209694,1020.9421555079,1383.5071399967,0.573905786827722,8.79982574858418,10,-11.8514332326696,39.674617042101
0.13,2.18358178379045,1071.72520666801,1383.5071399967,0.860895286872292,8.85649703232914,10,-14.4953050419181,41.0288167115751
0.14,3.33063420936867,1118.31704526893,1383.5071399967,0.844055282705777,9.08241849319517,10,-15.2319996669459,41.237840002811
0.15,4.52509501720718,1162.01752128082,1383.5071399967,0.864001432517106,9.05731051286489,10,-16.2224354256262,42.8345886115004
0.16,5.76327460775623,1202.1850293333,1383.5071399967,0.971936665190579,9.14502128670474,10,-17.7427546644426,43.6091463402488
0.17,0.759080713335413,1239.90751764859,1383.5071399967,0.773988279989584,9.16662281818171,10,-17.3233386055988,44.593860041151
0.18,2.07561542520345,1274.17554417351,1383.5071399967,0.208462176043518,9.11644057113405,10,-14.6826140344253,45.8976506694531
0.19,3.42628457126813,1304.9810199594,1383.5071399967,0.835283145302648,9.12309870745662,10,-19.1208273585007,46.7348528322041
0.2,4.80820885419356,1333.72261759667,1383.5071399967,0.670287454011552,9.24288922845233,10,-18.777202153557,46.7478759158606
0.21,6.21864716031076,1359.58449571639,1383.5071399967,0.00296848491526891,8.88054630519401,10,-15.3989596616655,48
0.22,1.37067450033411,1376.76689127312,1383.5071399967,-0.0453225937117381,7.47230731276067,7.47588300704956,-15.5763703027953,43.1285972201008
0.23,2.81265692448,1377.08428896257,1383.5071399967,0.360947444622445,7.76936584947744,7.92288732528687,-18.1013376869037,44.1664924122048
0.24,4.25456532432625,1377.13884441877,1383.5071399967,0.465919899711713,8.17359047917886,8.03024291992188,-18.7623226433599,42.5057876370202
0.25,5.69670561754718,1377.05074411184,1383.5071399967,0.109331133367182,7.8804963385544,7.94374656677246,-16.6845524717487,43.7723651662035
0.26,0.855515145566375,1376.97103016568,1383.5071399967,-0.40705791879451,7.62060090999903,7.95589208602905,-13.6396041279445,45.4378016382145
0.27,2.29741106866798,1377.02731968009,1383.5071399967,-0.0717925996859528,7.71117483707904,8.1044397354126,-15.6612200759254,45.8418234017928
0.28,3.7395652861482,1376.95988350388,1383.5071399967,0.27423656865297,7.9388209224587,8.06437301635742,-17.798166883444,44.2523119724593
0.29,5.18155342158185,1376.93770809084,1383.5071399967,0.389802930661527,7.78414740905834,8.01888656616211,-18.5325378119896,44.9190660469193
0.3,0.340440527237316,1377.06091133129,1383.5071399967,0.275490912063923,7.96493815567191,7.85867881774902,-17.8103844413532,42.8893845843142
0.31,1.78256047857815,1377.20624062445,1383.5071399967,-0.182691290592986,7.88217673172092,7.92213296890259,-15.1173220333244,43.7958786595665
0.32,3.22444750786558,1377.06494006152,1383.5071399967,-0.386100469057851,7.52836678968272,7.92289686203003,-13.9418106823567,45.9397477486281
0.33,4.6665056047286,1377.14621176119,1383.5071399967,-0.0423091935224753,7.90886852139958,7.94588232040405,-15.9614915221719,43.8303967964228
0.34,6.10858780289409,1377.14465578546,1383.5071399967,0.34341905120632,7.86528331953508,7.93652868270874,-18.3077007158372,44.0544899708482
0.35,1.26737667076048,1377.00026802117,1383.5071399967,0.499375125669095,7.94782767095245,7.97613573074341,-19.2341157643851,43.8025857174241
0.36,2.70954057841048,1377.09907906984,1383.5071399967,0.128633488222819,7.93439031930374,7.87825679779053,-17.0064368363828,43.2745291863171
0.37,4.15158834838616,1377.07635713197,1383.5071399967,-0.315815596314888,7.77242409652117,8.06040668487549,-14.3508159712583,45.3246514294783
0.38,5.59351725914442,1376.97620785271,1383.5071399967,-0.141966464844459,7.72673784581618,8.16866588592529,-15.366616708342,46.2152096594988
0.39,0.752508960845532,1376.99408316399,1383.5071399967,0.194473171450541,7.93437323017069,7.9466700553894,-17.3948174352381,43.6273125369181
0.4,2.19451977076088,1377.04950644415,1383.5071399967,0.331294762706344,7.77935686197221,7.895583152771,-18.2242711291869,44.2474600484039
0.41,3.63657473552878,1377.16497235985,1383.5071399967,0.418012252906248,8.19714582725803,7.94079065322876,-18.7117212341106,42.017123574478
0.42,5.07870332706758,1377.05201760974,1383.5071399967,-0.113091838039211,7.77163418836803,7.86043643951416,-15.5786627682204,44.1226611508927
0.43,0.237448451724312,1377.08548825781,1383.5071399967,-0.455230118130414,7.46355680401339,7.83699083328247,-13.545011045412,45.8131361780083
0.44,1.67947031554277,1377.22458287973,1383.5071399967,-0.256403147498762,7.95033593431216,7.94687604904175,-14.6947925654049,43.5768678561814
0.45,3.1215831365636,1377.04142462441,1383.5071399967,0.3820537563414,7.85867256375575,7.95739507675171,-18.5498354733857,44.1909356749394
0.46,4.56356129525009,1376.98797714278,1383.5071399967,0.482306932073601,8.06314010050541,8.07269954681396,-19.1763620982975,43.6500069301937
0.47,6.00572313467826,1377.07502067743,1383.5071399967,0.181968040222564,8.02307817884399,8.05521678924561,-17.3558797700557,43.767518254368
0.48,1.16460728082063,1376.9868755985,1383.5071399967,-0.398832421913653,7.7282845857352,8.04098510742188,-13.8596356826142,45.4459071177389
0.49,2.60651073455897,1377.01592380307,1383.5071399967,-0.101611875355742,7.58959246193165,8.04753017425537,-15.6471924321219,46.3085238819975
0.5,4.04867903826366,1377.07466598589,1383.5071399967,0.11140562668084,7.79313709287587,7.80259084701538,-16.9427881081773,43.6084043512995
0.51,5.49069323080234,1377.14119563752,1383.5071399967,0.363248981928595,7.88838480900136,7.96017122268677,-18.4672434020739,43.9994092773691
0.52,0.649524183714192,1377.0964841966,1383.5071399967,0.381599192052529,8.17202150840183,7.94684314727783,-18.5204689082329,42.2493889417711
0.53,2.09167037857601,1377.16375527337,1383.5071399967,-0.0873305576243535,7.78831429213077,7.89196252822876,-15.7409275220656,44.24798006885
0.54,3.53360732787874,1377.09100522839,1383.5071399967,-0.397101695996356,7.64467756990674,8.06273078918457,-13.9021776506767,46.1258076058262
0.55,4.9756181739052,1377.06482761904,1383.5071399967,-0.0946860113746197,7.89317271770003,8.0246524810791,-15.6711389268395,44.418459508797
0.56,0.13455140480675,1377.07834448188,1383.5071399967,0.353027744093553,7.97893540443828,8.03553295135498,-18.3908517299905,43.9898879819149
0.57,1.57650906411153,1377.03389095092,1383.5071399967,0.485084555964058,7.97794294167184,8.12319564819336,-19.1945606386304,44.5359614149501
0.58,3.01864830666987,1376.98909635487,1383.5071399967,0.253605064733482,7.97165689414228,8.03886699676514,-17.7663601101149,44.0597792783427
0.59,4.46075504599604,1376.98595163353,1383.5071399967,-0.331865728787225,7.73250404826742,7.95833158493042,-14.270495956675,44.9749236127902
0.6,5.90265991542991,1376.99558995382,1383.5071399967,-0.205355614606285,7.43240504368804,7.93488645553589,-15.0267801129415,46.6134208135532
0.61,1.06162801568833,1377.12773071598,1383.5071399967,0.0449501770915224,7.89562576180478,7.91270589828491,-16.5142199634741,43.6976111209718
0.62,2.50366105889286,1377.21000040004,1383.5071399967,0.446152561673158,7.99026177242598,7.92394781112671,-18.9265378387867,43.2126759739369
0.63,3.94566995978292,1377.14100122561,1383.5071399967,0.44613208412071,8.06259646835728,7.87755870819092,-18.9244447151434,42.5272768360077
0.64,5.38782539268067,1377.18959690087,1383.5071399967,0.0755868036755644,7.96488673764721,8.02357578277588,-16.7267034099171,43.990465970804
0.65,0.546613128068621,1377.12285348639,1383.5071399967,-0.400315813007857,7.57557688018645,7.98892974853516,-13.8818596174586,46.1035537789389
0.66,1.98859643208041,1377.15089165835,1383.5071399967,-0.0483767503321992,7.75482555483023,7.97361421585083,-15.9559860511771,44.926908272251
0.67,3.43074216122385,1377.08111842694,1383.5071399967,0.321292453217735,7.97732714275665,7.98359203338623,-18.191294759059,43.6490013768652
0.68,4.87272242211865,1376.95970213577,1383.5071399967,0.422260875849055,7.99122198923155,8.20042896270752,-18.8329619613612,44.8572794193025
0.69,0.031668030032364,1376.95480720265,1383.5071399967,0.234886348217292,8.03890129307339,8.05485534667969,-17.6499196758567,43.6881197158857
0.7,1.47378336738386,1376.95682068957,1383.5071399967,-0.299205186603794,7.76260361355507,7.93204498291016,-14.4664335390266,44.5923414163856
0.71,2.91567783810443,1377.08485124493,1383.5071399967,-0.20318892276697,7.47446143020716,7.87644147872925,-15.0698726860636,45.9807216025624
0.72,4.35779175225328,1377.11985375041,1383.5071399967,0.0633363845309751,7.97206038436808,7.92598438262939,-16.6597049432972,43.319904537739
0.73,5.79984769380158,1377.24475637169,1383.5071399967,0.279529702483554,7.79928034217513,7.86080598831177,-17.9797289000854,43.9746995854844
0.74,0.958642395590495,1377.14320688059,1383.5071399967,0.432023556967494,8.10217212361652,7.9414234161377,-18.8627051070346,42.6714654351422
0.75,2.40079290268979,1377.03917973966,1383.5071399967,0.0195423011761542,7.91226255016997,7.92990159988403,-16.4157951492924,43.7511560372994
0.76,3.84279389092543,1377.10437406001,1383.5071399967,-0.407796514952071,7.68170350514471,7.98125123977661,-13.8601680296953,45.4236050919191
