t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,0,0.0249548211253346,-0.0368054897161182,0,0.177828837170812,0.389786306701815
0.01,0.000759745276483893,1.6061351288954e-06,0.000433180631114582,-0.00488534357509623,0.0719129131622591,-0.000845620752848555,-0.998612805274165,-0.267096053896918
0.02,0.000842790459744056,1.54666020080185e-06,0.00048046672953902,0.0568926635897865,-0.0106510232862246,-0.000938009847854214,0.000527939621536659,0.0721796472850821
0.03,0.000875189153774473,1.57536578626605e-06,0.000498984767127368,-0.061081751428338,0.00426823156072901,-0.000974104180692389,0.398803792023852,0.0878719485423273
0.04,0.000856116861622142,1.45688090924523e-06,0.000488416526714159,-0.220487377453523,-0.0204486105082544,-0.000953092023178692,0.444389314255594,0.345395857641262
0.05,0.000874993709187174,1.45077422075701e-06,0.000499295206895598,-0.158065607636772,-0.00558989020107946,-0.000974185297857062,-0.0808977769768433,0.466335947563529
0.06,0.000875415522800313,1.39241717533878e-06,0.00049972436004293,-0.0283292574617271,-0.00431719787691978,-0.000974788443923315,-0.403601976456852,-0.221442091890906
0.07,0.000898608196316168,1.40414294946822e-06,0.00051319737754591,-0.026080582298548,-0.0351503571456035,-0.00100077897463422,-0.258762251476657,0.112032847981368
0.08,0.000875717929332455,1.28136878174701e-06,0.000500271374888865,0.0416168187565983,-0.027289415684238,-0.00097539025553289,0.652065166706582,0.587861613955466
0.09,0.000874455073164579,1.22511289646354e-06,0.000499756590964186,-0.169500980991517,0.0432643177976615,-0.000974129739971492,0.131146995967061,-0.123757661568383
0.1,0.000874099685523499,1.17372758268175e-06,0.000499734185477923,-0.0705261658901185,-0.000940757502801034,-0.000973861686274114,-0.622938075183564,-0.577255489413605
0.11,0.000873794531577546,1.12457541945332e-06,0.000499731392231249,-0.0796951121150895,-0.0206304297919539,-0.000973643165583675,0.299747546311939,-0.23530277033089
0.12,0.000873503463899523,1.07746348021465e-06,0.000499729455505912,-0.116215953613879,0.00555705432172609,-0.000973435245577227,0.339341528999851,-0.323438342351272
0.13,0.000914981625338133,1.15340822048893e-06,0.000523538514989056,-0.111253838873583,-0.103240677985622,-0.00101971554151392,0.330567160675698,0.566965567038031
0.14,0.000957675321422769,9.80200070443971e-07,0.000548419933822828,0.163273058500131,-0.0821016381173234,-0.00106761454909031,0.285013279642308,-0.416275133624236
0.15,0.000876171037481519,9.52267043885513e-07,0.000501655439451658,-0.0281290984171796,0.0401758391837706,-0.000976691438616567,-0.830959327053901,-0.285043914438972
0.16,0.000872566305247275,9.02739998309698e-07,0.000499798982374451,-0.10002391185825,-0.0509042483064916,-0.000972819432079038,-0.422722347180853,0.0658998224881195
0.17,0.000872193214224788,8.64420655943832e-07,0.000499723875419821,-0.167199636410683,-0.0666758673436542,-0.000972501486951279,-0.0205174960692097,-0.296229974691803
0.18,0.000871962845467032,8.28067015845591e-07,0.000499719486834346,-0.00130414052693602,-0.0295935251088531,-0.000972334894802171,0.144834961480984,0.284956623542501
0.19,0.000871747616578363,7.93234676166321e-07,0.00049971796152971,0.0079535101850698,-0.0613671164447591,-0.000972181075301042,-0.151322484743928,0.0733580966091969
0.2,0.000871541171285216,7.59845590891928e-07,0.000499716605619391,-0.0905926055671068,-0.0551122436698247,-0.000972033606838609,0.671487324451046,-0.326033877398792
0.21,0.000871343398934432,7.27839449154999e-07,0.000499715309949525,-0.116319809907307,0.0202277707006774,-0.000971892335559002,0.185284392704648,0.00245571243689678
0.22,0.000871153950277394,6.97158839102485e-07,0.000499714067984279,-0.0558012995562832,-0.125400657371452,-0.000971757009141693,0.0611700680685888,0.273509394098767
0.23,0.000870972243237491,6.67748849991767e-07,0.000499712877348777,-0.102318116781774,0.0286955950645557,-0.000971627211949992,-0.486406694436737,0.00491977037339585
0.24,0.000870798103191741,6.39557015347236e-07,0.000499711735919765,-0.073858841592453,0.0868247538630198,-0.000971502819245537,0.0302698575527894,-0.216937657602923
0.25,0.000870631058721153,6.12532744526106e-07,0.000499710641667592,-0.0731691829656742,-0.0439293961276462,-0.000971383494478972,0.717207919093081,-0.220471015793317
0.26,0.000879379268750955,6.13067072663398e-07,0.000504777583200245,0.02906055044755,-0.078955586319271,-0.000981176780331437,0.350551831660865,0.317137780386275
0.27,0.000850292625104443,5.02307727856532e-07,0.000488180960959747,-0.13109546635991,-0.177326712120462,-0.000948793402557068,0.0505801840414147,0.442476235997634
0.28,0.000847135977564269,7.08360914813966e-07,0.000486356140078255,-0.115642576935608,0.00779157316049911,-0.000945262896859519,-0.114977669876659,0.451918599416794
0.29,0.000869077057149228,5.12357530624286e-07,0.000499177108696575,-0.159235726471149,0.073852401829352,-0.000969903074965897,0.123491199606126,0.525849961225165
0.3,0.000864268553243894,4.79471793823905e-07,0.000496577362370646,0.0526440765102744,-0.00895083388373017,-0.000964650748532657,-0.789681859442639,-0.0176876867134946
0.31,0.000869549051392525,4.74457038990295e-07,0.000499580981920461,-0.0803496189156414,0.0723477464752306,-0.000970523799821366,-0.236821340052019,0.103491594344852
0.32,0.000869647906710882,4.54906569302693e-07,0.000499699336303814,0.114047999877114,-0.100840329919989,-0.000970677744618034,0.350515975466896,-0.0765119221468514
0.33,0.000869537440368587,4.35556046340935e-07,0.000499703278247381,0.00541983245429955,0.00717427432367194,-0.000970602137164411,0.0812976427984875,-0.102377960274262
0.34,0.000869422893457158,4.1698172026372e-07,0.000499702713113922,-0.0829617373208476,-0.00350895439745619,-0.000970520440675238,-0.243145626053908,-0.199499068283375
0.35,0.000869312892485959,3.99175689835829e-07,0.000499701999046891,-0.170898799510384,0.00357549673352891,-0.000970441865334633,-0.209153999840668,-0.172770437800825
0.36,0.000869207548126847,3.821070322374e-07,0.000499701307680765,-0.0677406357263982,0.00545446319276203,-0.000970366611156666,0.128963477067126,0.641790649250111
0.37,0.000869106272550239,3.65745364661052e-07,0.000499700644641448,0.128214328904007,0.00910949925986446,-0.000970294263324028,0.392964910244704,-0.348781278734049
0.38,0.00086900954292376,3.50061299059234e-07,0.00049970000901929,0.0981761673227996,-0.0299635909907129,-0.000970225162487111,-0.251210687935214,0.0231463225014849
0.39,0.000868916532834408,3.35026896891577e-07,0.000499699399691565,-0.226437153862581,0.0418673264715987,-0.000970158718760225,-0.401132531663643,-0.253684081875697
0.4,0.000868827603033309,3.20615129112412e-07,0.000499698815571779,-0.0825712193998493,0.0184702080919983,-0.000970095189522773,-0.222401032898903,-0.181361147913367
0.41,0.000868742276354601,3.06800274074703e-07,0.000499698255618527,0.0330699637949078,-0.155926839478141,-0.000970034234140696,0.466248493302466,0.0534947501417232
0.42,0.000868660564302273,2.93557633312957e-07,0.000499697718832973,0.0125857093930399,0.0248376997111644,-0.000969975860742711,-0.497488838580122,-0.333843115124497
0.43,0.000868582106126958,2.8086344627809e-07,0.000499697204257386,-0.0342965053502318,-0.00592976994001081,-0.000969919811783921,-0.106157800325211,0.177484538183484
0.44,0.000868506849368722,2.68695032445976e-07,0.000499696710973633,-0.0364261259424967,-0.118382870517326,-0.000969866049746603,0.162312949613816,0.0425476173520794
0.45,0.000868434735828018,2.57030620787191e-07,0.000499696238101514,0.111567773126727,0.0627015341909244,-0.000969814533019202,0.866753765961822,-0.707905717538338
0.46,0.000868365649085482,2.45849321345304e-07,0.000499695784797192,-0.111702945376004,-0.0295776410872282,-0.000969765178441097,0.20347596727918,-0.209333074789764
0.47,0.000868299414518129,2.35131111026021e-07,0.000499695350251504,-0.0775635211691288,-0.0208142602548859,-0.000969717861313783,0.0425515904267809,-0.250143265462179
0.48,0.00086823591571064,2.24856847808041e-07,0.000499694933688932,-0.118665381230155,-0.0891230624979994,-0.000969672498483787,-0.10836425600614,-0.456236525883888
0.49,0.000868175152663014,2.15008128634508e-07,0.00049969453436562,0.202459281842108,0.00429875318557477,-0.000969629089885291,-0.688351414601479,0.000484843496118825
0.5,0.000868116776129286,2.05567332045575e-07,0.000499694151568461,-0.0674039579063378,-0.0898493696521589,-0.000969587386197146,0.637156467187418,0.355827139417196
0.51,2.92295355459543,3.00450420379639,-0.0400560875797448,3.9977181850836,2.05690040278471,-0.132815705189071,2.46936722804011,2.26115764190926
0.52,2.90053210635258,2.98751020431519,0.0485694168113444,4.26882201375545,-2.45300913675115,-0.365935513397617,2.21276662096697,-2.93764489553065
0.53,2.91203887732278,2.97050833702087,-0.00819827226116726,2.96420969680027,0.442107357719863,-0.96344290526867,2.71230997194269,-0.392536907595551
0.54,2.89077979026638,2.95312523841858,0.0029827833348659,3.05893765936102,0.0130214180867947,-1.64409087454859,2.33387694967005,-1.82252077866604
0.55,2.80800805900595,2.93476486206055,-0.00498018380655174,6.45901955210817,0.265268537292753,-2.30463388836003,2.4236522821765,-4.65161791240732
0.56,2.77980944542291,2.91551566123962,0.0183218615130085,6.82434992828858,-0.912109975070739,-2.73798640816589,0.41156766393754,-7.03468849342917
