t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,0,-0.122063303498436,0.00737218583214264,0,0.457999812964535,0.0784895799489268
0.01,0.000868007896863178,1.85355711437296e-05,0.000466416740114841,-0.0487703142070044,-0.0238002923137479,-0.000985377374260689,-0.473791225062415,0.339450434582867
0.02,0.000947541695739204,1.40033744173707e-05,0.00051660573790628,0.0272629316500171,0.0227410838587299,-0.00107921740381328,0.685031784230678,-0.149307126530638
0.03,0.000970935867112437,1.14997656055493e-05,0.000535959607973027,-0.146321995983724,-0.132500753582726,-0.00110900744011033,-0.0656359303657324,0.125888330499936
0.04,0.00093739470140007,8.10092751635239e-06,0.000524847951877214,-0.078049598453806,-0.0840001195314986,-0.00107422431252993,-0.483854599913046,-0.304349137366218
0.05,0.000951968984486891,6.85961731505813e-06,0.000536229605951406,-0.193003995846442,0.0294613223662988,-0.00109246082008458,0.462764006978515,0.236248275750491
0.06,0.000946716800583171,5.39504435437266e-06,0.000536621475482703,0.0226102520692419,0.0260269958577015,-0.00108802975594759,0.688408757859937,-0.780214924995505
0.07,0.000969353894615078,5.30647184859845e-06,0.000551284512501728,0.0339249595900018,0.0193393395651701,-0.00111491846275897,-0.553938715519374,0.0461260345651597
0.08,0.000940196126985052,3.58808301825775e-06,0.000537140295833671,0.0732388253175257,-0.0309405803242599,-0.00108254379840516,0.212514879958882,0.649823063544619
0.09,0.000936650186895095,3.0039655030123e-06,0.000536643894547482,-0.0773939387823595,-0.0551153155115649,-0.00107918963182649,0.291697207171618,-0.162598066076198
0.1,0.00093496339739881,2.61921331912163e-06,0.000536625040275633,-0.0272450819094232,0.0205590785358035,-0.00107769756549058,-0.177250380486728,0.261775743822006
0.11,0.000933803156003141,2.34681397159875e-06,0.000536623307219292,0.00582523523539145,0.0353883782815806,-0.00107667661044672,0.609557514335676,0.324016163816318
0.12,0.000932978691267918,2.15298859984614e-06,0.000536622481088516,-0.0604100805326653,-0.0134601322989902,-0.00107595131354672,0.250881306849414,0.227661609615801
0.13,0.000980334520320805,3.52906363332295e-06,0.000562270497058098,-0.0843318853196104,-0.075992317609266,-0.0011298065474718,-0.271147772293649,-0.0644668187382777
0.14,0.00102653928714942,1.62414028181956e-06,0.00059036388104992,-0.0284203503073365,-0.149489545379448,-0.00118381499508457,-0.0270716595119735,0.400687541650341
0.15,0.000934688409387332,1.61964317157981e-06,0.000538497732295683,-0.066457085708554,-0.0546249351701541,-0.00107834781354134,-0.297507627109159,-0.233976407441135
0.16,0.000930475908951253,1.51909853229881e-06,0.000536685445331345,-0.0709962349192081,-0.0337024953129343,-0.00107378074238139,-0.6762225752707,0.0378628172858787
0.17,0.00093045649588831,1.5583109416184e-06,0.00053662229693102,-0.173168466653655,0.0549209642960632,-0.00107373359819814,0.607683935176382,0.744376089168886
0.18,0.000930587928559588,1.59173237079813e-06,0.000536620222258627,0.0737956740362936,-0.0375754954476131,-0.00107384817213952,0.113163202615536,0.341451931181576
0.19,0.000930688627806483,1.61589991876099e-06,0.000536620243900189,-0.0825863871951198,-0.0380891622483946,-0.00107393672199282,0.523880250064476,0.454442755483536
0.2,0.000930760432666294,1.63322738444549e-06,0.000536620311704038,0.0351646541198288,-0.0268794316832297,-0.00107399988851104,-0.58593737997625,0.36642139518691
0.21,0.000930811771822953,1.64567131832882e-06,0.000536620361822774,-0.00799887281971507,0.0122091340725077,-0.00107404505217398,0.200145815616856,0.357087329641065
0.22,0.000930848326233817,1.6546362076042e-06,0.000536620397580029,-0.0244918697225082,-0.0957883829386936,-0.00107407720955266,-0.0901870886133313,0.101852214864407
0.23,0.000930874403265771,1.66112363331195e-06,0.000536620423048142,0.0855413832338046,0.0041901824721104,-0.00107410014982461,0.300786095016886,-0.178827705937609
0.24,0.000930892971509506,1.66584607086406e-06,0.000536620441186667,-0.170463093294722,0.0428210724325178,-0.00107411648452838,0.0490524937233272,0.181650613570517
0.25,0.000930906126440804,1.66931192779884e-06,0.000536620454104768,-0.0759506898705016,-0.174632612974886,-0.00107412805711333,0.181582466369269,-0.280318192753326
0.26,0.000941401462789734,2.04506477530231e-06,0.00054204414240611,-0.0800468444281703,0.0538706896092292,-0.00108593968405845,-0.515819154994775,0.0649420252379721
0.27,0.000908282141287851,8.39083213577396e-07,0.000523837803988031,0.00049797252938228,0.00367770701392186,-0.0010481466875458,-0.236596807547885,0.120179806760014
0.28,0.000905577980614544,3.8614325603703e-06,0.000521494107719329,-0.104154419633314,0.0550364275915147,-0.00104465250172339,0.581822305801144,-0.366644107138715
0.29,0.000929743083452841,1.64240873345989e-06,0.000536091908999168,-0.0596456898834273,0.0255598877063091,-0.00107285368992523,-0.179454322114148,0.215476952649354
0.3,0.000924647686376545,1.66806785273366e-06,0.000533524038227902,-0.0703872748126391,-0.0349017182415239,-0.00106715041874681,0.282272467820035,0.0165210415332623
0.31,0.000931384244653868,1.85392627827241e-06,0.000536513025506336,-0.106654844429631,0.0311230773368251,-0.00107449727490344,0.102097547953519,-0.157983650245893
0.32,0.000931496095517492,1.81233781404444e-06,0.000536617265360904,0.0643155559150871,0.0190828360297535,-0.0010746452666477,0.0206035827581123,0.296020741998986
0.33,0.000931347317108773,1.77434412762523e-06,0.000536620754391259,0.0208316659918324,0.0149029174836298,-0.00107451611536408,0.235960229531233,0.596777964400151
0.34,0.000931230261515081,1.74697470356477e-06,0.000536620766726855,-0.0249773212015986,0.0567499244839029,-0.00107441320057684,0.477572097040408,0.0280819154361851
0.35,0.000931146582292719,1.72756517713424e-06,0.000536620689096581,-0.125882605564412,-0.040484358453999,-0.00107433958896521,0.176517958049668,0.0966530052565065
0.36,0.000931086803019342,1.71384340319491e-06,0.000536620630785943,-0.0421995458195018,-0.0430085036968194,-0.00107428700049617,0.253433909613783,0.193623699540318
0.37,0.000931044195011774,1.7041728597178e-06,0.00053662058915035,-0.0207457293312389,0.0917927627537126,-0.00107424951773616,-0.201771249081768,-0.0413983983810664
0.38,0.000931013868820596,1.69738859767676e-06,0.000536620559493889,-0.0099297232404171,-0.00049818001841534,-0.0010742228394187,-1.01499759890079,-0.10848257114989
0.39,0.000930992273778509,1.69265911154071e-06,0.000536620538371917,-0.0307939597599113,0.0323658675439574,-0.00107420384199556,-0.793448372891438,0.45133054169202
0.4,0.000930976906956108,1.68939345712715e-06,0.000536620523329231,0.135769755567116,0.0123788925481138,-0.00107419032360622,-0.457153911678331,-0.0772253210378196
0.41,0.000930965963915913,1.68716996995499e-06,0.000536620512615808,-0.0911138245870641,0.030863639453138,-0.00107418069687347,0.576912424174952,0.0845263447084514
0.42,0.000930958164089391,1.68568931258051e-06,0.000536620504986156,0.0635231851402084,0.0369073772400283,-0.00107417383526945,-0.169713629736588,0.16353485214041
0.43,0.000930952576153972,1.68473718531459e-06,0.000536620499552633,0.0163516258248066,0.0388168353845843,-0.00107416891951095,0.416733828499832,-0.604444776469181
0.44,0.00093094861803305,1.68416136148153e-06,0.000536620495682992,-0.0774849007964619,-0.117141199582819,-0.00107416543750401,0.275304813807774,0.124380476051826
0.45,0.000930945765857681,1.68385395227233e-06,0.000536620492927386,0.0348855756283677,0.00368543272895458,-0.00107416292842851,0.74254921568967,0.169637525174943
0.46,0.00093094378679722,1.6837375369505e-06,0.000536620490965182,0.012005614718129,0.00725063160100801,-0.00107416118741018,-0.135070196753134,-0.226247893042616
0.47,0.000930942331605704,1.68375686371292e-06,0.000536620489568019,-0.152097161974257,-0.0142994060740171,-0.00107415990727434,0.406010689862461,0.0308215401466037
0.48,0.000930941342075474,1.6838731653479e-06,0.000536620488573114,-0.0276937990745484,0.00191973598759337,-0.0010741590367577,0.134478644547727,0.62615906422792
0.49,0.000930940585375886,1.68405858858023e-06,0.000536620487864768,0.0119159280401021,-0.0126350169117042,-0.00107415837109692,-0.198159743096536,0.0446567145161538
0.5,0.000930940061506941,1.68429323821329e-06,0.000536620487360656,0.0156381617541151,0.0806046942611128,-0.0010741579102474,-0.357067652288212,0.546462678571615
0.51,1.67720429110659,1.69339549541473,-0.00578404154025819,0.791437859802995,0.263718253196145,-0.293481912645588,1.3200437869066,0.0568365964305241
0.52,1.56338313686281,1.6091639995575,-0.0145829329954987,2.30906240293336,0.736528161955726,-1.08866050460742,0.463055737237285,-1.20443722170926
0.53,1.39755982540776,1.51781928539276,0.0174490384201882,5.98090633671582,-0.896735616789142,-1.37332373478979,-0.173336762514517,-5.99827282377572
0.54,1.36132627714413,1.44117319583893,0.0323502592846147,3.96219536341269,-1.58597395631508,-0.000289142648461679,-1.31066359093286,1.74343598115884
0.55,1.25053704059562,1.36284923553467,0.0625780896519723,5.54569767188633,-3.14478049055714,1.23575640609766,-0.184202832555265,4.28941423632383
0.56,1.20792109713538,1.28918302059174,0.0406026184839129,3.8819580656399,-1.93094671859385,-0.781689936956978,0.57019529853097,-3.95825418564053
0.57,1.10235239690847,1.22034287452698,0.0511709163514896,5.88202964596665,-2.5211253331219,-0.0428070868552203,-0.849074405171899,2.57370143578413
0.58,1.04725746494837,1.15500903129578,0.0167269498075953,5.44788125757795,-0.836196918920228,0.448408074445738,0.677979562058898,1.59718754274806
0.59,0.922361161605366,1.09241425991058,0.0795966580222427,8.379404539621,-4.09680297435586,-0.576231496869148,-0.99026618848224,-1.34379184019395
0.6,0.835943251974569,1.03227972984314,0.0334001391046675,9.72378640382685,-1.697706903199,0.421109613584593,0.510961876933391,3.61449561696074
0.61,0.808466918996981,0.976991415023804,0.0161339904028467,8.33862436268456,-0.854412672660659,-0.136702396916728,-0.39792460542444,-0.421868257551758
0.62,0.756261427893897,0.923640966415405,0.0296631883244875,8.34849993762812,-1.51360900818227,-0.274400066446085,1.1192956051033,-4.41204160815972
0.63,0.691364809520786,0.872693657875061,0.055934712673416,9.17954223699202,-2.85999172053102,0.617037758520744,-0.40736620435299,9.71078715724821
