t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0,0
0.01,-0.0242409438432085,-0.00487554654457405,0.148112868903805,-0.0543681399123945,0.0242261085933336,-0.00494873468089606,-0.148276391313199,-0.0539205744738,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,8.58943704510066e-11
0.02,0.0441534966635322,-0.0047582989370359,-0.203458704110396,-0.0550727098301295,-0.044167665896246,-0.00462492872035093,0.203291450461234,-0.055686926793308,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,1.8964677110815
0.03,0.0240259898862213,-0.00487554654528491,-0.083687407468329,-0.0543681399081228,-0.0240406050123624,-0.00480296312370015,0.0835228279223356,-0.0546206373241402,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,-18.7853555806642
0.04,-0.00475829892855834,-0.00464105132025594,-0.0267931089047165,-0.0557772798034009,0.00474426073214806,-0.00465540075140334,0.0266245330673205,-0.055857943624824,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,-7.63339369751873
0.05,-0.0145289332915616,-0.024299567649999,0.0898108763146745,0.0623556145393035,0.0144554796096735,-0.0243433358400577,-0.0896221457723054,0.0626265690913338,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,-44.8564937067677
0.06,0.0630499035368467,0.0145484745706419,-0.259297232337431,-0.0543681399544744,-0.0630056779683527,0.0147388260077431,0.259131851914016,-0.0551509987540923,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,-13.5831992673727
0.07,0.0729964092877141,0.0340897432738099,-0.376956987888061,-0.171796464292502,-0.0728931215326656,0.0343100451558692,0.376436424150491,-0.172934133223712,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,-41.3241528523533
0.08,-0.00487554653828258,-0.00475829892926926,-0.0264411854116595,-0.0550727098768012,0.00486115370621832,-0.00477300192664576,0.0262747390594955,-0.0551523140629973,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,17.6914842360863
0.09,0.082180805576647,0.062815408280147,-0.432795515963974,-0.286406508864974,-0.0819907212028825,0.0630633170651482,0.43192856237226,-0.287712293734171,1.5677762099521,-0.144963141214248,-0.144963141214248,-0.144963141214248,15.5508970617573
