t,iq,id,vq,vd,omega,omega_obs,r
0,0,0,0,0,-0.144963141214248,0,0
0.01,0.0147829697844562,-0.0330149734982922,-0.144804788036904,0.0574236249165088,-0.144963141214248,689.879589037124,-0.144963141214248
0.02,-0.00469967512864591,-0.0147634285290314,-0.0857989484257085,-0.0536635698835869,-0.144963141214248,689.879589037124,-0.144963141214248
0.03,0.0244949803362792,0.0341483670822003,-0.203106780626035,-0.172501034248687,-0.144963141214248,689.879589037124,-0.144963141214248
0.04,-0.00464105132025594,-0.0144116856786916,-0.086502795445643,0.061651044589528,-0.144963141214248,689.879589037124,-0.144963141214248
0.05,-0.00464105132025594,-0.0144116856786916,-0.086502795445643,-0.0550727098536253,-0.144963141214248,689.879589037124,-0.144963141214248
0.06,-0.0144116856786916,-0.0339529543955646,0.0308050367290811,0.179079368982457,-0.144963141214248,689.879589037124,-0.144963141214248
0.07,-0.0143530618720788,-0.0340702020087901,0.0304531132297826,0.179079368982457,-0.144963141214248,689.879589037124,-0.144963141214248
0.08,-0.00464105132025594,-0.102347394904614,-0.086502795445643,0.413936017768311,-0.144963141214248,689.879589037124,-0.144963141214248
0.09,0.0147243459762441,-0.0339529543955646,-0.144452864532272,0.179079368982457,-0.144963141214248,689.879589037124,-0.144963141214248
0.1,0.0244363565363132,-0.0533769755030669,-0.202402933669474,0.178374799053721,-0.144963141214248,689.879589037124,-0.144963141214248
0.11,0.0149002173966153,0.0156623268872014,-0.145156711533001,-0.0600046995405005,-0.144963141214248,689.879589037124,-0.144963141214248
0.12,-0.00452380371053184,-0.0142358142641054,-0.0868547189344318,0.060946474658657,-0.144963141214248,686.82773343262,-0.144963141214248
0.13,0.0149588412037612,-0.0734458584793285,-0.145508635035501,0.298621403250345,-0.144963141214248,686.82773343262,-0.144963141214248
0.14,-0.00469967512529589,-0.0147634285089313,-0.0857989484659294,0.0630601844555461,-0.144963141214248,686.82773343262,-0.144963141214248
0.15,-0.00464105132025594,-0.0144116856786916,-0.086502795445643,-0.0550727098429463,-0.144963141214248,686.82773343262,-0.144963141214248
0.16,0.0149002173966153,0.0151347126174856,-0.145156711533001,-0.0571864196736887,-0.144963141214248,686.82773343262,-0.144963141214248
0.17,-0.0144116856786916,0.014607098359108,0.0308050367290811,-0.0550727098408082,-0.144963141214248,686.82773343262,-0.144963141214248
0.18,0.0246708517550509,-0.141429932338356,-0.203810627620364,0.648792666554169,-0.144963141214248,686.82773343262,-0.144963141214248
0.19,-0.00469967512793503,-0.10193702825086,-0.0274969558525812,0.412526877838856,-0.144963141214248,689.879589037124,-0.144963141214248
0.2,-0.0143530618731184,-0.0343633210345763,0.0301011897429663,0.0637647544077785,-0.144963141214248,689.879589037124,-0.144963141214248
0.21,0.0244949803314808,0.161752851812435,-0.202754857100065,-0.87918469048762,-0.144963141214248,689.879589037124,-0.144963141214248
0.22,-0.0144116856786916,-0.0725078775775504,0.0308050367290811,0.294393983550731,-0.144963141214248,686.82773343262,-0.144963141214248
0.23,-0.0240650724210597,-0.0144116856786916,0.0884031822929411,0.061651044589528,-0.144963141214248,686.82773343262,-0.144963141214248
0.24,-0.0142358142609065,-0.0344805686489199,0.0297492662435111,0.064469324364274,-0.144963141214248,689.879589037124,-0.144963141214248
0.25,-0.00452380370383145,0.120911600134101,-0.0285527263760816,-0.635873202056685,-0.144963141214248,686.82773343262,-0.144963141214248
0.26,-0.00469967512633555,-0.0145289332908508,-0.0857989484534471,-0.0550727098578966,-0.144963141214248,689.879589037124,-0.144963141214248
0.27,-0.00452380370347565,-0.0140013190199605,-0.0868547189556112,0.0595373346697079,-0.144963141214248,689.879589037124,-0.144963141214248
0.28,0.0147243459778428,0.0146070983653277,-0.14445286453867,-0.0543681399081162,-0.144963141214248,689.879589037124,-0.144963141214248
0.29,-0.0142358142662386,0.0146070983758603,-0.0285527263273215,-0.0550727098810757,-0.144963141214248,689.879589037124,-0.144963141214248
0.3,4.17883192067041,0.0537482596046183,6.00928139566119,-0.40735768303241,-0.144963141214248,765.284837320756,1010.93479863094
0.31,4.61669312880685,-0.0141185666570471,4.8411300028639,-0.292043068438181,-0.144963141214248,673.24239820861,1010.93479863094
0.32,4.5777864627861,-0.287285962035539,5.31036133159022,-0.173910174148238,103.92331297237,614.172207052194,1010.93479863094
0.33,4.5485331835153,-0.0437235887540002,6.24847206547605,-0.642918901768038,137.798910182363,689.220388226552,1010.93479863094
0.34,4.53835218251161,-0.00475829893383729,7.0127325921273,-0.995203874946821,273.911670143239,572.326688926558,1010.93479863094
0.35,4.62581890131269,-0.00446517990620186,7.3081137134146,-1.23076509366142,373.707348413627,298.06405539686,1010.93479863094
0.36,4.46106646474758,-0.024299567651065,8.82678090882472,-1.34607970821324,488.762304697717,265.555689505065,1010.93479863094
0.37,4.49968001172347,-0.0916974034732475,9.35642577113077,-0.883412110000863,522.94308747076,530.516267154213,1010.93479863094
0.38,4.58790883998741,0.151806346029008,9.17905632884498,-3.81418823033541,375.84364735371,664.057838765305,1010.93479863094
0.39,4.57725884854074,0.0238501184844916,10.0637919990766,-3.57369502206017,553.766829079319,754.884113413058,1010.93479863094
0.4,4.52015926135999,0.0451501013891034,11.111820171694,-3.34940692248904,679.808465540818,822.835204377135,1010.93479863094
0.41,4.04706514575402,0.0340311194769615,10.2984076634357,-3.45978954732801,788.759710625095,898.812675577645,1010.93479863094
0.42,2.21329294804465,-0.112528395915558,10.1189266802506,-1.81367929588437,872.99092530736,972.699625691663,1010.93479863094
0.43,1.10915264173602,-0.0238305772047577,9.41543161070692,-1.46632631239309,940.742119729495,1003.86975290679,1010.93479863094
0.44,0.356227558057395,-0.0144116856786916,8.77305392179154,-0.64221433180331,987.740696036707,1016.73332427949,1010.93479863094
0.45,0.112782432397691,0.0631085273274891,8.59322101500469,-0.640805191949787,1000.86367513718,1006.96738634508,1010.93479863094
0.46,0.0634016463416514,-0.111180048337338,7.5413216839655,0.409708597967117,1006.96738634515,1011.88239979541,1010.93479863094
0.47,0.00577444490144079,0.0254329612298141,8.23531481907719,-0.177433023845656,1011.85035531229,998.759420696497,1010.93479863094
0.48,0.0349104765777613,0.0245536041389822,7.77488157779996,-0.173205604196326,1000.86367513622,1006.96738634508,1010.93479863094
0.49,0.112078946727616,0.0148415935906869,8.35790150365847,-0.173205604196326,1006.96738634508,1000.83163065254,1010.93479863094
0.5,0.00530545446281641,-0.0240650724207044,8.24305713597749,0.0602419046472574,1003.91553074058,1003.9613085735,1010.93479863094
0.51,0.112665184787051,0.0825911722327093,8.29924758756656,-0.639396052040517,1003.91553074058,996.021906219079,1010.93479863094
0.52,0.0444466157054827,0.0248467231802213,8.71158461765858,-0.292043068535802,998.727376212922,1000.90945296894,1010.93479863094
0.53,0.14144947360622,0.0146657221715852,8.53315940491634,-0.524081437479824,1006.96738634343,998.727376212922,1010.93479863094
0.54,0.122611690556013,-0.0333080925498977,8.12645315072306,0.0588327649002014,998.727916216494,1000.86367513607,1010.93479863094
0.55,0.161283861353845,0.0052468306510505,8.64941146658888,-0.292043068488816,1003.91057542133,1000.86367513607,1010.93479863094
0.56,0.132206453502172,-0.0333080925479408,8.06744731115438,0.0581281949671793,1000.86716927234,1000.90970239218,1010.93479863094
0.57,0.112665184787585,0.00501233542495305,8.47485741231332,-0.407357683030265,1003.91044836145,996.022232806163,1010.93479863094
0.58,0.112489313371959,-0.0140013190471478,8.41972273116839,-0.0578909895831852,998.732045649281,1000.86367513607,1010.93479863094
0.59,0.122025452498666,0.0145484745558745,8.65011531356832,-0.524081437467022,1006.94508740252,998.727376212922,1010.93479863094
0.6,0.112665184785656,-0.159505605938124,8.12715699771129,0.759175291659768,998.744116300731,1003.91553074058,1010.93479863094
0.61,0.229443806633424,0.0244363565271788,8.35754958012583,-0.524786007418927,1003.8857988183,998.727376212922,1010.93479863094
0.62,0.0442707442767842,0.00471921640414531,8.41972273117693,-0.0543681399416589,1000.87669873366,1003.91553074058,1010.93479863094
0.63,0.112547937173826,0.0438603776290466,8.47556125929914,-0.52337686750015,1003.90091889875,995.947931177611,1010.93479863094
0.64,0.0934170350943399,0.00553994967345933,8.53491902241679,-0.0585955595354371,998.738716273174,1000.86367513607,1010.93479863094
0.65,0.151513226992744,0.00483646400156053,8.76707122221384,-0.406653113061268,1003.86928108535,993.877341068828,1010.93479863094
0.66,0.103129045648625,-0.0622682527821679,8.24481675339617,0.291575703829355,996.031085259135,1003.91553074058,1010.93479863094
0.67,0.248398837271542,0.0440948728569187,8.2434090594736,-0.524786007412513,1003.86102221888,995.980706168868,1010.93479863094
0.68,0.0832360341002688,-0.00446517990406868,8.24446482991165,-0.0571864196779714,1000.88622819636,1000.86367513607,1010.93479863094
0.69,0.132147829697843,0.063343022535036,8.59322101496675,-0.640805191873836,1000.8467762229,995.980706168868,1010.93479863094
0.7,0.161401108967578,-0.0431959745038373,8.24376098293193,0.0588327648318345,998.745386896095,1000.86367513607,1010.93479863094
0.71,0.190009526346324,0.10160482665755,7.65898143964696,-0.754006096459235,1006.96738634508,995.980706168868,1010.93479863094
0.72,0.0739930139932327,0.00530545445543108,8.4186669607159,-0.0571864196864977,998.776516471565,1000.91151761615,1010.93479863094
0.73,0.0632843987245186,-0.00475829893632464,8.47908049435613,-0.173205604196326,1003.91553074058,995.980706168868,1010.93479863094
0.74,0.0446224871134207,0.0154278316499706,8.76847891626999,-0.293452208364001,1000.86367513607,1003.91553074058,1010.93479863094
0.75,0.103422164704658,0.102015193307564,8.59146139741265,-0.75682437630529,1000.86367513607,995.980706168868,1010.93479863094
0.76,0.0446224871144794,0.0539827548303577,9.003446504111,-0.408766822927688,998.727376212922,1000.86367513607,1010.93479863094
0.77,0.0443293680887024,-0.111883534029489,8.35860535060451,0.296507693375386,1006.96738634508,998.727376212922,1010.93479863094
0.78,0.171406238550359,0.0732895283221989,8.41725926673028,-0.408062252982184,998.727376212922,1000.82970890444,1010.93479863094
0.79,0.0931825398724033,0.0147243459841607,8.300303358078,-0.289929358666923,1003.91553074058,996.024479144929,1010.93479863094
0.8,0.0832946579056646,-0.004934170352433,8.71123269416035,-0.171796464296765,1000.86367513607,1000.91242522677,1010.93479863094
0.81,0.0920686875904998,-0.0238892010154818,8.3645880499327,-0.174614744045266,1003.91553074058,998.727376212922,1010.93479863094
0.82,0.14191846405628,0.0246122279484376,8.59427678548386,-0.290633928589255,998.727376212922,1003.91553074058,1010.93479863094
0.83,0.0445052394944588,-0.112059405458542,8.41655541978848,0.179783938909065,1006.96738634508,1000.86367513607,1010.93479863094
0.84,0.200014655945783,0.0249053469822114,8.30347066954959,-0.292043068497342,998.727376212922,1000.82975630117,1010.93479863094
0.85,-0.0431959745118428,-0.00446517990620349,9.05822926186694,-0.291338498517988,1008.74106283724,1000.86367513607,1010.93479863094
0.86,0.0352035956040709,0.00483646400333953,8.59357293848099,-0.172501034240145,998.785702591528,1003.91553074058,1010.93479863094
0.87,0.160521751895358,-0.111883534043601,8.00984916554298,0.178374799051586,1008.74614574803,998.727376212922,1010.93479863094
0.88,0.180707882454293,0.0732309045114993,8.24411290647219,-0.52408143745847,1000.86367513607,1000.91167680424,1010.93479863094
0.89,0.0729964093018694,-0.0332494687350851,8.30311874598619,-0.293452208321291,1006.96738634508,996.023805563818,1010.93479863094
0.9,0.161870099424418,0.0734067759325813,8.41690734320751,-0.408062252982184,998.727376212922,1006.91961158139,1010.93479863094
0.91,0.121849581092446,0.0629326559157434,8.30065528155612,-0.638691482157155,1008.75631156523,995.980706168868,1010.93479863094
0.92,0.0645154986863158,-0.0819853928827184,8.76953468673668,0.409004028030139,996.020352858222,1003.91553074058,1010.93479863094
0.93,0.151513226998528,-0.0143530618732958,8.18299552588834,-0.173910174133611,1006.94419557386,998.68468524721,1010.93479863094
0.94,0.0835291531363831,-0.00446517989721705,8.76918276322884,-0.174614744125794,1000.86367513607,1003.91553074058,1010.93479863094
