t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,omega_seen,iq_ref
0,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.00464105132025594,-0.00464105132025594,-0.0557772798034009,-0.027848879358281,0,0,0,0,0,0,0,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,0.00634139273981369,0.00169276484897846,0.0622253982203578,-0.0038294699498561,2.61705109019401,-0.144963141214248,1913.97887200365,0,0,0,0,-0.00464105132025594
0.02,-0.00466058868127534,0.0735630982692678,-0.0277315949843333,-0.408297062666325,-0.0613387078051331,0.0408755848719806,0.367291436266181,-0.180478623631305,2.61705109019401,-0.144963141214248,1973.62684678141,0,0,0,0,-0.00464105132025594
0.03,-0.00456288624665027,0.0243581914606282,-0.028200802849124,-0.171796464326359,-0.018798153313046,0.0161484009781684,0.162822472967215,-0.0616291548961501,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.04,0.00511004176986714,-0.0434890935342498,-0.0863854876158955,0.177905085762825,0.0350829505732753,-0.0262030601723087,-0.11072313543333,0.163869030907999,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.05,-0.00464105132025594,-0.0145093920198098,-0.027848879358281,0.0618859012323861,0.0148829708057652,-0.00324946059162288,-0.0396183946627556,0.0550981638278706,2.61705109019401,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.06,0.0246317692187812,-0.0144703094830961,-0.145039403704321,0.0618859012313187,0.000188838393910212,-0.0285670833555836,0.0190725249622335,0.156532846999224,2.61705109019401,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.07,0.0246122279509132,-0.102171523492201,-0.144922095876708,0.530424915598353,0.0761087286873777,-0.0724723629738689,-0.38653186707816,0.391083265678665,2.61705109019401,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.08,0.0051100417702226,0.00526637191387918,-0.0863854876180294,-0.0564818497223635,-0.00711751928763856,-0.00178553051466738,0.0921513262466302,0.0464842434600317,2.61705109019401,-0.144963141214248,1971.96412848922,0,0,0,0,-0.00464105132025594
0.09,0.00505141796670664,-0.0825911722411918,-0.0861508719644017,0.412761734575377,0.0689572562995504,-0.0457352747809247,-0.31412165851761,0.281285986000097,2.61705109019401,-0.144963141214248,1973.78059294521,0,0,0,0,-0.00464105132025594
0.1,0.00511004177040037,0.0440948728652463,-0.0863854876190965,-0.289929358676702,-0.040725669042323,0.017660413951905,0.294212663886789,-0.0704300639110323,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.11,0.0246317692196699,-0.014470309481763,-0.145039403706988,0.0618859012259783,0.000188838392311333,-0.0285670833556852,0.0190725249681918,0.156532846998858,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.12,-0.0143726031434882,0.0928894208556851,0.0305704210781208,-0.524551150833577,-0.0732027416594063,0.0589607907135837,0.438716986315973,-0.289164082146373,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.13,-0.00462151005274321,-0.0629521971906677,-0.0279661871832271,0.177670229176574,0.0568030298456626,-0.0275273189150902,-0.139777189775784,0.113186373648102,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.14,-0.00462151005283216,0.0247099342898985,-0.0279661871826931,-0.173440460829571,-0.0190732458388985,0.0163753015529019,0.164127940760551,-0.0626555675100972,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.15,0.00509050050350947,-0.0435477173479843,-0.0862681797978833,0.178139942453741,0.0351434792116206,-0.0262155059172725,-0.110985166155723,0.163885114749475,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.16,-0.0143921444114454,-0.0435867998832771,0.0306877289057352,0.178374799089127,0.0449345325220804,-0.00937180515412316,-0.169761867464318,0.0627711240181789,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.17,-0.00462151005087716,-0.0144703094868279,-0.0279661871944292,0.061885901246269,0.0148393561923009,-0.00324680144033508,-0.0395596450034904,0.055199700057651,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.18,0.00511004176888957,-0.0436649649461299,-0.0863854876100271,0.178844512326782,0.0352351767118644,-0.0262911394334714,-0.111536259504191,0.164339510997326,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.19,-0.0143726031402892,-0.0437235887540002,0.0305704210589172,0.179079368982457,0.0450431440387493,-0.00945722526228835,-0.170312960812982,0.0632255203062038,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.2,-0.00464105132025594,-0.0631671511253104,-0.027848879358281,0.296037980068311,0.0569988705874465,-0.027618057324884,-0.242289575317504,0.172365331249939,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.21,-0.00462151005123241,-0.0143726031406445,-0.0279661871922966,0.0614161879370566,0.0147547861103471,-0.00319786851355924,-0.0391530829470247,0.0549644599949625,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.22,0.0246317692171818,-0.0144703094854953,-0.14503940369952,0.0618859012409303,0.000188838396787905,-0.0285670833554008,0.0190725249515098,0.156532846999882,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.23,-0.00464105132025594,-0.0631671511266433,-0.027848879358281,0.296037980074719,0.0569988705886002,-0.0276180573255515,-0.242289575323051,0.172365331253148,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.24,0.00511004176942273,-0.0827670436502287,-0.0863854876132277,0.296507693375386,0.069080122681809,-0.0458740960864661,-0.213380052396795,0.223267144784242,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.25,-0.0143921444100236,0.0049927941575037,0.0306877288971998,-0.0550727098588055,0.00288628879480922,0.014957645242856,0.0322994701740363,-0.0541431833432127,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.26,-0.00466059258883499,-0.0143726031415335,-0.0277315715269336,0.0614161879423986,0.0147743592812678,-0.0031640404819055,-0.0392705822907393,0.0547613875579841,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.27,-0.00466059258874604,0.0245340628756202,-0.0277315715274676,-0.172501034258145,-0.0189014465294178,0.0163210503203293,0.16319731735215,-0.0623881598428291,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.28,0.00511004176977853,0.00499279415937165,-0.0863854876153636,-0.0550727098684269,-0.00688072307026291,-0.00192254270097929,0.0909316401364858,0.0471899636033416,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.29,-0.0338747893223136,-0.0144703094836298,0.0891070293271971,0.0618859012334568,0.0294898739855838,0.0220734804799231,-0.0981918149510612,-0.0461334469079829,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.3,-0.0143921444104678,0.00499279416061316,0.0306877288998664,-0.0550727098748217,0.00288628879234028,0.0149576452447978,0.0322994701865636,-0.0541431833535419,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.31,-0.00469967512466046,0.161107989946724,-0.0276142637009195,-0.87589669741957,-0.137093931026924,0.0847533211534288,0.771965233795479,-0.414761678462879,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.32,-0.00462151005221005,-0.0144703094828292,-0.0279661871864277,0.0618859012302496,0.0148393561895073,-0.00324680143717878,-0.039559644993632,0.0551997000427025,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.33,-0.0338943305916937,0.0733481521356165,0.0892243371612176,-0.407122826423573,-0.0465119272318991,0.066071307639119,0.30770163979301,-0.281122178075068,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.34,0.0050905005024437,0.0443098268112621,-0.0862681797914854,-0.291103641866422,-0.040901936624868,0.0177849803976472,0.295170319291507,-0.0711197002368537,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
0.35,0.00512958303817967,0.0440362490619108,-0.086502795445643,-0.289694502039197,-0.0406847135813942,0.01761414018305,0.294068132539297,-0.070210907674659,2.61705109019401,-0.144963141214248,1973.79524185193,0,0,0,0,-0.00464105132025594
