t,iq,id,vq,vd,omega,r
0.0,0.0,0.0,0.0,0.0,0.0,2134.4108429819103
0.01,0.0,0.0,554.9468191752967,0.0,98.86649495539866,2134.4108429819103
0.02,11.593920546391566,-0.7547755406655486,928.0213203267601,0.19624164057304264,111.04533138180977,2134.4108429819103
0.03,12.438464988686697,-4.802329278901327,1205.7221663075404,-2.289256486103901,140.90146944889713,2134.4108429819103
0.04,12.953369988582757,-3.160377147851378,1406.589994179305,-3.8246651662663775,193.1289673404927,2134.4108429819103
0.05,13.302253421511725,-0.9098525636921995,1544.1836593693597,-4.559767268329151,274.3740828754956,2134.4108429819103
0.06,13.140821678748736,2.2575613801411842,1627.0322443489206,-4.561801473935813,409.12293205373265,2134.4108429819103
0.07,11.585901634592082,6.598837859148705,1655.2522393009954,-3.759936506944401,534.7649125710783,2134.4108429819103
0.08,10.550473433849742,4.739392765378574,1644.400874611295,-3.0357031835993933,624.6125134219928,2134.4108429819103
0.09,11.362319711430313,6.976780672560941,1614.9953376368446,-4.394859313069406,626.2617049827633,2134.4108429819103
0.1,13.173590398673845,2.0577399703912995,1591.989722998143,-7.5723893782214935,758.6725953961466,2134.4108429819103
0.11,8.64708376932589,10.149173368508317,1542.3903936040806,-7.06285572753959,822.4332493135124,2134.4108429819103
0.12,10.756327677688008,7.879035008678451,1489.307203032003,-8.692603681406503,838.0516615424712,2134.4108429819103
0.13,12.035640273224175,5.7376947453940135,1445.2132753055107,-11.157904354351498,989.9284605458547,2134.4108429819103
0.14,2.3294859340307172,13.12826237782178,1375.247858321932,-8.281782689306935,1120.3394068303692,2134.4108429819103
0.15,1.6489292977150356,13.23097917574186,1290.7647075746772,-6.792066663525807,1233.105516875302,2134.4108429819103
0.16,-0.7916620401537973,13.309810253792397,1199.8642197698236,-5.309805915669794,1239.9301580916153,2134.4108429819103
0.17,9.16881038734503,9.680428392312585,1128.211761208314,-9.947751129562409,1290.6527835185664,2134.4108429819103
0.18,6.3813181632748925,11.707115625842073,1062.804396159783,-12.267984239027905,1370.999499182724,2134.4108429819103
0.19,2.1654413207384953,13.156315656908513,994.651055522428,-12.308254589472366,1446.569633443362,2134.4108429819103
0.2,-3.536609591136201,12.855744645008361,925.6199201344299,-9.620423012663245,1478.4368811903137,2134.4108429819103
