t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,0.00495372344438917,-0.0337184749371772,-0.0857989957755332,0.177670323832834,-0.0267022127239373,0.0211770338739432,0.110798009249388,-0.163254441879315,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.02,-0.00475828229658266,0.024846698219541,-0.0271451322323464,-0.173910074172992,0.0191215365755986,-0.0165640122499036,-0.164117119975616,0.0636171598994816,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.03,-0.00475827354371567,0.0245536295315912,-0.0271451847765219,-0.172501186817806,0.0188678883679872,-0.0164172067911878,-0.162897746392971,0.0629114038167524,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.04,0.0342656659009326,0.0923034046763664,-0.203106985556107,-0.521968753339738,0.0970527600669428,-0.016577579373112,-0.55350301607754,0.0856635175427392,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.05,-0.00458244895917142,-0.015583732900382,-0.0282006741183218,0.0672855422609577,-0.0157831533648404,0.00383974470971526,0.0441103176935873,-0.058111118480457,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.06,0.00512958303817967,0.00512958303817967,-0.086502795445643,-0.0557772798034009,0.00700908711346426,0.00187027862283418,-0.0916047327682072,-0.0469298571981948,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.07,0.00518817664639727,-0.0338357671791294,-0.0868545376615088,0.0609468375768904,-0.0266862923860077,0.0214387060291188,0.00924445759288567,-0.105701313742222,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.08,-0.0045238728566878,-0.189228497958423,-0.0285523112458367,0.878720234438584,-0.166044329984589,0.0908689735013723,0.746235456666441,-0.464862483002348,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.09,-0.00464105132025594,-0.0147046099554443,-0.027848879358281,0.0623551464058728,-0.015051621407106,0.00334867202277991,0.0400192461766843,-0.0553370066073316,-0.524637440120955,-0.144963141214248,357.790900540353,-0.144963141214248
0.1,-0.00452389036242165,0.0236164031345423,-0.0285522061574866,-0.168277259668925,0.01817411602606,-0.0157448908441989,-0.159946689713115,0.059577857027247,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.11,-0.00458247521777232,0.0240265146277311,-0.0282005164857959,-0.170389617716111,0.018499724712353,-0.0160010209000935,-0.161598786352342,0.0609403249495628,-0.524637440120955,-0.144963141214248,354.832869291998,-0.144963141214248
0.12,-0.0143531139504199,-0.0336015240259345,0.0304534258603177,0.060243156492313,-0.036271771232574,0.00440827728154747,0.0673948874438579,-0.00381814054441597,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.13,-0.00458248396841766,0.0245537170513743,-0.0282004639549572,-0.173205604196326,0.0189560169815159,-0.0162651037671525,-0.164036012120428,0.0623508959030738,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.14,-0.0434893368523806,0.0924210995346465,0.205360551692811,-0.521971383113519,0.0582072038414641,-0.0839339232969072,-0.348904213190906,0.439195777528257,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.15,-0.00458249272128472,-0.014528802876634,-0.0282004114107813,0.062354830843698,-0.01487012743737,0.00331129318621775,0.0398428909179221,-0.0556411015040687,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.16,-0.0532014519997466,0.112079572978131,0.263663172176459,-0.640103967143937,0.0703569316861059,-0.102186727795532,-0.421944888450025,0.548829543871734,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.17,0.00512958303817967,0.00512958303817967,-0.086502795445643,-0.172501923138446,0.00700908711346426,0.00187027862283418,-0.192630565754688,0.0115374279370074,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.18,0.0150173083359568,-0.0630892210618591,-0.145508164769239,0.178375740522724,-0.0470819160785643,0.0445989074106121,0.0815002739783006,-0.215286404965581,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.19,-0.0049337567974842,0.0251977216140618,-0.0260917444712473,-0.176019907748838,0.0193374542467171,-0.0168917137654117,-0.16541555163106,0.0655856869450521,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.2,-0.00458251460123037,-0.0142946122406404,-0.0282002800636805,-0.056480803093544,-0.0146674450890508,0.00319396833741905,-0.0630099504740855,0.0038836909010624,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.21,-0.0240652553519451,0.053807157802582,0.0304536622957703,-0.28993045789726,0.0345161285227731,-0.0477805778297594,-0.23568221991821,0.171583761405805,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.22,-0.0339529543955646,0.073524023547229,0.148112868903805,-0.408062252982184,0.0466284453911404,-0.0662145998339204,-0.278990543462184,0.332590590520067,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.23,-0.00469957490998106,0.0250805168831267,-0.0274975574691444,-0.175315700683443,0.0193533144246931,-0.0166303202686627,-0.165510227131474,0.0640162111326773,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.24,-0.00458253210696449,0.0240271404088449,-0.0282001749753288,-0.170392352606096,0.018500237833661,-0.0160013835912925,-0.161600982352618,0.0609419904331008,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.25,-0.0143531708418335,-0.0338359247218484,0.0304537673841204,0.178376108683044,-0.0364746748454455,0.0045256391721477,0.169639790706776,-0.0629905509243442,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.26,-0.00475807224110528,-0.0142946647578422,-0.0274976362854074,-0.0557772798034009,-0.014755427231372,0.0030420485220259,-0.0620490933890659,0.00413943874775378,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.27,0.00489555869338145,0.00501257086578057,-0.0850979281894711,-0.172502449066663,0.00679058980601164,0.00172634054905329,-0.191927324007597,0.0127536118578075,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.28,-0.0529677077244206,0.111436526785382,0.26261117674224,-0.637294081514608,0.0699174539322114,-0.101662319465995,-0.420039860403394,0.546511566351334,-0.524637440120955,-0.144963141214248,354.834548735893,-0.144963141214248
0.29,0.0149002173966153,-0.189522638797044,-0.145156711533001,0.879431015738858,-0.156569398483448,0.107827967399894,0.688443586381477,-0.566140274770099,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.3,0.00501259712435541,0.00489561121053113,-0.0858005194499265,-0.0543712851326353,0.00674798503002119,0.00188622296942437,-0.0900360669882808,-0.0470262950500394,-0.524637440120955,-0.144963141214248,354.834321831444,-0.144963141214248
0.31,-0.00475802848121343,0.0237935230478698,-0.0271466559067387,-0.168987935772898,0.018210134697952,-0.0160362579282074,-0.159857744811693,0.0611503457669988,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.32,-0.00469953552430129,-0.189347356865811,-0.027497793904597,0.87872907036637,-0.166235192331778,0.0907764728144335,0.746771311146249,-0.463954218243004,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.33,0.0148417375690033,-0.0630894179880356,-0.144805652351405,0.178376529441508,-0.047170029783006,0.0444470485680045,0.0818528447281098,-0.214678771699554,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.34,-0.00458257586907738,-0.0145286365810487,-0.0281999122677907,-0.0550744928605971,-0.014870025156275,0.0033111379240049,-0.0617925968571619,0.0031795895035861,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.35,-0.0046995223972094,0.0243200252933302,-0.0274978727076017,-0.171800135453927,0.0186951309951777,-0.0162493451592129,-0.162467643625144,0.0622549943404088,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.36,-0.0240653866360633,-0.121245529915624,0.0887569920591058,0.528553615068408,-0.116993019535343,0.0399030667802183,0.501924425972306,-0.187932430021097,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.37,-0.00464105132025594,0.0244370024586532,-0.027848879358281,-0.1718003458462,0.0188256635053677,-0.0162573318876173,-0.162643644685394,0.0619513015023683,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.38,-0.04343129901567,0.092539170735106,0.146709157565827,-0.522680271067436,0.0583384662354878,-0.0839428329985382,-0.378896198430812,0.388787748638613,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.39,0.01478331025415,-0.014177871393761,-0.144454908408187,0.0602459966319807,-0.00486607827987109,0.0198967228834964,-0.0202141061032139,-0.155203706746477,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.4,-0.0337191576163676,0.0731148791836343,0.146709367742524,-0.406657310220926,0.046391437280424,-0.0658073073104451,-0.27847757029337,0.330672117637745,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.41,0.00507113821981383,0.00524647267491137,-0.0861519464274099,-0.056479698585885,0.00708098078405915,0.001761144374784,-0.0920369401545478,-0.0462743543722861,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.42,0.00512958303817967,0.00512958303817967,-0.086502795445643,-0.173205604196326,0.00700908711346426,0.00187027862283418,-0.193239605654045,0.0118899012440985,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.43,0.00495427483505922,0.0539827548303577,-0.0854504059837064,-0.290633928589255,0.0492039693501218,-0.0227519682315198,-0.294347337458223,0.0716205086637871,-0.524637440120955,-0.144963141214248,354.785843662593,-0.144963141214248
0.44,-0.0241238883458422,0.00489585627303283,0.0894589528164431,-0.0543727577739138,-0.00784624629515521,-0.0233316912512707,-0.00225000510742512,0.104662498078213,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
0.45,-0.00464105132025594,0.0244371424956376,0.0304542927858634,-0.171801187363129,0.0188257847081626,-0.0162574020320364,-0.133440358406717,0.112413445266813,-0.524637440120955,-0.144963141214248,354.832620046686,-0.144963141214248
0.46,0.00507116009975975,0.00524642891501952,-0.0861520777745124,-0.0564794356218549,0.00708095386927578,0.00176118523129639,-0.0920367783493698,-0.0462745997724223,-0.524637440120955,-0.144963141214248,357.791036335228,-0.144963141214248
0.47,0.00507116447619315,-0.295832269527772,-0.0861521040465995,1.34423527104771,-0.253504344827956,0.152571280247779,1.12028963737988,-0.747891554531557,-0.524637440120955,-0.144963141214248,357.837699267096,-0.144963141214248
