t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.45,S_pct:-2.44,kp:0.1457,ki:0.0004"
0,0.00654228171606388,0,0.070437262745194,-0.333007328811563,0.129119466026785,0,0,0,0,0,0,0,0
0.01,2.15006627866111,-0.100250236690044,-0.0661452174482748,4.88718535283117,2.84987416830807,-0.113644508418983,2.12295732725907,2.7065313852494,5.30061611207258,0.0267438411320395,7.29225873106191,0,0
0.02,-0.352769671294728,-0.0987710952758789,0.109251975706387,-1.45465203914852,1.87912909387538,0.0130996033371213,-0.247491125787561,0.44107520067758,-1.82107506059659,0.077028204666388,6.38243288822373,0,0
0.03,-0.697767795130904,-0.0669944360852242,0.0134228741680653,-0.954421769466951,-2.42044927577783,0.10997814819925,-0.623990220176098,-1.67459481911469,-1.72834124197721,0.115706138284804,4.16974281855019,0,0
0.04,2.18000312582409,-0.167114242911339,-0.0646774001511712,4.80459592281593,-0.798797626643638,-0.360045022893051,2.18136505117036,-1.9395845265986,4.54047032554968,0.173771843560963,11.7000807256216,0,0
0.05,-1.78681341768356,-0.0966444835066795,-0.0900916836888995,-1.21927700641395,0.965249382202869,0.402543534881661,-1.75059310998067,1.38095925881002,-1.07871878656204,0.238118757653532,5.7279909000475,0,0
0.06,-1.29550821470841,-0.0257351510226727,-0.0396667781127324,0.373173945261658,1.28311628637225,0.33620807010908,-1.30493663105028,0.595555972316204,0.716767349840589,0.263449324666815,1.24392766686907,0,0
0.07,-0.40109144026647,-0.000361189420800656,-0.0900148029250715,-0.879645997062434,0.7415777557001,0.0790081441066395,-0.389973085058193,1.40907599305492,-0.0476768535175442,0.2675194508001,-0.112980057957693,0,0
0.08,2.27541929800099,-0.1102364808321,0.158583186440844,3.38447289643595,-2.6505202206347,-0.633113020485568,2.29342246269125,-3.98156150194156,1.99660854380357,0.296438744010733,8.03956303793722,0,0
0.09,1.48972294847826,-0.190233454108238,0.131974190704817,1.40777564734392,1.58572450697926,-0.546692911609542,1.29389827590814,1.06844980078725,2.33204308092056,0.373553480513739,12.9625296121819,0,0
0.1,-0.666387697666915,-0.167543292045593,0.131521425757071,-1.86846495077919,-0.490736207745824,0.281626596301075,-0.533331386844624,0.0418935533835122,-1.79812741356858,0.460607214844877,10.7638619181887,0,0
0.11,0.154325595446459,-0.170512557029724,-0.0437993045083297,-2.35851454821825,-2.56865824421868,-0.060540112751628,0.171723973274222,-0.335809666690484,-2.99363121229154,0.541138026649768,11.2247309336012,0,0
0.12,1.27307392638998,-0.237591207027435,-0.160431472938009,1.83057268842945,-0.517151731446926,-0.777914304644178,1.04941880966619,-0.983288204572006,0.959891612153363,0.641214735180383,16.056743136887,0,0
0.13,1.99504271131653,-0.351600348949432,-0.00983244509081042,3.33917798318004,-1.4820920963775,-1.40590520707794,1.44683178309144,-2.94783827345041,0.605877342073775,0.787444292211492,23.8194469070852,0,0
0.14,-2.15210612247271,-0.251852810382843,-0.227595665779544,-3.98961038299937,3.52825859006547,1.64444536347617,-1.3173570585206,5.59478940698411,0.725214494414281,0.932551224235642,15.7117100776438,0,0
0.15,-2.06334938964515,-0.128937542438507,-0.0463337550529645,-2.58212496306733,-0.897118382447676,1.82375448852946,-1.11255921159007,2.03144645378967,-1.90828795793235,1.0178405814231,7.66446211082941,0,0
0.16,-2.2702047259361,0.00135658658109605,-0.0628792351372001,-2.21911536053166,0.190585862466746,2.01377282184652,-1.17683135416513,2.26886046220511,-1.2909221139757,1.04218328542586,-0.932547408416459,0,0
0.17,0.40440986244722,-0.0065474403090775,-0.0505024853312958,-0.559310242213418,0.947989654798462,-0.396146865980805,0.203155700103813,1.02382504577975,0.853914913584353,1.04063240612481,0.586092937724689,0,0
0.18,-0.239671542575793,0.00154976116027683,-0.0501566629267074,-2.00903139826449,-0.366530766971674,0.165043544614109,-0.0842985670863783,1.26454444430938,-1.34519884206552,1.04210971141692,-0.184339658699411,0,0
0.19,0.586628416055564,-0.0288463868200779,0.192231337722267,-0.290258621704232,0.226480667334646,-0.550790660418992,0.315404927638871,0.221530308344305,-0.0698328980739625,1.04916628347215,2.1161237233296,0,0
0.2,-1.27603493623619,0.032107662409544,-0.0293185523261275,-2.07295774800597,-0.0993007990152017,1.10727974926754,-0.633131119361727,1.8414919433048,-1.34936421472344,1.04748158612672,-2.5733236785811,0,0
0.21,-1.84502652680712,0.132149785757065,-0.0895942032575178,-4.19858072444801,0.00873687580569379,1.51810307552949,-0.970799342724417,3.67067480199613,-2.13817765580009,1.00369422021494,-9.33949122867102,0,0
0.22,-0.351397581960836,0.161055341362953,-0.177864903739227,-0.408827040504204,-0.289341143326175,0.279316305497189,-0.204525777781888,0.583622219282603,-0.620582440000088,0.930136416298884,-10.6915141098726,0,0
0.23,1.0763157784563,0.105985827744007,0.161351944258958,2.82028872369046,0.556707648041015,-0.809731951995583,0.660336985877137,-1.51808342366705,2.64142616080385,0.866951286458254,-6.54067612128894,0,0
0.24,-1.54820230894128,0.186114773154259,0.0108477534250216,-2.03608894115901,-1.47098675710366,1.18528363349753,-1.12229508449176,0.618297293633659,-2.50015027050001,0.79609550416913,-12.8267932519751,0,0
0.25,-0.933966324811478,0.253846198320389,0.0191658842989514,-3.54376175132481,-0.227115750493027,0.649131299830419,-0.789139953461602,2.30623299413954,-2.98159006838441,0.686295926152849,-17.036085139582,0,0
0.26,-2.2809583129617,0.380061537027359,-0.0243110771081498,-4.86770796309941,1.58762614037568,1.12901013382363,-2.0042488183097,4.08974065576583,-3.33765788189885,0.529000302380047,-25.7555485474183,0,0
0.27,-1.12650237482478,0.448741436004639,0.00856372147793531,-1.86802044656018,-0.948466464289015,0.375486572404033,-1.08105866527884,-0.0371221921947602,-1.53975355013754,0.325071804503832,-29.8094036369974,0,0
0.28,2.73826312205488,0.320910841226578,0.0763448250682855,6.41929024618353,1.64153770239765,-0.443396035896736,2.78165977848805,1.36831055052072,6.22956485964724,0.142163880505715,-20.0825086840078,0,0
0.29,2.65097864744534,0.184643387794495,0.036518391046447,3.08219786639825,1.07070779796563,-0.0857495205920508,2.60865197274397,0.589997142111034,2.94736895939697,0.0276984237434019,-11.2340231679455,0,0
0.3,-0.181102118751633,0.180868536233902,0.108275016282718,-1.88151145070866,-0.863327906823019,-0.107914548431554,0.182362612830825,-0.343669106863877,1.71292785908127,-2.65426577819305,-11.9296158604349,0,0
0.31,-1.20186240339856,0.241240575909615,-0.06860527116989,-3.81121158014515,1.94398698351547,-0.420625321794562,1.16608955951032,-3.62364135011142,2.69073991570106,-2.75754635242951,-16.2333144760849,0,0
0.32,1.8348430050165,0.161820143461227,0.0277979309335637,4.86259604113049,0.639582295465386,0.531831896167341,-1.70828530531925,0.180138810771784,-5.04718713132685,-2.85385568460661,-9.98586900106509,0,0
0.33,-2.28897195868994,0.264714539051056,-0.0585400786327782,-4.33063870241358,-0.949385200069162,-0.450775184120754,2.3420062774902,-0.22484409570377,4.55463844065517,-2.95664925855131,-18.178123377419,0,0
0.34,-1.44541207518966,0.350101470947266,0.189832663006394,-1.37688292487233,-1.54445013009229,-0.073251680782631,1.492300170066,1.2135341048795,1.44305824881078,-3.10944317285656,-23.4755439607782,0,0
0.35,0.628913872078924,0.318720251321793,0.00423982790437612,2.29849150776462,0.553835934179554,-0.0844426734968168,-0.747323218983631,-0.899073703205413,-1.93519514359039,3.0120321193619,-20.5973492765529,0,0
0.36,-1.10532467595165,0.374546766281128,-0.00545509937990524,-1.52318068149996,-3.25335973044179,0.289903334427457,1.10654489525711,2.6865982815405,0.880870556991499,2.84495943276492,-24.9820321847774,0,0
0.37,-0.135341416809547,0.38371142745018,-0.032468553945282,0.821896334529131,-0.593724088551409,0.0202261075615057,0.0674682847844949,0.293162319532553,-0.876155092810404,2.66106721915909,-25.1652732015346,0,0
0.38,-2.33492185414257,0.502395629882812,0.136913286210303,-5.63469828586223,2.70524310547943,1.5450797472253,1.78575627101684,2.21489931283701,5.68366738944372,2.44476151137595,-33.7578803182493,0,0
0.39,2.07639527114852,0.414825767278671,-0.0190405024402845,4.93032839848621,-0.879713992602977,-1.69235437688516,-1.26369721773437,-3.17949751607223,-3.97377509010574,2.22371526989595,-26.4647859828902,0,0
0.4,0.350437759884805,0.385775327682495,-0.0748110932129957,-2.26799708846576,-0.604269016502173,-0.363223285922988,-0.18300936187176,1.85273466223214,0.992027316776346,2.03462193577343,-25.1554703502833,0,0
0.41,1.08912205831484,0.332440584897995,-0.0592650594500357,4.67957371807696,3.55653501084313,-0.977398940910672,-0.35799559314374,-4.66370827584415,1.74238702612314,1.86397142634928,-21.417722624827,0,0
0.42,-1.3982755957269,0.393520176410675,-0.111615243544434,-2.15575176135546,-1.72929132904058,1.40977788908523,0.205492335593097,2.27466032849768,-1.60821836713358,1.68930949781593,-26.2869903161106,0,0
0.43,-0.857691138030628,0.445450454950333,0.107045659722028,-1.96916954646602,1.01519393911459,0.876161737155242,-0.0913785759264522,1.90416774784847,0.629398314015311,1.48470946283908,-29.5206962136947,0,0
0.44,1.75150344806986,0.356601566076279,-0.0077032645046133,1.03241625209861,1.02130014848811,-1.72568104667407,0.471897737459952,-0.727876885251569,1.20176804338312,1.29314220603695,-22.6835664033248,0,0
0.45,-0.386468803866347,0.369554579257965,0.0896539474126014,-3.88396966873266,2.05181896238333,0.342081326139128,-0.220006693425446,4.71144887398752,0.464550216699692,1.12076549949412,-24.3882036871578,0,0
0.46,-0.815539344272971,0.411826938390732,-0.123971370982418,-0.764581892223205,-0.267891124064433,0.650986266916202,-0.467055792209704,0.559368132496373,-1.27377862387526,0.931277237331343,-27.2673616165155,0,0
0.47,1.84795247491584,0.332438051700592,0.125089457265988,0.277245200823498,1.20354154375623,-1.24782199015825,1.28819853970857,0.749694943829736,1.26013494724361,0.753737852269242,-21.184175989607,0,0
0.48,-1.72832978487984,0.401711523532867,-0.0218147180871663,-2.81288007481218,3.60662983990713,0.884560618991337,-1.47583953927774,4.12036692377782,-0.357073357369563,0.577711654231731,-26.8904376430568,0,0
0.49,2.54289310123071,0.29314598441124,-0.133096110304708,5.02270181539042,2.60449138501267,-1.06774425927878,2.29012705044241,0.724351858513969,6.15518402790797,0.411531477449583,-18.3479007471533,0,0
0.5,2.28981093106225,0.173121556639671,-0.0788931491801324,2.04500355834397,-0.339497609802846,-0.689368778499713,2.19594435015899,-0.608844402865104,1.29937916410752,0.305811141363114,-10.5698198644442,0,0
