t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.00464105132025594,-0.043489108228559,-0.027848879358281,0.177670317420643,0.0399664692238268,-0.0177629735588801,-0.13983601582143,0.113084881629035,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,-0.0142944535778963,0.0243777715030629,0.0301012828528703,-0.171796650728575,-0.0139413737753689,0.0245814003629092,0.133624002038819,-0.112092829878072,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,-0.00469966328969084,-0.00475827525912574,-0.027497026918528,-0.0550728521165571,0.00647221017212812,0.00168478899743473,0.0614394648609198,-0.00378122826793284,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.04,-0.00446522765483928,0.0442121204719221,-0.0285525352410823,-0.290633928589255,-0.0360317025510103,0.026007042621352,0.265858824254016,-0.12084044555607,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.05,-0.00469965512555723,-0.00446523990435208,-0.0274970759284889,-0.0564816093696421,0.00621856826979848,0.00183153880014867,0.0626588443531602,-0.00448671438007493,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.06,-0.0336013560495333,0.0439191218502294,0.0880518370906856,-0.289225367550837,-0.0211862497992715,0.0510791857012784,0.206242273974158,-0.221062352461764,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.07,-0.00464105132025594,-0.0429618453902862,-0.027848879358281,0.174853980150345,0.0395100949627937,-0.0174989117583675,-0.137398324887696,0.111674414142114,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.08,-0.00458245975785607,-0.0436064056292004,-0.0282006092929358,0.17837518655747,0.0400386528072581,-0.0178724321431241,-0.140269965789069,0.113742332670992,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.09,-0.0337186044698161,-0.00446528887594457,0.0884038365075365,-0.0564814131813553,0.0207517722166263,0.026948971075104,0.00461361352588494,-0.10480507103403,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
