t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0,0
0.01,-0.004758298932415,-0.00464105132025594,0.0315088837212759,-0.0557772798034009,-0.00165318747309092,-0.00643799171064132,-0.0640600711728797,-0.000471144302033141,0.52156938491557,-0.144963141214248,320.910246452599,-0.144963141214248,3.2236216136334e-10
0.02,-0.0145875571038615,0.0149002173966153,0.0901627998363776,-0.173205604196326,0.0201871852479678,-0.00522406474778469,-0.19509874095181,-0.0081236123964427,0.52156938491557,-0.144963141214248,320.910246452599,-0.144963141214248,-0.558414268524786
0.03,0.0244363565300219,-0.00452380370774146,-0.0854470249541502,-0.0564818497510399,-0.0160975172877145,0.0189333107939487,-0.00639867671680759,-0.102227444265657,0.52156938491557,-0.144963141214248,318.773947529447,-0.144963141214248,-3.19945541977535
0.04,0.0240259899093877,-0.00440655610365116,-0.083687407569471,-0.057186419648056,-0.0157913974552488,0.0186359248289692,-0.0078862801615446,-0.101052834512823,0.52156938491557,-0.144963141214248,323.916324224291,-0.144963141214248,3.27055399714856
0.05,0.00530545445748469,-0.0241823200371289,-0.0285527263547437,0.061651044589528,-0.0236103954359654,-0.00744860233439244,0.0676799701112343,0.00596079919232896,0.52156938491557,-0.144963141214248,318.773947529447,-0.144963141214248,-0.315641087193747
0.06,0.112196194350669,-0.0729182442206492,-0.553622583231003,0.295803123450922,-0.119123708154316,0.060947506286645,0.532310370186864,-0.332630609382561,0.52156938491557,-0.144963141214248,320.87820196967,-0.144963141214248,18.2912427993649
0.07,0.00477784019850305,-0.0238305771974523,-0.0257373383624898,0.0595373347337921,-0.0230425416141219,-0.00773081124382344,0.0644445596338624,0.00734871055263776,0.52156938491557,-0.144963141214248,320.956024286001,-0.144963141214248,6.50222136267736
0.08,-0.130721317107814,0.0342069908954599,0.671423108363537,-0.289224788736056,0.0947895526479904,-0.0962970491828158,-0.585299808479117,0.438045777354694,0.52156938491557,-0.144963141214248,315.767869757643,-0.144963141214248,10.6141183910858
0.09,-0.00370307041160957,-0.00516866558136953,0.0262300312243381,-0.0529589999872136,-0.00263640786004945,-0.00578594745576226,-0.0589863713736521,-0.00364392780458619,0.52156938491557,-0.144963141214248,318.773947529447,-0.144963141214248,14.8961718412256
