t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.00464105132025594,0.0341972202602462,-0.027848879358281,-0.172031320979898,0.0272731867135142,-0.0211462175666201,-0.162843554958103,0.0620669967712954,-0.524637440120955,-0.144963141214248,208.907145767305,-0.144963141214248
0.02,-0.00478761083246674,-0.0139720071420592,-0.0272623402100768,0.0593024781523994,-0.0144909611145496,0.00285486375113005,0.0376709417082719,-0.0533002744791972,-0.524637440120955,-0.144963141214248,208.907145767305,-0.144963141214248
0.03,-0.00459219814943016,-0.01431397933704,-0.0281421489329164,0.061063902979178,-0.0146890579014607,0.00319528813604841,0.0387547692470937,-0.0549440502167198,-0.524637440120955,-0.144963141214248,205.855290162801,-0.144963141214248
0.04,-0.00478761083299993,-0.0139720071404596,-0.027262340207943,0.0593024781438552,-0.0144909611134323,0.00285486374986735,0.0376709417019457,-0.0533002744730705,-0.524637440120955,-0.144963141214248,205.855290162801,-0.144963141214248
0.05,-0.0241823200371289,0.0049341703541655,0.0308050367290811,-0.054602996578428,-0.00784235363296182,-0.0234014557016786,-0.0318289800739847,0.0540125314225666,-0.524637440120955,-0.144963141214248,208.907145767305,-0.144963141214248
0.06,0.0148513642255229,-0.0145093920208763,-0.144863441956766,0.0622381862030818,-0.0051189230580981,0.0201216824072909,-0.0186944890082507,-0.156555181064477,-0.524637440120955,-0.144963141214248,208.907145767305,-0.144963141214248
0.07,0.014851364225434,-0.0147536578769607,-0.144863441956232,0.0628253278187738,-0.0053303365255649,0.0202440349888834,-0.0181863146489831,-0.156849279853084,-0.524637440120955,-0.144963141214248,205.855290162801,-0.144963141214248
0.08,-0.00464105132025594,-0.0530545445710047,-0.027848879358281,0.177317944135386,-0.0482437047480098,0.0225581251255691,0.139520191917363,-0.112921784617735,-0.524637440120955,-0.144963141214248,205.855290162801,-0.144963141214248
0.09,-0.00478761083433276,-0.0139720071364611,-0.0272623402026089,-0.057538704653674,-0.0144909611106392,0.00285486374671094,-0.0634557568397861,0.00522538519493617,-0.524637440120955,-0.144963141214248,205.855290162801,-0.144963141214248
