t,iq,id,vq,vd,omega,omega_obs,r
0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.0139426952343919,-0.00493417034794324,0.028693495772021,-0.0543681399254241,-0.144963141214248,257.736835439367,-0.144963141214248
0.02,0.0244363565325456,-0.0240650724258763,-0.143749017559494,0.0609464746494716,-0.144963141214248,255.933188777108,-0.144963141214248
0.03,0.0344414861134865,-0.0534942231124358,-0.203810627620364,0.179079368982457,-0.144963141214248,255.905722076665,-0.144963141214248
0.04,0.111844451505562,-0.0532011040834322,-0.552214889200295,0.177670229098152,-0.144963141214248,257.736835439367,-0.144963141214248
0.05,0.0147829697848361,-0.00452380370847673,-0.0861508719506857,-0.0564818497466215,-0.144963141214248,257.736835439367,-0.144963141214248
0.06,-0.0141185666515598,-0.00493417034738773,0.0293973427603755,-0.0543681399280947,-0.144963141214248,257.736835439367,-0.144963141214248
0.07,-0.0142358142621456,-0.00464105132025594,0.0301011897436604,-0.0557772798034009,-0.144963141214248,260.788691043872,-0.144963141214248
0.08,-0.0918732748789288,0.0340897432798618,0.437863214408177,-0.288520218769886,-0.144963141214248,257.736835439367,-0.144963141214248
0.09,0.0533965167734284,-0.0240650724257431,-0.259649155757512,0.060946474648671,-0.144963141214248,255.933188777095,-0.144963141214248
0.1,0.0244363565319367,-0.0240650724255718,-0.14410094105013,0.060946474647642,-0.144963141214248,257.736835439367,-0.144963141214248
0.11,-0.043371845918796,-0.00464105132025594,0.14670517492451,-0.0557772798034009,-0.144963141214248,257.736835439367,-0.144963141214248
0.12,0.01425535553717,-0.0529666088637987,-0.0833354840172569,0.176261089232914,-0.144963141214248,255.905722076665,-0.144963141214248
0.13,0.102073817151126,-0.0725078775798694,-0.493560973131405,0.293689413621566,-0.144963141214248,255.905722076665,-0.144963141214248
0.14,0.0146657221742872,-0.0045238037090919,-0.0854470249663105,-0.0564818497429247,-0.144963141214248,257.736835439367,-0.144963141214248
0.15,0.0244363565323681,-0.0240650724257875,-0.144100941052072,0.0609464746489383,-0.144963141214248,257.736835439367,-0.144963141214248
0.16,-0.140726446669281,0.0343242385019739,0.672478878748485,-0.289929358647636,-0.144963141214248,255.905722076665,-0.144963141214248
0.17,-0.00446517990272014,-0.0241823200371289,-0.0285527263476632,0.061651044589528,-0.144963141214248,255.905722076665,-0.144963141214248
0.18,0.11184445150383,-0.0920491462927727,-0.552214889192297,0.411117737993297,-0.144963141214248,257.736835439367,-0.144963141214248
0.19,-0.0142358142622791,-0.00464105132025594,0.0301011897441943,-0.0557772798034009,-0.144963141214248,255.905722076665,-0.144963141214248
0.2,4.53929016340795,0.0144898507576968,4.72100678276013,-0.0536635699856309,-0.144963141214248,378.698658251579,1893.83662501392
0.21,4.63605852610282,-0.00464105132025594,4.7831799337794,-0.0564818497437233,-0.144963141214248,243.052832198277,1893.83662501392
