Motor Name,Nominal Voltage (V),Nominal Current (A),Nominal Power (W),Nominal Speed (rpm),Nominal Torque (mNm),Terminal Resistance (Ω),Terminal Inductance (mH),Torque Constant (mNm/A),Speed Constant (rpm/V),Rotor Inertia (gcm²),Number of Pole Pairs
ECX SPEED 13 L High Power (18V),18,3.33,50.0,63000,8.28,0.304,0.0166,2.55,3750,0.349,1
ECX SPEED 13 L High Power (24V),24,2.62,54.0,61700,8.57,0.512,0.005,3.48,2750,0.349,1
ECX SPEED 13 L High Power (36V),36,1.66,54.0,63300,8.27,1.13,0.0664,5.1,1870,0.349,1
ECX SPEED 13 L High Power (48V),48,1.17,54.0,57700,8.5,2.34,0.141,7.42,1290,0.349,1
ECX SPEED 13 L Sterilizable (18V),18,3.22,50.0,66400,7.29,0.344,0.0128,2.41,3960,0.315,1
ECX SPEED 13 L Sterilizable (24V),24,2.44,62.0,65300,7.57,0.552,0.0238,3.29,2910,0.315,1
ECX SPEED 13 L Sterilizable (36V),36,1.6,62.0,67100,7.26,1.17,0.0512,4.82,1980,0.315,1
ECX SPEED 13 L Sterilizable (48V),48,1.14,62.0,61200,7.56,2.38,0.108,7.01,1360,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (18V),18,3.22,50.0,66400,7.29,0.344,0.0128,2.41,3960,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (24V),24,2.44,59.0,65300,7.57,0.552,0.0238,3.29,2910,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (36V),36,1.6,59.0,67100,7.26,1.17,0.0512,4.82,1980,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (48V),48,1.14,59.0,61200,7.56,2.38,0.108,7.01,1360,0.315,1
ECX SPEED 16 M (18V),18,1.46,20.0,45000,4.34,1.07,0.0453,3.45,2760,0.806,1
ECX SPEED 16 M (24V),24,1.14,22.0,45200,4.54,1.73,0.0805,4.61,2070,0.806,1
ECX SPEED 16 M (36V),36,0.781,22.0,45400,4.68,3.62,0.181,6.91,1380,0.806,1
ECX SPEED 16 M (48V),48,0.553,22.0,45200,4.38,7.29,0.322,9.21,1040,0.806,1
ECX SPEED 16 M High Power (18V),18,2.78,40.0,47300,8.95,0.512,0.0336,3.3,2890,0.812,1
ECX SPEED 16 M High Power (24V),24,2.11,50.0,50300,8.56,0.841,0.0534,4.16,2300,0.812,1
ECX SPEED 16 M High Power (36V),36,1.4,50.0,48600,8.79,1.92,0.129,6.46,1480,0.812,1
ECX SPEED 16 M High Power (48V),48,1.05,50.0,48700,8.83,3.35,0.229,8.61,1110,0.812,1
ECX SPEED 16 M Sterilizable (18V),18,2.83,40.0,54600,7.63,0.512,0.033,2.85,3350,0.589,1
ECX SPEED 16 M Sterilizable (24V),24,2.16,48.0,58100,7.29,0.841,0.0524,3.59,2660,0.589,1
ECX SPEED 16 M Sterilizable (36V),36,1.28,48.0,50900,7.37,2.43,0.15,6.07,1570,0.589,1
ECX SPEED 16 M Sterilizable (48V),48,0.987,48.0,52200,7.4,4.06,0.255,7.93,1200,0.589,1
ECX SPEED 16 M Sterilizable Ceramic (18V),18,2.83,40.0,54600,7.63,0.512,0.033,2.85,3350,0.589,1
ECX SPEED 16 M Sterilizable Ceramic (24V),24,2.16,60.0,58100,7.29,0.841,0.0524,3.59,2660,0.589,1
ECX SPEED 16 M Sterilizable Ceramic (36V),36,1.28,60.0,50900,7.37,2.43,0.15,6.07,1570,0.589,1
ECX SPEED 16 M Sterilizable Ceramic (48V),48,0.987,60.0,52200,7.4,4.06,0.255,7.93,1200,0.589,1
ECX SPEED 16 L (18V),18,2.71,40.0,43100,9.01,0.453,0.0246,3.68,2590,0.997,1
ECX SPEED 16 L (24V),24,2.05,43.0,43200,9.1,0.765,0.0437,4.91,1940,0.997,1
ECX SPEED 16 L (36V),36,1.43,43.0,44200,9.37,1.49,0.095,7.25,1320,0.997,1
ECX SPEED 16 L (48V),48,1.1,43.0,44800,9.54,2.45,0.166,9.58,997,0.997,1
ECX SPEED 16 L High Power (18V),18,5.69,80.0,58000,15.5,0.138,0.012,2.8,3410,1.2,1
ECX SPEED 16 L High Power (24V),24,4.41,93.0,58300,16.1,0.208,0.0202,3.74,2550,1.2,1
ECX SPEED 16 L High Power (36V),36,2.83,93.0,58400,15.4,0.461,0.0454,5.61,1700,1.2,1
ECX SPEED 16 L High Power (48V),48,2.05,93.0,58400,14.8,0.858,0.0808,7.48,1280,1.2,1
ECX SPEED 16 L Sterilizable (18V),18,6.08,80.0,61200,15.0,0.138,0.01,2.65,3600,0.952,1
ECX SPEED 16 L Sterilizable (24V),24,4.71,103.0,61500,15.6,0.208,0.0178,3.53,2700,0.952,1
ECX SPEED 16 L Sterilizable (36V),36,3.03,103.0,61700,15.0,0.461,0.04,5.3,1800,0.952,1
ECX SPEED 16 L Sterilizable (48V),48,2.19,103.0,61700,14.4,0.858,0.0712,7.07,1350,0.952,1
ECX SPEED 16 L Sterilizable Ceramic (18V),18,6.08,80.0,61200,15.0,0.138,0.01,2.65,3600,0.952,1
ECX SPEED 16 L Sterilizable Ceramic (24V),24,4.71,109.0,61500,15.6,0.208,0.0178,3.53,2700,0.952,1
ECX SPEED 16 L Sterilizable Ceramic (36V),36,3.03,109.0,61700,15.0,0.461,0.04,5.3,1800,0.952,1
ECX SPEED 16 L Sterilizable Ceramic (48V),48,2.19,109.0,61700,14.4,0.858,0.0712,7.07,1350,0.952,1
ECX SPEED 19 M (18V),18,4.65,30.0,52400,13.7,0.266,0.0259,2.99,3190,1.31,1
ECX SPEED 19 M (24V),24,3.12,41.0,50900,12.5,0.566,0.0486,4.1,2330,1.31,1
ECX SPEED 19 M (36V),36,2.14,41.0,51100,12.9,1.16,0.109,6.15,1550,1.31,1
ECX SPEED 19 M (48V),48,1.61,41.0,50200,13.2,2.04,0.202,8.35,1140,1.31,1
ECX SPEED 19 M High Power (18V),18,4.49,60.0,59600,11.6,0.266,0.0235,2.64,3610,1.15,1
ECX SPEED 19 M High Power (24V),24,3.0,73.0,59200,10.3,0.566,0.0439,3.53,2700,1.15,1
ECX SPEED 19 M High Power (36V),36,2.06,73.0,59500,10.7,1.16,0.0989,5.3,1800,1.15,1
ECX SPEED 19 M High Power (48V),48,1.55,73.0,58400,10.9,2.04,0.183,7.2,1330,1.15,1
ECX SPEED 19 M Sterilizable (18V),18,4.49,60.0,59600,11.6,0.266,0.0235,2.64,3610,1.15,1
ECX SPEED 19 M Sterilizable (24V),24,3.0,73.0,59200,10.3,0.566,0.0439,3.53,2700,1.15,1
ECX SPEED 19 M Sterilizable (36V),36,2.06,73.0,59500,10.7,1.16,0.0989,5.3,1800,1.15,1
ECX SPEED 19 M Sterilizable (48V),48,1.55,73.0,58400,10.9,2.04,0.183,7.2,1330,1.15,1
ECX SPEED 19 M Sterilizable Ceramic (18V),18,4.49,60.0,59600,11.6,0.266,0.0235,2.64,3610,1.15,1
ECX SPEED 19 M Sterilizable Ceramic (24V),24,3.0,92.0,59200,10.3,0.566,0.0439,3.53,2700,1.15,1
ECX SPEED 19 M Sterilizable Ceramic (36V),36,2.06,92.0,59500,10.7,1.16,0.0989,5.3,1800,1.15,1
ECX SPEED 19 M Sterilizable Ceramic (48V),48,1.55,92.0,58400,10.9,2.04,0.183,7.2,1330,1.15,1
ECX SPEED 19 L (18V),18,4.23,60.0,43800,14.2,0.302,0.0231,3.6,2660,1.67,1
ECX SPEED 19 L (24V),24,3.37,69.0,45000,14.8,0.45,0.0365,4.71,2030,1.67,1
ECX SPEED 19 L (36V),36,2.28,69.0,46000,14.8,0.924,0.066,6.94,1380,1.67,1
ECX SPEED 19 L High Power (18V),18,8.27,120.0,54500,24.0,0.0908,0.0124,2.97,3210,1.64,1
ECX SPEED 19 L High Power (24V),24,6.12,141.0,54700,23.7,0.151,0.0221,3.95,2410,1.64,1
ECX SPEED 19 L High Power (36V),36,4.02,141.0,51800,24.7,0.34,0.0555,6.28,1520,1.64,1
ECX SPEED 19 L High Power (48V),48,3.09,141.0,57400,22.8,0.518,0.0813,7.6,1260,1.64,1
ECX SPEED 19 L Sterilizable (18V),18,8.69,120.0,56600,24.3,0.101,0.0101,2.85,3350,1.79,1
ECX SPEED 19 L Sterilizable (24V),24,6.43,151.0,56900,24.0,0.161,0.018,3.8,2510,1.79,1
ECX SPEED 19 L Sterilizable (36V),36,4.2,151.0,54000,24.9,0.35,0.0451,6.01,1590,1.79,1
ECX SPEED 19 L Sterilizable (48V),48,3.26,151.0,59900,23.2,0.528,0.0662,7.28,1310,1.79,1
ECX SPEED 19 L Sterilizable Ceramic (18V),18,8.69,120.0,56600,24.3,0.101,0.0101,2.85,3350,1.79,1
ECX SPEED 19 L Sterilizable Ceramic (24V),24,6.43,165.0,56900,24.0,0.161,0.018,3.8,2510,1.79,1
ECX SPEED 19 L Sterilizable Ceramic (36V),36,4.2,165.0,54000,24.9,0.35,0.0451,6.01,1590,1.79,1
ECX SPEED 19 L Sterilizable Ceramic (48V),48,3.26,165.0,59900,23.2,0.528,0.0662,7.28,1310,1.79,1
ECX SPEED 22 M (18V),18,2.93,40.0,37200,10.4,0.493,0.0294,4.21,2270,2.13,1
ECX SPEED 22 M (24V),24,2.32,49.0,36900,11.3,0.779,0.0535,5.68,1680,2.13,1
ECX SPEED 22 M (36V),36,1.63,49.0,37600,11.7,1.54,0.117,8.42,1130,2.13,1
ECX SPEED 22 M (48V),48,1.2,49.0,37400,11.5,2.86,0.21,11.3,848,2.13,1
ECX SPEED 22 M High Power (18V),18,6.24,80.0,48700,20.2,0.133,0.012,3.33,2870,2.15,1
ECX SPEED 22 M High Power (24V),24,5.03,106.0,56300,18.9,0.172,0.0163,3.88,2460,2.15,1
ECX SPEED 22 M High Power (36V),36,3.29,106.0,53700,19.4,0.407,0.0403,6.1,1560,2.15,1
ECX SPEED 22 M High Power (48V),48,2.17,106.0,50400,18.0,0.983,0.0801,8.6,1110,2.15,1
ECX SPEED 22 M Sterilizable (18V),18,5.72,80.0,49300,18.0,0.172,0.0164,3.25,2940,1.91,1
ECX SPEED 22 M Sterilizable (24V),24,4.4,95.0,51400,17.8,0.274,0.0272,4.18,2290,1.91,1
ECX SPEED 22 M Sterilizable (36V),36,2.92,95.0,53500,17.0,0.591,0.0567,6.04,1580,1.91,1
ECX SPEED 22 M Sterilizable (48V),48,2.16,95.0,51500,17.4,1.1,0.109,8.36,1140,1.91,1
ECX SPEED 22 M Sterilizable Ceramic (18V),18,5.72,80.0,49300,18.0,0.172,0.0164,3.25,2940,1.91,1
ECX SPEED 22 M Sterilizable Ceramic (24V),24,4.4,107.0,51400,17.8,0.274,0.0272,4.18,2290,1.91,1
ECX SPEED 22 M Sterilizable Ceramic (36V),36,2.92,107.0,53500,17.0,0.591,0.0567,6.04,1580,1.91,1
ECX SPEED 22 M Sterilizable Ceramic (48V),48,2.16,107.0,51500,17.4,1.1,0.109,8.36,1140,1.91,1
ECX SPEED 22 L (18V),18,4.23,80.0,43800,14.2,0.302,0.0231,3.6,2660,1.67,1
ECX SPEED 22 L (24V),24,3.37,92.0,45000,14.8,0.45,0.0365,4.71,2030,1.67,1
ECX SPEED 22 L (36V),36,2.28,92.0,46000,14.8,0.924,0.066,6.94,1380,1.67,1
ECX SPEED 22 L High Power (24V),24,7.34,120.0,45700,34.3,0.103,0.0128,4.81,1980,3.94,1
ECX SPEED 22 L High Power (36V),36,5.11,170.0,47700,34.4,0.187,0.0266,6.95,1370,3.94,1
ECX SPEED 22 L High Power (48V),48,3.66,170.0,48700,32.2,0.341,0.0455,9.09,1050,3.94,1
ECX SPEED 22 L Sterilizable (24V),24,7.39,120.0,50600,30.8,0.105,0.0114,4.34,2200,2.36,1
ECX SPEED 22 L Sterilizable (36V),36,5.14,171.0,52800,31.0,0.189,0.0238,6.27,1520,2.36,1
ECX SPEED 22 L Sterilizable (48V),48,3.69,171.0,53900,28.9,0.343,0.0477,8.2,1160,2.36,1
ECX SPEED 22 L Sterilizable Ceramic (24V),24,7.39,120.0,50600,30.8,0.105,0.0114,4.34,2200,2.36,1
ECX SPEED 22 L Sterilizable Ceramic (36V),36,5.14,171.0,52800,31.0,0.189,0.0238,6.27,1520,2.36,1
ECX SPEED 22 L Sterilizable Ceramic (48V),48,3.69,171.0,53900,28.9,0.343,0.0477,8.2,1160,2.36,1
ECX PRIME 6 M (6V),6,0.458,1.6,29500,0.58,2.83,0.0187,1.52,6300,0.0119,2
ECX PRIME 6 M (12V),12,0.229,2.2,29500,0.58,11.3,0.0746,3.03,3150,0.0119,2
ECX PRIME 16 M (12V),12,2.07,25.0,12800,14.2,1.02,0.0485,7.29,1310,1.03,2
ECX PRIME 16 M (18V),18,1.35,32.0,12800,14.2,2.28,0.111,10.9,873,1.03,2
ECX PRIME 16 M (24V),24,1.04,32.0,12900,14.6,3.83,0.193,14.6,655,1.03,2
ECX PRIME 16 L (24V),24,1.99,50.0,16200,24.7,1.01,0.033,12.9,740,2.28,2
ECX PRIME 16 L (36V),36,1.45,53.0,18400,23.7,1.83,0.0586,17.2,555,2.28,2
ECX PRIME 16 L Sterilizable Ceramic (24V),24,1.99,60.0,16200,24.7,1.01,0.033,12.9,740,2.28,2
ECX PRIME 16 L Sterilizable Ceramic (36V),36,1.45,60.0,18400,23.7,1.83,0.0586,17.2,555,2.28,2
ECX PRIME 22 L (24V),24,3.37,90.0,45000,14.8,0.45,0.0365,4.71,2030,1.67,2
ECX PRIME 22 L (36V),36,2.28,100.0,46000,14.8,0.924,0.066,6.94,1380,1.67,2
ECX PRIME 22 L Sterilizable Ceramic (24V),24,3.37,100.0,45000,14.8,0.45,0.0365,4.71,2030,1.67,2
ECX PRIME 22 L Sterilizable Ceramic (36V),36,2.28,100.0,46000,14.8,0.924,0.066,6.94,1380,1.67,2
ECX TORQUE 22 M - 12V,12,3.18,30,10700,29.1,0.299,0.154,8.88,1080,1.72,4
ECX TORQUE 22 M - 18V,18,2.41,30,12200,29.4,0.486,0.274,11.8,806,1.72,4
ECX TORQUE 22 M - 24V,24,1.88,30,13100,28.5,0.763,0.428,14.8,645,1.72,4
ECX TORQUE 22 M - 36V,36,1.28,30,12900,29.7,1.64,0.988,22.5,424,1.72,4
ECX TORQUE 22 M - 48V,48,0.885,30,10900,32.4,3.63,2.38,34.9,273,1.72,4
ECX TORQUE 22 L - 12V,12,3.7,40,7930,45.7,0.275,0.148,12.1,789,3.06,4
ECX TORQUE 22 L - 18V,18,2.74,40,8840,46.2,0.473,0.275,16.5,579,3.06,4
ECX TORQUE 22 L - 24V,24,2.13,40,8850,48.1,0.771,0.49,22,434,3.06,4
ECX TORQUE 22 L - 36V,36,1.39,40,9190,45.2,1.78,1.03,31.9,299,3.06,4
ECX TORQUE 22 L - 48V,48,1.14,40,9380,48.8,2.62,1.77,41.8,228,3.06,4
ECX TORQUE 22 XL - 12V,12,4.15,45,5610,71.6,0.292,0.162,17,563,4.97,4
ECX TORQUE 22 XL - 18V,18,2.58,45,4990,74.5,0.757,0.449,28.3,338,4.97,4
ECX TORQUE 22 XL - 24V,24,2.01,45,5000,77.5,1.24,0.798,37.7,253,4.97,4
ECX TORQUE 22 XL - 36V,36,1.31,45,5190,73.2,2.87,1.68,54.6,175,4.97,4
ECX TORQUE 22 XL - 48V,48,1.08,45,5320,79.9,4.13,2.88,71.6,133,4.97,4
IDX 56 S - 24V,24,12.9,270,5660,470,0.0787,0.121,32.3,296,107,8
IDX 56 S - 48V,48,6.49,270,5660,475,0.299,0.485,64.6,148,107,8
IDX 56 M - 24V,24,15.2,330,4870,645,0.0592,0.0939,39.5,242,170,8
IDX 56 M - 48V,48,8.6,330,6350,563,0.144,0.234,62.4,153,170,8
IDX 56 L - 24V,24,14.8,400,2900,1040,0.0938,0.138,66.2,144,265,8
IDX 56 L - 48V,48,10.3,400,4800,897,0.146,0.221,83.6,114,265,8
IDX 70 S - 24V,24,29.2,600,4090,1520,0.024,0.058,47.7,200,568,8
IDX 70 S - 48V,48,14.6,600,4110,1510,0.0862,0.235,95,101,568,8
IDX 70 S - 60V,60,11.6,600,4310,1430,0.13,0.344,114,83.9,568,8
IDX 70 M - 48V,48,18.6,800,3130,2530,0.0715,0.246,124,76.9,1050,8
IDX 70 M - 60V,60,15.7,800,3170,2650,0.097,0.373,153,62.5,1050,8
IDX 70 L - 48V,48,21.3,900,2430,3750,0.0718,0.221,164,58.2,1530,8
IDX 70 L - 60V,60,17.1,900,2710,3360,0.101,0.287,186,51.4,1530,8
ECX FLAT 22 S - 9V,9,0.977,4.5,5240,7.95,3.16,0.6,8.23,1160,6.7,6
ECX FLAT 22 S - 18V,18,0.514,4.5,5650,7.99,11.5,2.18,15.7,610,6.7,6
ECX FLAT 22 S High Torque - 12V,12,1.75,17,10300,15.1,1.06,0.158,8.47,1130,4.84,6
ECX FLAT 22 S High Torque - 18V,18,1.08,17,9200,15.5,2.77,0.431,14,682,4.84,6
ECX FLAT 22 S High Torque - 24V,24,0.823,17,9650,15,4.73,0.706,17.9,533,4.84,6
ECX FLAT 22 L High Torque - 18V,18,1.89,37,9070,28.3,1.44,0.26,14.4,661,6.82,6
ECX FLAT 22 L High Torque - 36V,36,0.885,37,8520,28,6.34,1.16,30.6,313,6.82,6
ECX FLAT 32 S - 12V,12,3.03,35,7320,35,0.452,0.345,10.2,937,32.6,6
ECX FLAT 32 S - 24V,24,1.66,35,8380,33.6,1.38,1.12,18.3,521,32.6,6
ECX FLAT 32 S - 48V,48,0.905,35,9600,32.3,4.66,3.53,32.6,293,32.6,6
ECX FLAT 32 S High Torque - 18V,18,4.99,65,8740,81.5,0.365,0.194,14.4,662,24.4,6
ECX FLAT 32 S High Torque - 24V,24,4.05,65,9400,83.1,0.548,0.303,18,529,24.4,6
ECX FLAT 32 S High Torque - 48V,48,2.24,65,10400,84.9,1.75,1.05,33.7,284,24.4,6
ECX FLAT 32 L High Torque - 18V,18,5.25,100,8070,94.4,0.323,0.191,16,598,30.7,6
ECX FLAT 32 L High Torque - 24V,24,4.24,100,8100,103,0.465,0.339,21.3,448,30.7,6
ECX FLAT 32 L High Torque - 36V,36,3.46,100,9870,105,0.705,0.53,26.6,359,30.7,6
ECX FLAT 32 L High Torque - 48V,48,2.81,100,10700,106,1.07,0.805,32.8,291,30.7,6
ECX FLAT 42 S - 24V,24,2.17,40,6290,59.8,1.01,0.802,25.7,372,87.5,8
ECX FLAT 42 S - 48V,48,1.18,40,6540,63.5,3.26,3.02,49.8,192,87.5,8
ECX FLAT 42 S High Torque - 24V,24,5.2,100,7320,127,0.372,0.185,24.7,386,65.3,8
ECX FLAT 42 S High Torque - 48V,48,2.57,100,7020,133,1.41,0.807,51.7,185,65.3,8
ECX FLAT 42 M High Torque - 24V,24,7.34,150,6470,214,0.233,0.153,28.3,339,86.2,8
ECX FLAT 42 M High Torque - 48V,48,3.53,150,6070,221,0.934,0.698,60.1,159,86.2,8
EC 22 80W - 48V (25°C),48,1.72,80,11400,56.6,3.59,0.626,34.4,278,7.63,1
EC 22 80W - 48V (100°C),48,1.35,80,11700,44,4.64,0.626,33.5,285,7.63,1
EC 22 80W - 48V (150°C),48,1.03,80,12200,32.4,5.35,0.626,32.9,290,7.63,1
EC 22 80W - 48V (200°C),48,0.515,80,13200,14.9,6.05,0.626,32.3,296,7.63,1
EC 22 240W - 48V (25°C),48,4.48,240,8410,149,3.59,0.626,34.4,278,7.63,1
EC 22 240W - 48V (100°C),48,3.61,240,8510,120,4.64,0.626,33.5,285,7.63,1
EC 22 240W - 48V (150°C),48,2.88,240,9130,92.2,5.35,0.626,32.9,290,7.63,1
