Motor Name,Nominal Voltage (V),Nominal Current (A),Nominal Power (W),Nominal Speed (rpm),Nominal Torque (mNm),Terminal Resistance (Ω),Terminal Inductance (mH),Torque Constant (mNm/A),Speed Constant (rpm/V),Rotor Inertia (gcm²),Number of Pole Pairs
EC-max 40 70W 48V,48,2.02,96.96,7610,94.2,3.78,0.592,50,191,51.2,1
EC-max 40 120W 48V High Speed,48,4.06,195,9250,170,1.03,0.204,44.8,213,101,1
EC-max 40 120W 48V Variant 2,48,3.1,149,6280,185,2.02,0.4,62.8,152,101,1
EC-max 40 120W 48V Variant 3,48,2.19,105,3770,203,4.4,0.937,96.1,99.4,101,1
EC-max 40 120W 48V Low Speed,48,1.74,83.5,2670,211,7.19,1.6,126,76.1,101,1
EC-4pole 22 90W 18V,18,4.32,77.8,14900,42.6,0.323,0.0283,10.5,907,5.54,2
EC-4pole 22 90W 24V,24,3.34,80.2,15000,45.1,0.527,0.0503,14,680,5.54,2
EC-4pole 22 90W 36V,36,2.16,77.8,14900,43.7,1.24,0.113,21.1,453,5.54,2
EC-4pole 22 90W 48V,48,1.58,75.8,14900,42.6,2.3,0.201,28.1,340,5.54,2
EC-4pole 22 90W 48V Low Speed,48,0.679,32.6,5550,43.9,13.5,1.11,66,145,5.54,2
EC-4pole 22 120W 18V,18,5.55,99.9,15700,54,0.209,0.017,10.2,940,8.91,2
EC-4pole 22 120W 24V,24,4.21,101,15800,54.6,0.341,0.031,13.5,705,8.91,2
EC-4pole 22 120W 36V,36,2.95,106,16800,54,0.634,0.062,19.2,497,8.91,2
EC-4pole 22 120W 48V,48,2.1,101,15800,54.5,1.27,0.123,27.1,352,8.91,2
EC-4pole 30 100W 18V,18,7.74,139,16300,72,0.135,0.0166,9.8,974,18.3,2
EC-4pole 30 100W 24V,24,5.56,133,16300,68.8,0.248,0.0295,13.1,731,18.3,2
EC-4pole 30 100W 36V,36,3.98,143,16400,74.3,0.466,0.0664,19.6,487,18.3,2
EC-4pole 30 100W 48V,48,2.95,142,16400,73.4,0.836,0.118,26.1,365,18.3,2
EC-4pole 30 150W Sterilizable 24V,24,7.23,174,16600,84.6,0.102,0.016,13.3,718,35.2,2
EC-4pole 30 150W Sterilizable 32V,32,4.9,157,12400,106,0.321,0.049,23.3,410,35.2,2
EC-4pole 30 200W 24V,24,7.61,183,16100,95.6,0.102,0.016,13.7,697,33.3,2
EC-4pole 30 200W 36V,36,5.06,182,16100,95.2,0.21,0.037,20.6,465,33.3,2
EC-4pole 30 200W 48V,48,3.68,177,16000,92.9,0.386,0.065,27.6,346,33.3,2
EC-4pole 32 HD 220W 48V 25C,48,4.87,234,5710,334,1.01,0.298,70.5,135,128,2
EC-4pole 32 HD 220W 48V 100C,48,3.85,185,5870,261,1.31,0.298,68.7,139,128,2
EC-4pole 32 HD 220W 48V 150C,48,2.98,143,6080,196,1.51,0.298,67.4,142,128,2
EC-4pole 32 HD 220W 48V 200C,48,1.67,80.2,6470,104,1.71,0.298,66.2,144,128,2
EC-4pole 32 HD 480W 48V 25C,48,11.4,547,4670,804,1.01,0.298,70.5,135,140,2
EC-4pole 32 HD 480W 48V 100C,48,10.9,523,4420,762,1.31,0.298,68.7,139,140,2
EC-4pole 32 HD 480W 48V 150C,48,8.75,420,4700,596,1.51,0.298,67.4,142,140,2
EC-4pole 32 HD 480W 48V 200C,48,5.78,277,5340,379,1.71,0.298,66.2,144,140,2
EC-i 30 20W 24V Config1,24,1.19,28.6,6000,32.6,N/A,N/A,N/A,600,6.69,N/A
EC-i 30 20W 24V Config2,24,1.19,28.6,6000,32.6,N/A,N/A,N/A,600,6.69,N/A
EC-i 30 30W 12V,12,3.03,36.4,7720,36.9,0.435,0.279,12.3,775,7.3,2
EC-i 30 30W 24V,24,1.51,36.2,7770,36.8,1.65,1.12,24.6,387,7.3,2
EC-i 30 30W 36V,36,0.976,35.1,7760,35.4,3.95,2.51,37,258,7.3,2
EC-i 30 30W 48V,48,0.744,35.7,7600,36.9,6.78,4.66,50.3,190,7.3,2
EC-i 30 45W HT 12V,12,4.49,53.9,6730,64.9,0.222,0.199,13.7,696,8.1,4
EC-i 30 45W HT 18V,18,3.08,55.4,6780,67.1,0.435,0.449,20.6,464,8.1,4
EC-i 30 45W HT 24V,24,2.27,54.5,7050,63.3,0.775,0.749,26.6,359,8.1,4
EC-i 30 45W HT 36V,36,1.54,55.4,6810,67.1,1.65,1.8,41.2,232,8.1,4
EC-i 30 45W HT 48V,48,1.13,54.2,7070,63.2,3.01,3,53.2,180,8.1,4
EC-i 30 50W 12V,12,4.95,59.4,8730,55.3,0.206,0.119,11.4,837,13.8,2
EC-i 30 50W 24V,24,2.47,59.3,8830,55.2,0.735,0.475,22.8,418,13.8,2
EC-i 30 50W 36V,36,1.64,59.0,9140,53.2,1.6,1.01,33.2,288,13.8,2
EC-i 30 50W 48V,48,1.34,64.3,9100,58.7,2.39,1.82,44.6,214,13.8,2
EC-i 30 75W HT 12V,12,7.34,88.1,6760,108,0.117,0.0975,14.3,668,15.5,4
EC-i 30 75W HT 18V,18,4.98,89.6,6840,110,0.216,0.219,21.4,446,15.5,4
EC-i 30 75W HT 24V,24,3.65,87.6,6870,107,0.376,0.39,28.6,334,15.5,4
