t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0,0
0.01,0.00512958303817967,0.00468990450234709,-0.086502795445643,-0.0540158549787585,0.0066285428765351,0.0020905132672748,-0.0900802097106231,-0.0478121535541664,-0.524637440120955,-0.144963141214248,150.967667116003,-0.144963141214248,-1.04675868731479e-10
0.02,-0.00459219814951901,-0.0533965167709619,-0.028142148932383,0.295333410156821,-0.0485152130875529,0.0227717014336961,0.241516340666514,-0.172289468315525,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,0.0995609690383582
0.03,0.00512958303817967,-0.0337575417122614,-0.086502795445643,0.061063902979178,-0.0266479372998459,0.0213488098559178,0.0095219657632567,-0.105455516854096,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-10.4492353241591
0.04,0.00512958303817967,-0.0337575417119059,-0.086502795445643,0.17790508575962,-0.0266479372995382,0.0213488098557397,0.110648664292872,-0.163981176508928,-0.524637440120955,-0.144963141214248,155.777391548423,-0.144963141214248,6.62473409113448
0.05,-0.00478761083326658,0.0335621290354227,-0.0272623402068758,-0.169095612908921,0.0266501001503975,-0.020954948934678,-0.160008886154413,0.0611041557524796,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-12.4074391953594
0.06,0.00508072986708732,-0.0336109821979181,-0.0862095258694073,0.177317944141795,-0.0265455597350645,0.0212331156131925,0.110287388439875,-0.163433251256936,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,5.65630702348245
0.07,-0.00459219814907463,-0.0143139793363289,-0.0281421489350507,0.0610639029749051,-0.0146890579006672,0.00319528813599995,0.0387547692423264,-0.0549440502164267,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-17.3628916271617
0.08,-0.0241823200371289,0.00449449181166808,0.0308050367290811,-0.0528415717249493,-0.00822289787565943,-0.0231812210538995,-0.0303044569914425,0.0531302350521509,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-1.82314986716405
0.09,0.00512958303817967,0.00512958303817967,-0.086502795445643,-0.0557772798034009,0.00700908711346426,0.00187027862283418,-0.0916047327682072,-0.0469298571981948,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-7.35269572197196
0.1,0.0146559515393758,-0.0144116856786916,-0.143983633219521,0.0610639029717012,-0.00513223973732121,0.0199036105997027,-0.0192701421984216,-0.155205504093391,-0.524637440120955,-0.144963141214248,154.001211586648,-0.144963141214248,-7.69672875116862
0.11,0.00508072986664297,-0.0822198881293022,-0.0862095258667398,0.294159126899809,-0.0686168402461542,0.0455812796508229,0.211414086951414,-0.221958910898224,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-8.03311253859557
0.12,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-15.2012796225065
0.13,0.0148025110532086,-0.0141674198201748,-0.144570172373194,0.0604767613477337,-0.00484741471870091,0.0199081060974259,-0.0200721135808863,-0.155419058224922,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,0.332718379976489
0.14,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-8.49246082966881
0.15,0.0147048047090913,-0.0532011040811499,-0.144276902790092,0.177905085736393,-0.0386802282432779,0.0393754834895241,0.0817096578125486,-0.213984990197282,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-9.40631694981822
0.16,-0.00473875765977487,0.0342949266042081,-0.0275556097900467,-0.172618462598792,0.027308811070598,-0.0212797239844994,-0.163204830816032,0.0626149220168965,-0.524637440120955,-0.144963141214248,155.777391548207,-0.144963141214248,-14.0787705950266
0.17,-0.00473875765995277,0.0342949266039413,-0.0275556097895127,-0.172618462597723,0.027308811070278,-0.0212797239845197,-0.16320483081484,0.0626149220168232,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-6.24225039191145
0.18,-0.00473875766013013,-0.0143139793388174,-0.0275556097889804,-0.0563644214030701,-0.0147624694505227,0.0030684400590392,-0.0625863066180778,0.00438336113654418,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,5.02240171551387
0.19,-0.0338063948854864,0.0733286108671248,0.0888724136767741,-0.407475111381445,0.0465327261685375,-0.0659898696936095,-0.308155868116299,0.281023545728017,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-8.38444119576173
0.2,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-2.74542907961658
0.21,0.00498302352756866,-0.0335132758637315,-0.0859162563038413,0.0598896197809085,-0.0265099353864412,0.02109960920021,0.00879941408427288,-0.104359666378073,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-12.3944157758562
0.22,-0.0435281760728297,0.0925279073908814,0.147233060189501,-0.52314201095934,0.0582801921036322,-0.0840210388338928,-0.379033414469035,0.38947247445653,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-10.955876039489
0.23,0.00517843620856124,0.00483646401589025,-0.0867960650176118,-0.0546029965933784,0.00677986147281087,0.00205938441108848,-0.0907352825744082,-0.047771881223794,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-32.3462306328997
0.24,-0.00459219814978569,-0.0145093920196321,-0.0281421489307821,-0.0551901381973238,-0.0148581886736072,0.00329317019993643,-0.0618637549326228,0.00328751065677546,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-22.7686069768407
0.25,-0.033806394883887,0.0344414861134865,0.0888724136703729,-0.290633928589255,0.0128757017532613,-0.0465113384575401,-0.207029169579723,0.222497886061761,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-17.0506908010209
0.26,-0.0240357605251845,-0.0339529543955646,0.0302184975819429,0.061651044589528,-0.0414259664975095,-0.00379607638997447,0.0684957470863756,-0.00472668236389125,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-12.4138051419779
0.27,-0.00464105132025594,-0.0530545445758019,-0.027848879358281,0.177317944154604,-0.0482437047521618,0.022558125127972,0.139520191933997,-0.112921784627361,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-9.21143673340613
0.28,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-5.07755734840391
0.29,0.00522728938000859,0.00493417035452184,-0.0870893345959785,-0.0551901381919851,0.00688889737293827,0.00205272607400914,-0.0913903554275385,-0.0477316089069801,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-19.4548718681843
0.3,0.014509392028588,-0.0137277412846439,-0.143397094078791,-0.0587129878658248,-0.00461369357869334,0.0194341752945499,-0.122643915494717,-0.0947016975903752,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-5.32889687629512
0.31,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-10.3089069790619
0.32,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-5.30902278631358
0.33,-0.00454334497771543,-0.102103129048263,-0.0284354185128883,0.412761734536927,-0.0906465884717755,0.0472110892001155,0.343004315031267,-0.231363053216945,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-2.71814388732047
0.34,0.00508072986682047,0.0052761425522573,-0.0862095258678053,-0.173205604196326,0.00711146467788197,0.00175458438001105,-0.193092707145392,0.0121437277073382,-0.524637440120955,-0.144963141214248,155.777391548506,-0.144963141214248,14.8417632487865
0.35,-0.0339529543955646,-0.0139720071356581,0.0894589528164431,0.0593024781182078,-0.029099859533956,-0.0223879045622899,0.0961365486468872,0.0477226588136055,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,8.52793746213272
0.36,-0.0337086885378817,0.0730843450033999,0.0882858745008337,-0.406300828125506,0.0463702537297602,-0.0657829517166687,-0.307433316404502,0.27992769519356,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,20.1583149025958
0.37,-0.0047876108351325,-0.0532988104259337,-0.0272623401994083,0.177905085742534,-0.0485285297640477,0.0225536296251454,0.140322163287875,-0.112708230473278,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-2.15220491603286
0.38,0.00517843620988303,0.00503187669477296,-0.0867960650255466,-0.172618462575429,0.00694899224223083,0.00196150234989478,-0.192878329800227,0.011341975987394,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,14.3981393371415
0.39,-0.0338063948801876,0.0733286108600597,0.0888724136555679,-0.406887969738251,0.0465327261650768,-0.0659898696854845,-0.307647693744118,0.280729446906818,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,-14.4404114832294
0.4,-0.00478761083589972,0.0341972202540802,-0.0272623401963378,-0.289459645343184,0.0271997751581775,-0.02127306564571,-0.264184630797844,0.121394408130647,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,10.1429457790731
0.41,-0.00464105132025594,-0.0141674198298929,-0.027848879358281,-0.0563644214009385,-0.0145866803427742,0.00307959389715846,-0.0627332051206092,0.00412953467962574,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,7.42160433278753
0.42,-0.0240357605275845,-0.169862478356397,0.0302184975915479,0.762110999756896,-0.159056421187939,0.0642809008680006,0.674747763996777,-0.355586541545789,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,6.97483721630634
0.43,-0.00464105132025594,-0.0150467768878737,-0.027848879358281,0.0645867525878743,-0.0153477688047887,0.00352006317918523,0.041950713834181,-0.0564548164478641,-0.524637440120955,-0.144963141214248,161.908569457944,-0.144963141214248,14.4742225095092
0.44,-0.00464105132025594,0.0340018075832522,-0.027848879358281,-0.171444179394111,0.027104055946391,-0.0210483355052284,-0.162335380624986,0.0617728979972054,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,13.4783492565277
0.45,0.0049830235278347,0.00537384888875462,-0.085916256304906,-0.0569515630070156,0.00714708902877218,0.00162107796633222,-0.0923272844523507,-0.0458340067204153,-0.524637440120955,-0.144963141214248,158.810936019002,-0.144963141214248,12.5302778699774
0.46,0.0148025110562074,-0.0144116856786916,-0.144570172391197,0.061651044589528,-0.00505882818672625,0.0200304586829091,-0.019055764862893,-0.156007255823857,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,6.83561111343733
0.47,-0.0242311732074218,0.00547155523022991,0.0310983063005175,-0.0575387046152372,-0.00740171452684062,-0.0237129140703687,-0.0342229533274905,0.0557368518047507,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,17.1701410478894
0.48,-0.0239380541852224,0.0532988104450196,0.0296319584412124,-0.287698220564215,0.0341398660035221,-0.0474158537020091,-0.234161796832197,0.169754446130858,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,3.48736907150826
0.49,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,0.0274846001784749,-0.0212685701468649,-0.163859903663159,0.0626551943419431,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,12.5700327856358
0.5,-0.0434793229012042,0.0926256137290674,0.146939790611665,-0.523142010946525,0.0583892280034632,-0.0840276971705947,-0.379180312966594,0.389218647986873,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-1.98800615518119
0.51,-0.0240357605251845,0.053738488977117,0.0302184975819429,-0.289459645372825,0.0344714692057888,-0.0477206537294084,-0.235392522866085,0.171144395392344,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,25.0890287651842
0.52,-0.00478761083246725,0.034197220259801,-0.0272623402100748,-0.172618462587042,0.0271997751648483,-0.0212730656456047,-0.163057932296141,0.0628687484760979,-0.524637440120955,-0.144963141214248,155.804858248936,-0.144963141214248,8.42693285507869
0.53,0.0148025110549632,-0.0532988104291316,-0.144570172383727,0.178492227372104,-0.0387158526006587,0.0395089899149154,0.0820709336723094,-0.214532915473292,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,24.3622893012803
0.54,0.00508072986726468,-0.0336109821991596,-0.086209525870472,0.17731794414819,-0.0265455597360502,0.0212331156139679,0.110287388444877,-0.163433251261061,-0.524637440120955,-0.144963141214248,158.90249168763,-0.144963141214248,10.0030616887405
0.55,-0.0241823200371289,0.053738488975338,0.0308050367290811,-0.290046786976764,0.0343980576561021,-0.0478475018074939,-0.235606900201884,0.171946147094616,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,13.5845541164305
0.56,-0.0239869073527573,0.00503187669599388,0.0299252280003641,-0.0557772798034009,-0.00765990618142979,-0.0232812659605345,-0.0332860243099914,0.0538392496119263,-0.524637440120955,-0.144963141214248,155.85063608307,-0.144963141214248,3.1632652183665
0.57,-0.063069444786144,0.121790957285225,0.205886976260848,-0.639983193694891,0.0738193191440956,-0.115591955875771,-0.450780410976931,0.498763427172859,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,17.8201532833466
0.58,0.0147048047115364,-0.228193165453805,-0.1442769028011,1.11263454796903,-0.190136838098202,0.127028874038348,0.890723246034514,-0.682190267439998,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,6.67931361495987
0.59,-0.00473875766297328,0.0342949265994105,-0.0275556097804466,-0.173205604196326,0.0273088110648436,-0.0212797239848645,-0.163713005154508,0.0629090208051799,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-21.8263033673547
0.6,-0.00478761083459879,0.034636898799277,-0.0272623402015442,-0.174379887431973,0.0275803194038631,-0.0214933002937152,-0.164582455367013,0.0637510448496154,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-32.4274258607329
0.61,-0.0338063948809549,-0.101907716360785,0.0888724136586384,0.411587451292741,-0.105135297152045,0.0217858734382738,0.400747370282356,-0.129244269439472,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-46.3386322841584
0.62,0.00498302352330312,0.00512958303817967,-0.0859162562867703,-0.0557772798034009,0.00693567556384857,0.00174343054131982,-0.0913109357493007,-0.0464222042689482,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-51.1622559775097
0.63,-0.00464105132025594,-0.0532988104256223,-0.027848879358281,0.177905085740662,-0.0484551182141625,0.0226804777065038,0.140028366267349,-0.113215883401587,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-47.40185511337
0.64,-0.024035760521752,-0.0823664476416119,0.0302184975682059,0.294746268509487,-0.0833281162323134,0.0204542055854407,0.270240969757884,-0.121483902883734,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-35.0339783712216
0.65,0.00508072986629842,0.00503187669441716,-0.0862095258646714,-0.0551901381803656,0.00690005120867866,0.00187693696210804,-0.0909496598926291,-0.0469701295249905,-0.524637440120955,-0.144963141214248,161.908569457944,-0.144963141214248,-39.6864526287761
0.66,-0.0337575417165256,-0.0532011040938774,0.0885791441117355,0.294746268582773,-0.0629549807472558,-0.00256894894133771,0.29947377332058,-0.0709724362564062,-0.524637440120955,-0.144963141214248,158.902491687991,-0.144963141214248,-34.5399657372134
0.67,-0.00464105132025594,0.0340018075848484,-0.027848879358281,-0.171444179400506,0.0271040559477725,-0.021048335506028,-0.162335380630521,0.0617728980004085,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-32.2414929794905
0.68,-0.0240846136972537,0.0538850484904825,0.0305117671597773,-0.290046786989579,0.0345738467692345,-0.0478363479724893,-0.235753798717354,0.171692320645182,-0.524637440120955,-0.144963141214248,158.856713853441,-0.144963141214248,-41.7496213859054
