t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:3.25,S_pct:6.17,kp:0.7363,ki:0.0333"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-1.79565121655964,-3.77626514434814,-0.0241215474393658,-1.58058707928519,1.20726727505595,0.330017739396226,-1.76522900278315,1.49492770258179,-1.31184639065625,0.198253558866049,-2.07367268183851,0,0
0.02,2.88275769606916,4.59999990463257,-0.0274263832326595,3.41241457113315,1.37420942486398,-0.0885401624861773,2.88152820225139,1.30155084528132,3.44078336223226,0.0212034901272736,11.956984591746,0,0
0.03,-2.95684618273055,-4.59999990463257,0.0373478693294853,-0.707629727642763,-1.86678757535474,0.617091882465032,-2.89197714725885,-1.69154411763648,-1.06033682433085,0.197597506600516,-15.1173551155507,0,0
0.04,-1.50639533940714,-3.18477129936218,-0.0122048769453059,-1.21876692408035,0.611077950029477,0.49972722305322,-1.42114340590538,0.98841358133011,-0.939067446186217,0.34623467785067,-5.53982478833148,0,0
0.05,3.2266073399047,0.37697246670723,0.0330086679419538,4.06849638073617,-1.63463189654356,-2.04518563724502,2.49585660791899,-3.86443439962988,2.07143211528116,0.696707921220846,96.4132093680862,0,0
0.06,-2.25482065122141,-4.59999990463257,-0.0635130926796377,-2.45861089650955,3.17702446643912,1.83778854638894,-1.30796916663885,3.81101602789474,1.27059389102801,0.980415904547549,13.2904571877206,0,0
0.07,-0.748926453949427,-0.0632156655192375,-0.0244471650133426,0.635779286085277,1.22353145642077,0.573713709434889,-0.482017714310285,0.25621539237536,1.35484249939842,0.904667515175129,-10.5681615665512,0,0
0.08,1.98517968781393,4.59999990463257,0.00933078801307302,1.49117573326072,-0.470256070792308,-1.11980773306592,1.63922423648497,-1.23396644359348,0.960246143271563,0.60401591395593,-30.3569483569494,0,0
0.09,0.882712847645869,0.237808749079704,0.0168005595498653,-0.245046206428041,-0.839334546045292,-0.559669503832406,0.682813500657578,-0.479980897028156,-0.730854610683875,0.705640148997001,19.2495497963615,0,0
0.1,-1.94872966719501,-0.303514510393143,0.0181946697674139,0.160952678614217,-0.907332987578543,0.981311897917833,-1.68371770817404,-0.867884819809447,-0.309733521992083,0.518358290835488,-38.8163520871398,0,0
0.11,3.63208094240477,2.26570129394531,0.0170827244902855,3.48147829193008,-0.841995838120289,-2.26487249969897,2.83948170477699,-2.83948342880731,2.18334192148665,0.678000998554711,64.5615366549705,0,0
0.12,-1.21402496685276,-3.65780425071716,-0.00742656969719796,0.711489551633137,0.371685265943769,0.979637018287965,-0.71709349911932,-0.358971696742525,0.717987910720372,0.945032861682195,2.79014662104308,0,0
0.13,-1.85722246985588,0.301111370325089,0.0184776571691708,-1.78308904459258,-0.920526290587388,1.20001641775447,-1.41759561352022,0.429988629705583,-1.96007269531835,0.692518798491479,-54.3429275967206,0,0
0.14,-1.98637848882941,-4.59999990463257,0.0161368903977052,-2.38057871217951,-0.807913223726198,1.74065361564585,-0.957123236816933,1.68162083703929,-1.86869744538521,1.05993373045404,9.62463631809968,0,0
0.15,-2.72961148525273,-4.59999990463257,0.0287216297150306,-2.81885244311159,-1.43605977916565,2.59988335329329,-0.831991791849873,2.22348950677804,-2.25039800893562,1.25056136996649,-8.52466518701234,0,0
0.16,0.444912443846474,0.0945397466421127,-0.018746116234322,-1.51805460203257,0.939001250615661,-0.431371132431016,0.110532554790413,1.72454146397546,0.460618999216706,1.27784822948566,15.0583201912305,0,0
0.17,1.64165640426896,2.99446415901184,-0.00425806763661707,1.89097588262969,0.214655177899462,-1.48439593953174,0.701158024641377,-1.61554294338417,1.00592625582982,1.12691663059546,12.5616295809381,0,0
0.18,3.34053649015028,0.863974273204803,0.0227408526374238,5.62258353039959,-1.11891822122127,-3.2958847578346,0.544834701058736,-5.72838378823102,-0.225926352676471,1.41377774410978,100.426356891603,0,0
0.19,2.05100963943692,1.50885498523712,-0.0237982698281869,2.09313449723294,1.19268785990054,-2.05096839461781,0.0271208957966186,-2.06288366234005,1.2442778428917,1.54597096202838,15.2233864742818,0,0
0.2,-0.576198999567771,-1.46557426452637,-0.0211839959805093,-1.71789637526244,1.06044070927559,0.57634979604231,0.0165819597933818,1.6447902259584,1.17062699722007,1.63630756276641,-4.02201454712208,0,0
0.21,-0.585643555231979,-1.85951113700867,-0.00346627143776196,-1.29250739284031,0.173779294917742,0.57069022960507,0.131541060721529,1.21770992317363,0.466858808306564,1.80325315834022,-0.964331202568432,0,0
0.22,-4.81857094192269,-4.59999990463257,-0.0157866861029587,-3.27059373693943,0.798788739869178,4.70241296912405,1.05175444359115,3.01247427741155,1.50327827463279,1.79411376213981,-32.9826783381586,0,0
0.23,2.83490035171225,4.59999990463257,0.0075180133507835,0.455954639523599,-0.381553770181102,-2.82522611026197,0.234123793231257,-0.484997808156287,-0.343882303886236,1.49076814124128,-36.8094580881175,0,0
0.24,-3.45490906105509,-3.12884163856506,-0.0370629320117579,-3.0956949262535,1.86682606046356,3.44009240134772,-0.321767853085906,3.23906232307559,1.60525446072882,1.48826022239183,-79.0922045633537,0,0
0.25,0.312363530745466,-2.40960931777954,0.0389769516149859,1.00248496401597,-1.95059333866863,-0.313289195907131,-0.0306603624380688,-0.549048275371558,-2.12328435854646,1.79249077004072,43.9640862930959,0,0
0.26,-5.40540541490126,-4.59999990463257,0.0219743149975868,-3.77870926083859,-1.07384648573568,5.3937510010781,0.355444381489553,3.83776591957596,-0.838655292367179,1.6325352484454,-93.6778026766373,0,0
0.27,1.83518579430342,1.51335740089417,0.00314902627729252,0.45983607625436,-0.153334931582784,-1.83012354290009,-0.136252096139468,-0.446861118320967,-0.187818953254025,1.64682481683801,53.0696774384822,0,0
0.28,2.26942695765045,2.80824780464172,0.00305206850675599,0.0921596211271394,-0.154677698800309,-2.26557087047416,0.132274948844137,-0.100817888325637,-0.149178884786073,1.51382257357115,-17.59346903211,0,0
