t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0,0
0.01,-0.00464105132025594,-0.0534942231124358,-0.027848879358281,0.061651044589528,-0.0486242489897845,0.022778359772814,0.0394098421085189,-0.0549843225426454,-0.524637440120955,-0.144963141214248,145.733734754073,-0.144963141214248,-1.56343634129753e-10
0.02,0.00512958303817967,-0.160209205169271,-0.086502795445643,0.645270341910451,-0.1360925607167,0.0846883519776274,0.515155912826926,-0.398084078114911,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-0.42579500663615
0.03,0.00501236209906259,-0.0722735557250459,-0.0857991085738976,0.175557320679523,-0.0600424791691497,0.040539996622788,0.108969136677315,-0.162196137833331,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,0.292240274683386
0.04,-0.0144116856786916,-0.073035491829307,0.0308050367290811,0.179079368982457,-0.0704314299071394,0.0241100276251582,0.170424416985245,-0.063038787887096,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,7.12766840373901
0.05,-0.0045824500456597,-0.00505126024242962,-0.0282006675960439,-0.0543686815014523,-0.00666723979465526,-0.00143596378028207,-0.0611820915134701,0.00282539538937438,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,5.76059851872512
0.06,-0.0143530890015765,0.0531038046736325,0.0304532760903734,-0.403836789605181,0.0387721891913482,-0.0390223343742117,-0.334268981846256,0.228639022125976,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,6.44502235553626
0.07,0.0050709909585524,-0.0726253472719161,-0.0861510624060298,0.177670991699893,-0.0603175895734115,0.0407669523477242,0.110622237384427,-0.16355949205526,-0.524637440120955,-0.144963141214248,145.733734754073,-0.144963141214248,6.6775565480518
0.08,0.00501240807609584,0.0146072799914057,-0.0854476791438537,-0.171797337449917,0.0151533940945147,-0.00297850816432627,-0.191492235938763,0.0120977105736804,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,5.61326882886475
0.09,-0.0143531027951309,0.0536312575289936,0.0304533588942066,-0.405950018626991,0.0392286956845771,-0.0392865470469938,-0.336097951931789,0.229697608604118,-0.524637440120955,-0.144963141214248,150.891266463983,-0.144963141214248,6.09714663809482
0.1,0.00507100475210006,0.0147830608244561,-0.086151145209823,-0.172501581332734,0.0153348844211553,-0.00301584089852179,-0.192454128584063,0.0118416119767023,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,6.42909349879576
0.11,0.0048952882837861,0.0147830700194185,-0.0854479275353487,-0.172501636587541,0.0152468761340138,-0.00316792909239526,-0.192101935208713,0.0124502784922143,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,5.48626413068292
0.12,-0.0143531165886852,0.0147830792166025,0.0887557627543605,-0.172501691855698,0.00560537272249271,-0.0198275359935285,-0.104843486973187,0.163224576441447,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,6.13040441675948
0.13,0.00507101854565438,0.0150173463816659,-0.027848879358281,-0.173909461282149,0.0155376667931481,-0.0031331824176714,-0.164469095915686,0.0630077558212967,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,7.19541380274281
0.14,-0.00469961121530015,0.0828847386403551,-0.0274973395253486,-0.523379171882057,0.0693831741324121,-0.0455844424378135,-0.466761002997985,0.238361127957634,-0.524637440120955,-0.144963141214248,148.816610256451,-0.144963141214248,7.2658421522278
0.15,-0.033777288502876,-0.0529672254343701,0.0887559283486905,0.0595398048609022,-0.0627624486069611,-0.0027031895383925,0.0959898118511852,0.0469953104116386,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,10.6234045765241
0.16,-0.0143531349786164,0.0541584069305831,0.0304535520942992,-0.408765944303507,0.0396849303253635,-0.0395506236366009,-0.338535054612811,0.23110827085113,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,6.15316821035032
0.17,-0.00469959742174583,-0.00452395911727616,-0.0274974223291818,-0.0571845519098962,-0.00626953674723947,-0.00180148022367164,-0.063266988113744,0.00484452545667574,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,11.3223277425891
0.18,-0.033777329883539,0.122143029323373,0.147058580613676,-0.758940064564089,0.0887964375588495,-0.0904158188770588,-0.583205348074468,0.507432527248688,-0.524637440120955,-0.144963141214248,145.778502699889,-0.144963141214248,2.62024732923344
0.19,0.0246708517550509,-0.229072957031641,-0.145156711533001,0.999670588645684,-0.185906317249736,0.136095230541634,0.79251161061166,-0.626368185456443,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,13.2369788984472
0.2,-0.00464105132025594,-0.0915231789833437,-0.027848879358281,0.291583401353588,-0.0815385234282752,0.0418270348663521,0.238417585537277,-0.170157265296004,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-4.02059102565281
0.21,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.172502189175657,-0.0063415550074175,-0.00169215684923025,-0.1632510940205,0.0623028542926887,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,5.15866388340064
0.22,-0.0143531625657184,0.053631616152519,0.0891076337892877,-0.405952173684592,0.0392289761362064,-0.0392867784130237,-0.306719935428821,0.280464291718769,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-3.10665040774344
0.23,0.0244952962085748,0.0342074120515183,-0.1444541286768,-0.289227319567138,0.0418763820993991,0.00406634945292551,-0.322684829320121,0.0198478865980524,-0.524637440120955,-0.144963141214248,150.890154639538,-0.144963141214248,-1.07474969086156
0.24,-0.00464105132025594,-0.0532016535223823,-0.027848879358281,0.060947795333278,-0.0483710283698952,0.0226318118875106,0.0388011759358937,-0.0546320655246628,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-5.76017822791408
0.25,-0.00487508860234775,0.0340319208698259,-0.026443934438479,-0.288524346585161,0.0270128900679593,-0.0212659798068928,-0.2629651856588,0.121634252463744,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-3.90219832221219
0.26,0.00507107831624195,-0.0337774402297514,-0.0861515868213752,0.0609479058562389,-0.0266944645490088,0.0213081408434804,0.00959748973622566,-0.105093440950732,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-7.01867900186395
0.27,0.0245538515061376,-0.0528507217434128,-0.144805530507788,0.0588387106755933,-0.0334435903109435,0.0477243824443949,-0.0216077463287777,-0.154802263672723,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-4.92481694974785
0.28,-0.00446556473932928,-0.053728205220338,-0.0285511862105987,0.179782397206135,-0.0487388607205046,0.0230474458521363,0.141301404893486,-0.114764077804616,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-7.7833246232868
0.29,-0.0339529543955646,0.0344414861134865,0.147761743076704,-0.290633928589255,0.012802290205248,-0.0466381865362857,-0.177531549236281,0.273466930706541,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-11.5705792268946
0.3,-0.0143531993477895,0.0533394051904352,0.0304539385077026,-0.40525058217934,0.0389760474867233,-0.0391404419992864,-0.335492295438416,0.229347763077794,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-6.36060059790963
0.31,-0.0144116856786916,0.0151341443302991,0.0308050367290811,-0.174611329088137,0.00587988433326036,-0.0200540761178173,-0.135696864444482,0.114124613969738,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,0.253850304998457
0.32,-0.00469952845619582,-0.00481648272807559,-0.0274978363350114,-0.0550744726123008,-0.00652268302703519,-0.00165489567927158,-0.0614409100310001,0.00378723001581538,-0.524637440120955,-0.144963141214248,153.973744886234,-0.144963141214248,-7.27882148730778
0.33,-0.00464105132025594,-0.0041147984741268,-0.027848879358281,-0.0585882875485792,-0.00588608021972337,-0.0019557564999015,-0.0646579737349879,0.00524346754282939,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-2.16458339059013
0.34,0.0342076143496023,-0.0340698902775067,-0.202757664145001,0.061651044589528,-0.0123531129491743,0.0466724640819124,-0.0482018352595846,-0.206368856046946,-0.524637440120955,-0.144963141214248,148.817634842413,-0.144963141214248,-9.36045366837866
0.35,0.00507111969579384,0.0533396580641136,-0.086151835226205,-0.404549045915515,0.0487058929966589,-0.0223287116682454,-0.393292855312669,0.12807341341592,-0.524637440120955,-0.144963141214248,148.739812524555,-0.144963141214248,-5.21354724377058
0.36,-0.0144116856786916,-0.0331345319669057,0.0308050367290811,0.0574355276383973,-0.0358969255224171,0.00412366715501353,0.065140990552454,-0.00210748020779383,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-6.1343274628418
0.37,-0.00469950546767906,-0.0048164137625253,-0.0274979743369551,-0.0550747488996845,-0.00652261182203433,-0.00165491032737321,-0.0614412182843479,0.00378724896650014,-0.524637440120955,-0.144963141214248,153.927967052267,-0.144963141214248,-3.62979955721998
0.38,0.00489578483841153,-0.0337776057457385,-0.0854501631788289,0.060948568940617,-0.0267824121738446,0.0211565062628229,0.0099494062089371,-0.10448668699546,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-4.20212170063923
0.39,0.00501269313547937,0.0143742128344639,-0.0858010958125455,-0.170395922673304,0.0149518159499918,-0.0028615182820523,-0.190456329736165,0.0110898588696909,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-1.96428418376947
0.4,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.0063415550074175,-0.00169215684923025,-0.0622250307773217,0.00383543589964971,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-3.4255173256074
0.41,-0.0143532499223036,-0.0337776471264006,0.0304542421106413,0.0609487347183833,-0.0364242748713176,0.0044963795242891,0.0680059782120819,-0.00417085767238188,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-1.9960865782695
0.42,0.00489585840255424,-0.159276697446943,-0.0854504943874967,0.640365611158176,-0.135402542549165,0.0840189695861871,0.511437937672677,-0.394716529745299,-0.524637440120955,-0.144963141214248,148.785590358578,-0.144963141214248,-4.49459729006084
0.43,-0.0145869653629475,-0.0728017855836325,0.0315065155696566,0.295103294652491,-0.0703169533023383,0.0238412587952442,0.271195145123623,-0.120547950208507,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-4.87579548493989
0.44,-0.033719266544231,0.0343246421878197,0.0884068173726281,-0.289931784495883,0.0128182151998639,-0.046377401357695,-0.206654676763447,0.221743206413905,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-7.28083677840995
0.45,-0.0337777022995076,0.0342078166520773,0.0887575843853421,-0.289229750912122,0.0126878316185268,-0.0463694600093231,-0.205871363832091,0.221695149140716,-0.524637440120955,-0.144963141214248,150.921889281731,-0.144963141214248,-5.03527076876809
