t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.16,S_pct:7.03,kp:0.0452,ki:3.8311"
0,0.0266694746487629,0,0.0512250532230932,0.176296253615059,-0.303502785884264,0,0,0,0,0,0,0,0
0.01,0.0508745875320668,8.88029444467975e-06,0.102869046338684,0.100432273930638,0.981139028844398,-0.000407015491571776,0.000233206438084317,0.0199041181650135,-0.0116643706339277,1.56720295752585,-0.00133237515843217,0,0
0.02,0.00807165566380461,1.57532304001506e-05,0.0303944972278359,0.256096788711698,0.0862239327446841,-0.000508333904667131,0.000289623506166318,0.0246257197502761,-0.0144853449012606,1.56719203259415,-0.00161228429479507,0,0
0.03,0.00984564392769773,2.269757897011e-05,-0.00133696629973057,-0.0162936211588953,0.610495396198412,-0.000548419716850896,0.000311956171300084,0.0262824626644056,-0.0156012463876491,1.56718004091858,-0.00168061502864817,0,0
0.04,0.0920890428578858,2.87272578134434e-05,-0.120093212192875,-0.261189730512978,0.576932824003033,-0.000541948188913483,0.000308200371039088,0.0256573093914579,-0.0154122634843537,1.56716832956365,-0.00159410688037958,0,0
0.05,-0.102138339909306,3.49512156390119e-05,0.0591974827057899,0.256490269981931,1.01748800230247,-0.000555091852096227,0.000315932318180153,0.026003009240116,-0.0157979012571813,1.56715687432744,-0.00157491087675766,0,0
0.06,0.0260489556790077,4.08461237384472e-05,-0.0669842037759158,0.445485133375332,0.317501292375626,-0.000557627194914975,0.000317587478453856,0.025834751446183,-0.0158796035337824,1.56714571682748,-0.00152172529287567,0,0
0.07,-0.0405929765493821,4.65638950117864e-05,-0.0395391599142175,0.243880844376559,0.804578981812259,-0.00056567340279222,0.000322540924179962,0.0259507954013642,-0.0161263223160899,1.56713510145963,-0.00149005244270616,0,0
0.08,0.106006459563605,5.19221539434511e-05,0.012917108442703,-0.347754533899256,-0.446514583311667,-0.000559245988323721,0.000319004187180883,0.0253611697976889,-0.0159483843687535,1.56712468867297,-0.00141087578634537,0,0
0.09,-0.0609653122387668,5.70945703657344e-05,0.121768750762908,-0.224402137895945,0.647068943339005,-0.000557467147558747,0.000318249746704793,0.0250131765913516,-0.0159096670372585,1.56711477470195,-0.00135007549284094,0,0
0.1,0.00902448917915262,6.20632927166298e-05,-0.0803591938773398,-0.338810403927464,0.0288276775711679,-0.000556738151070257,0.000318090100606012,0.0247277983098334,-0.0159007355087952,1.56710528174396,-0.00129513027821036,0,0
0.11,-0.0218057377417844,6.68309803586453e-05,-0.0754298511090832,-0.439442663104225,-0.85204271698415,-0.000556256722363272,0.000318057552930697,0.0244647957668157,-0.015898192136306,1.56709617982111,-0.00124317881052701,0,0
0.12,-0.00245466165471768,7.14045600034297e-05,0.0687871250225518,0.387837132438311,0.101594277093852,-0.000555843264809336,0.000318052109005031,0.0242148460949171,-0.0158970469017813,1.56708745012565,-0.00119351471310598,0,0
0.13,0.0379837057138695,7.62446725275367e-05,-0.130812680318633,0.00048694211954517,-1.04002163263351,-0.000576144622939053,0.000329947729222279,0.0249871273408473,-0.0164911751810344,1.56707887297186,-0.00121428408376846,0,0
0.14,-0.0265696383106319,8.03066868684255e-05,-0.1129944070958,0.0748860741412847,-0.343444118888855,-0.000587835775489167,0.000336935073399936,0.0253678115089722,-0.0168399238763966,1.56707051095939,-0.00120731923515685,0,0
0.15,-0.0404136478256333,8.46368056954816e-05,0.109867982741509,-0.370383310175334,0.24990272941617,-0.000561997163020805,0.000322092631464058,0.0238588013863497,-0.0160965999000372,1.56706242198414,-0.00107577999212968,0,0
0.16,-0.0238483170592433,8.84440596564673e-05,0.0448309364338988,0.348302164967544,-0.264491116024299,-0.000555982905819424,0.000318920448986847,0.0233669770823223,-0.0159371628323157,1.56705497937695,-0.00101441808804091,0,0
0.17,-0.00898113520322451,9.21272585401312e-05,0.0559836502734589,-0.101687513429522,-0.172043663348028,-0.00055439574358257,0.000318243403444978,0.0231026398204172,-0.0159025757109198,1.56704791093328,-0.000969998269827734,0,0
0.18,0.017668195601972,9.56671792664565e-05,-0.100689839182423,0.236290753698355,-0.0887173396154566,-0.000553805301621335,0.000318099792288622,0.0228952566961261,-0.0158946837467769,1.56704114661987,-0.000930607533699547,0,0
0.19,0.140692322023362,9.90642874967307e-05,-0.0453157603294598,0.300660795239792,-0.458557132636427,-0.000553446392994476,0.000318070185377372,0.0227065516906254,-0.0158925299927238,1.56703466182598,-0.000893540727760638,0,0
0.2,0.163789911234339,0.000102323188912123,-0.218117362947846,-0.0245029114566715,-0.615400756705061,-0.000553148363796001,0.000318064906587416,0.0225277645371389,-0.0158916170971631,1.56702844242767,-0.000858146092628899,0,0
0.21,0.0150725452659697,0.000105449267721269,-0.0921979221309851,-0.42693686317778,-0.555198247741022,-0.000552872713276086,0.000318064783645731,0.022356702672608,-0.0158909961817939,1.56702247698976,-0.000824231322784894,0,0
