t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,0,0.015915095354664,-0.0866188195041593,0,-0.024290194693526,-0.0819806632431069
0.01,0.000756358339959089,1.53598120959941e-05,0.00028580687136199,-0.0496322891415405,0.191482599567339,-0.00080507063712203,0.306694162939688,-0.818524404960916
0.02,0.000818586260211298,3.0448795769189e-06,0.000359488884788783,0.0347303619985758,-0.00455096517265301,-0.000893317472838862,-0.0504053802292696,-0.25605879496239
0.03,0.000699207670146459,-2.1276116513036e-06,0.000389154739456148,-0.0728865598826968,-0.097124602807971,-0.000799053078361544,0.801589205800518,0.19271992192681
0.04,0.000629419689397912,-1.94942185771652e-06,0.000385451137619763,-0.00130172957403654,-0.0472735109089969,-0.000734714892615785,-0.140407879188701,-0.132430543259668
0.05,0.000682385663280616,6.30842578175361e-07,0.000395167818168107,-0.0128535023324889,-0.0136303628891273,-0.000786574623561624,0.200812492873666,0.234505264431035
0.06,0.000702708258985957,3.67812930335276e-07,0.000397416160667021,-0.0410819871030781,-0.0549970448480348,-0.000805823369010071,0.760986393639524,0.391453456305378
0.07,0.000703788543760201,5.04819809066248e-07,0.000403330153117934,-0.067321783067682,-0.0681531533062641,-0.000809388597186278,0.235186373400785,-0.026038472124631
0.08,0.000695466430060356,-2.41436993064781e-07,0.000399305745745813,-0.0682191336405062,0.00188157800609034,-0.000800144506392816,-0.0198521979741062,-0.623645038248563
0.09,0.000687769127325339,-3.46921041227688e-07,0.000398374360539246,-0.192901607991683,-0.0552201764147484,-0.000792818881834053,-0.533003516848599,0.212621773103904
0.1,0.00068837405538886,-1.92485259731257e-07,0.000398158811867186,-0.0666237442853793,0.0603615226236024,-0.000793267953152676,-0.497291696424222,0.0587360581939907
0.11,0.000690255499599075,-1.41577885415245e-07,0.000398108855698251,-0.138961749724409,0.0389830203483548,-0.000794936764522953,0.335142527428175,-0.27190385363535
0.12,0.000690437879050003,-1.68420427826277e-07,0.000398097263934867,-0.187416920213052,-0.00870718612436414,-0.000795095566139584,0.0912767461790912,-0.310392389694041
0.13,0.000726949597076189,1.00008219305892e-06,0.000412567108593905,0.163105963666925,-0.08411367803458,-0.000834254055838244,-0.237616025099698,0.202451209711357
0.14,0.000732707581184079,-8.25198981146968e-07,0.000420964190327729,0.097011833857695,0.0278288493074984,-0.000843112083088475,-0.444979195849658,-0.211446810900544
0.15,0.000694751027558242,-7.69645794207463e-07,0.000403387841211979,0.00501043123588686,0.00981502734577433,-0.000801292321010241,0.0066273707627095,0.164175731102859
0.16,0.000680966886364129,-5.55534825252835e-07,0.000399319574628316,0.0198751149835845,-0.0560250286830567,-0.000787120823653525,-0.323021992201149,0.512968935575963
0.17,0.000687375453592631,-1.0536066952227e-07,0.000398377740368176,-0.113830811284053,0.0658654812916461,-0.00079246663915482,0.141485302543128,-0.261825776364809
0.18,0.000691655745137238,-7.76682611558499e-08,0.000398159514924653,-0.162851897571617,0.00884473463937159,-0.000796217298809148,-1.16436867110704,0.130100123163942
0.19,0.000690908081014585,-1.76791758121908e-07,0.000398108963581421,-0.0639718907721502,0.0207531031966676,-0.000795523233928529,-0.943542260521073,0.456525959785192
0.2,0.000689791482976098,-2.00031536223833e-07,0.000398097297883845,-0.0340292929471995,0.0224045746569934,-0.000794514705981214,-0.151490289574801,0.37578930756437
0.21,0.000689772957514979,-1.80995272103246e-07,0.000398094610628356,-0.0994694675415345,-0.0274948063554319,-0.000794496882733216,0.335428707615796,0.200031878933464
0.22,0.000690027732421925,-1.72252583752197e-07,0.000398093982203299,-0.0541067356645289,-0.00210509934302948,-0.0007947255563589,0.463516616412468,0.0820974250336741
0.23,0.000690075579113284,-1.75035921756717e-07,0.000398093832533137,0.0653693756259023,-0.00587719780200913,-0.000794768486601777,0.0563499810157608,-0.0303331597783341
0.24,0.000690024938447156,-1.77413937763049e-07,0.000398093798624457,-0.11229717897902,-0.0733623541935428,-0.000794722964189722,1.11618295617014,-0.367388090061591
0.25,0.000690005206048948,-1.77060371697735e-07,0.000398093791867654,0.0623821687326119,-0.026201324579863,-0.000794705229178237,0.864994862121729,0.049795612611154
0.26,0.000696615547160709,2.30862497119233e-07,0.00040068202272154,0.0453762264770495,0.0194458821617404,-0.000801780976122429,0.573778838466677,0.0127194862504225
0.27,0.000689019998491939,-6.60685884668055e-07,0.000394906406205808,0.096036372234626,-0.00363689289278059,-0.000792421530065844,-0.0130468600079983,0.169139371480129
0.28,0.000683359918070238,1.17658714771096e-06,0.000394615854822627,-0.120696579255238,-0.0190470948682208,-0.000787207763722686,0.428717279395181,0.149471843454481
0.29,0.00068592010168268,-1.93344561694175e-07,0.000397288802806537,-0.059332590437358,-0.0210651420409115,-0.000790681093609202,0.519128285420527,0.0472222088823596
0.3,0.000672022830752386,-1.18450316222152e-08,0.000392018739876549,0.177814561253927,0.0146135424902628,-0.00077588070781346,0.0436359703435303,-0.27962854233137
0.31,0.000696867774271545,3.61725540187763e-07,0.000396687401876419,-0.125116856086727,-0.0312979013707282,-0.000800255237479293,0.435544802390381,-0.502039473139354
0.32,0.000695345877369223,-1.22210849440307e-07,0.000397767982590962,-0.0596354538180455,-0.0469757580654729,-0.000799361586584141,-0.314923471926889,0.0534873776480153
0.33,0.000689347006052413,-2.91185529022187e-07,0.000398018318053061,0.0697782738741664,0.0018804191531305,-0.000794080623270213,-0.0278673685542549,0.128407323920041
0.34,0.000688671842454426,-2.082034598061e-07,0.000398076359456619,-0.056625653884034,-0.0487403001667934,-0.000793499378536897,0.0981226802612365,-0.519465475585805
0.35,0.000689941992365989,-1.54857673351216e-07,0.000398089771909126,0.0925397856722344,-0.00952883789198526,-0.000794646663629178,0.504853521503517,-0.0479105546035553
0.36,0.00069031522001431,-1.64779009992344e-07,0.000398092852674957,0.0619020956487994,0.0729151127828634,-0.000794983406330515,0.127933463167933,-0.332763088346556
0.37,0.000690085707235704,-1.78680664930653e-07,0.000398093567437856,0.157638409704889,0.0913203571312274,-0.000794777470944905,0.228661416465648,0.479124782671344
0.38,0.00068996021152475,-1.78650225279853e-07,0.000398093738789447,-0.124751665114039,0.0846982813326272,-0.000794664772131065,0.1350110321951,-0.248770527993929
0.39,0.000689991818286949,-1.75316500872214e-07,0.000398093779109325,-0.0998368485005706,-0.00123987585102708,-0.000794693193076996,-0.265313746903097,0.088175136063753
0.4,0.00069002616080686,-1.7463557355768e-07,0.000398093787196811,-0.101452421912148,-0.0655468176898827,-0.000794724057871766,0.0158556858960371,-0.113915147292659
0.41,0.000690024763822999,-1.75171436467281e-07,0.000398093788705463,0.0236841267371787,-0.0402826872428865,-0.000794722803057693,0.074404356075734,-0.221870907856874
0.42,0.000690016556542817,-1.75302830029977e-07,0.000398093789280032,0.0102400592035425,-0.0124864179834708,-0.000794715427976908,-0.563454272138042,0.0763002532105718
0.43,0.000690015508804921,-1.75083954445654e-07,0.000398093789535469,-0.203568795039114,-0.061121631495467,-0.000794714486580309,0.0995097739141168,-0.0197482083287881
0.44,0.000690017196827086,-1.74898616478458e-07,0.000398093789563397,-0.098480155716199,-0.115877766674852,-0.000794716003508809,0.296171565719878,-0.0686134065732046
0.45,0.000690017720696034,-1.74799822616478e-07,0.000398093789535862,0.0821511157641336,-0.0550000644458847,-0.000794716474257878,0.521406335615298,0.0894356905120162
0.46,0.00069001742965773,-1.74708134181856e-07,0.000398093789530683,-0.201956897337989,0.0790248949906457,-0.000794716212717266,1.03027784949182,0.142141309401272
0.47,0.000690017255034747,-1.74597687419009e-07,0.00039809378953754,0.0226528253283388,-0.057615770771291,-0.000794716055799042,0.924226703208361,-0.205006893466562
0.48,0.000690017313242408,-1.74482408965559e-07,0.000398093789539493,-0.145695286331993,-0.1069809776072,-0.000794716108107774,0.108052683216253,0.33592750975831
0.49,0.000690017371450069,-1.7437059796066e-07,0.000398093789538176,-0.0193877127614775,-0.00136005859472364,-0.00079471616041442,0.251241994746177,-0.280603923065391
0.5,0.000690017371450069,-1.74260492258327e-07,0.000398093789537197,-0.115701988525844,-0.0165258423920024,-0.000794716160413809,-0.100232804948013,-0.419239808543162
0.51,1.31447518771946,1.31313788890839,0.0481230584641662,-0.172041498719833,-2.40917373063912,-0.177595723243389,0.721854880567817,-1.90049735764792
0.52,1.19271080074793,1.26067006587982,-0.0072375751192047,3.49418257507136,0.450394178235343,-0.825278507758805,1.72404415194384,-2.06253203776766
0.53,1.09536888270778,1.21092820167542,0.00366077424698874,5.90723331996071,-0.195099976175216,-1.07661108417877,0.238653806418163,-5.88696735724466
0.54,1.01806957745392,1.17181289196014,0.0393779009317358,7.67328201958837,-1.85280975454456,-0.0381850022003732,-1.15160694029941,1.34124832965365
0.55,1.01547966031182,1.13069903850555,-0.00868592981757549,5.61688673834464,0.558374044877294,0.99845851405991,1.39576501285116,6.29782469176763
0.56,0.951998933429592,1.09091281890869,0.0342352414546272,6.95464994115963,-1.78733170535559,-0.577532129239816,-0.142367718424505,-6.00676165272586
0.57,0.892635248705231,1.05433559417725,-0.00756830953696502,8.03690076179463,0.415598656138823,-0.0387470324538411,-0.518788663611469,-0.334594429178209
0.58,0.837029811494859,1.02208733558655,-0.00639593415624873,9.228478666467,0.422370106813318,0.389106542630324,0.656921089017732,4.17380344785673
0.59,0.72615610590126,0.995413899421692,-0.0342624929137074,13.5315935049978,1.71022315632093,-0.41062598217576,-1.03526835198171,-9.08576996885102
0.6,0.719775870096517,0.973592519760132,0.0125656003342524,12.7264827416227,-0.637333333246261,0.378017760854829,0.972129360429526,6.23895816477968
0.61,0.605012379778388,0.95505154132843,-0.0114304039602643,17.5036426038287,0.574256289473231,-0.0892575352620878,-0.632067948398126,-3.24782300947542
0.62,0.656465735103195,0.935028553009033,0.0110213740590289,13.8704182026671,-0.583406678664074,-0.273347275700186,1.95885407697274,-6.10219161897743
0.63,0.630759573279405,0.908232927322388,0.010171021100929,13.8426308202074,-0.392447382587399,0.603749935936383,-0.217432915108064,13.7847387552008
0.64,0.486728379106093,0.870863735675812,0.018529590345366,19.2542478852461,-0.963656417300196,-0.355919365191844,-0.74442991162253,-12.7167911059658
0.65,0.453319821915898,0.820429861545563,-0.0222807886926184,18.3076880822612,1.18540925715275,-0.233372519232233,0.246697574551521,-7.76877805529503
0.66,0.422608639385041,0.758067846298218,-0.000451592099104448,16.8378332623592,0.0188033158655258,0.392915699652206,-0.0278494978172633,15.2843296106891
0.67,0.275986249848633,0.688018620014191,-0.0266150390554157,20.6593338415022,1.20945895746936,0.137180232608839,0.541541911942476,7.39419451467145
0.68,0.21951287191487,0.618005275726318,0.0125681937284228,20.1092717674779,-0.61248277122153,-0.188083775207081,0.263952889059296,-16.3136214021929
0.69,0.186664506091575,0.557418406009674,0.045210182563772,18.4183869063326,-2.20991800843646,-0.116650011349252,0.207907814757041,-15.8887852038685
0.7,0.113659991585214,0.514306306838989,0.0712765866591424,20.1290311582147,-3.42934075971499,0.102116373730735,0.379273819704855,2.48228683522199
0.71,0.0345135936966368,0.494924128055573,-0.00768510177510031,23.1095977027172,0.360440626919011,0.0330732395708057,0.455177585622549,22.539099541084
0.72,0.0917244864082434,0.501136958599091,-0.00107575299588334,20.389907246878,0.0294292350259121,0.0567570295321001,-0.0201826666889295,12.1044995441498
0.73,0.143822540163211,0.530445873737335,-0.00483338349288302,19.4556271937865,0.280088184681757,-0.0429616481264023,-0.325584513325353,-6.67024594397848
0.74,0.142163454522675,0.574797987937927,0.0229991244940065,21.7303616082719,-1.16984257052703,-0.142257407206083,0.226834384067859,-20.6024738859627
0.75,0.172757795940823,0.624212503433228,0.0261438394361927,22.5581556653379,-1.36330204483308,-0.137723596807545,-0.651162551651215,-20.2952564959403
0.76,0.24934891561229,0.667199194431305,0.0322546188272282,20.9803369099519,-1.56270339088226,-0.0506208933597136,0.622912316264887,-8.351873778222
0.77,0.247550640005796,0.693619012832642,-0.0333987254928517,22.334433160535,1.59402602766217,0.206079384542788,0.0310288649591519,15.4992916881598
