t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.61,S_pct:-0.08,kp:0.4143,ki:0.1460"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00118965265605439,6.44551400910132e-05,0.000679507914516935,-0.0562572618212042,-0.0340484299224815,-0.000431952294029941,0.00130016216820467,0.0191477110081205,-0.0629089838652252,0.839716869188908,-0.00143680452829257,0,0
0.02,0.00133671271277743,5.92365067859646e-05,0.000764253296408219,-0.0638704096326334,-0.0382948094213382,-0.000484834067961686,0.00146144445810142,0.0219794031856111,-0.0711535486877594,0.839706309042559,-0.00155154296553131,0,0
0.03,0.00136744559565173,5.92630276514683e-05,0.00078187809911961,-0.0654051344643402,-0.0391779478464066,-0.000495929299126102,0.00149509028129358,0.0225314890205354,-0.0728359472669345,0.83969559490932,-0.0015186775277913,0,0
0.04,0.00135114026604655,5.50907971046399e-05,0.000772981397524807,-0.0647980170323053,-0.0387321731670802,-0.000489716709667809,0.0014775851257115,0.0223764588193558,-0.0720989482604932,0.839685791486143,-0.00143262838939328,0,0
0.05,0.00136658059830673,5.39319225936197e-05,0.000781906860705005,-0.0656274554048071,-0.0391793874501502,-0.000495236933571026,0.00149454382676223,0.0226946052797021,-0.0729859040848125,0.839676041585401,-0.00138693649958975,0,0
0.06,0.00136620705230649,5.13988852617331e-05,0.000781940824182787,-0.0657349565920562,-0.0391810957158561,-0.000494922272650342,0.00149432429757742,0.0227728115691111,-0.0730591666588961,0.839666735895338,-0.00132428731860702,0,0
0.07,0.0014013864874639,5.23600501765031e-05,0.000802158636354098,-0.067445350228379,-0.0401941533736997,-0.000507597420555237,0.00153286901716016,0.0233689743053536,-0.0749555619869061,0.839657932111339,-0.00130978915773652,0,0
0.08,0.00136554014686819,4.66958117613103e-05,0.000782019512710724,-0.0659358724645396,-0.0391850543245271,-0.000494347436483512,0.00149394612453438,0.0229184683968095,-0.0731966636290249,0.839649441511608,-0.00120788977110602,0,0
0.09,0.00136499907650941,4.44911129307002e-05,0.00078193051575918,-0.0660186390841652,-0.0391805729596127,-0.000493992101028042,0.0014935225523804,0.0229824852297021,-0.0732487773047123,0.839641418088591,-0.00115359684035328,0,0
0.1,0.00136463365449884,4.24069512519054e-05,0.000781926883179141,-0.0661041785474895,-0.0391803933975415,-0.000493711102014919,0.00149327961526846,0.023045721240404,-0.0733059368723576,0.839633781808747,-0.00110211242398369,0,0
0.11,0.00136428625244518,4.04233542212751e-05,0.000781923769912919,-0.066185607482625,-0.0391802638823325,-0.000493443723681628,0.00149304891149786,0.0231058901231791,-0.0733603813877006,0.83962651374759,-0.00105311140950525,0,0
0.12,0.00136395598785734,3.85354105674196e-05,0.000781920807908051,-0.0662631265243509,-0.0391801018863577,-0.000493189527843972,0.00149282958715204,0.0231631951515083,-0.0734121836685209,0.839619596148667,-0.00100647320204814,0,0
0.13,0.00142493525132758,4.24282225139905e-05,0.000816818349570804,-0.0691169674445023,-0.0409287163317941,-0.000515268287564578,0.001559529184883,0.0241194000758933,-0.0766196420591473,0.839612640394805,-0.00103683142584614,0,0
0.14,0.00155269985107883,3.46008891938254e-05,0.000890669470994978,-0.0758959890791172,-0.0446292228823491,-0.000561049044816502,0.00169982143280204,0.0266940353365475,-0.0839011154325794,0.839606136156401,-0.00115435836499048,0,0
0.15,0.00136386028109906,3.32376439473592e-05,0.000782374505209186,-0.0665221770967441,-0.0392028366467956,-0.000492785910477549,0.00149311311667795,0.0233393983074299,-0.0736025470584617,0.839599892476596,-0.000874696515611663,0,0
0.16,0.00136274975819656,3.16202240355778e-05,0.000781911919277357,-0.0665472167301782,-0.0391796508634935,-0.00049225975254309,0.00149202998930953,0.0233731049942531,-0.0736021403170192,0.839594257165942,-0.000835643189469076,0,0
0.17,0.00136248975952289,3.01564577966928e-05,0.000781907666728232,-0.0666071107788675,-0.0391794550873398,-0.000492061056817706,0.00149185584439536,0.0234174243099575,-0.0736421153005304,0.839588894958649,-0.0007994866417989,0,0
0.18,0.00136224619990057,2.87636175926309e-05,0.000781905471895941,-0.0666642922038884,-0.0391793257833306,-0.000491873611248322,0.00149169407945527,0.023459698678452,-0.0736803227585087,0.839583791320443,-0.000765078067910146,0,0
