t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0.073524023547229,0,-0.0241823200371289,8.5356228693965,-0.0557772798034009,-0.0241823200371289,0.073524023547229,-0.0557772798034009,8.5356228693965,0,0,0,0
0.001,0.0930652922601191,0.11199039484909,-0.00464105132423702,8.35966112117026,-0.173205604172403,-0.0624525478326391,-0.0691546618100871,-5.78233743273837,-6.03974403895356,2.35724817529486,998.875696398448,-201.073032408648,999.948118454723
0.002,0.112606560987441,0.112606560980971,0.0149002173961532,8.47696895327862,-0.290633928583701,-0.0230104421681791,-0.111232969964376,-0.323603237226846,-8.47577439884698,3.06915970532567,998.727376212922,-288.349999016131,999.948118454723
0.003,0.249395441977674,0.093476893711255,0.00512958303970812,7.83177587644909,-0.173205604214696,0.172808475720623,-0.179893384593528,5.66297729735633,-5.41270742696187,-2.3557141472339,1003.82214395734,-315.493202751962,999.948118454723
0.004,0.0539827548359028,0.11219619433422,-0.0534942231004214,8.65293070154903,0.0616510445339917,0.0598669676941913,0.0468157655485149,8.58637680099825,-1.07291379354591,-1.68798261278781,1000.91860853724,-219.109499039312,999.948118454723
0.005,0.112606560974573,0.131718351259057,0.0735240235333663,8.41831503724738,-0.525490577311029,0.134285821425587,-0.00730327153477593,7.02539714891809,4.66775784645707,-1.04669771390421,996.068599611681,-65.1983172152801,999.948118454723
0.006,0.122377195340793,0.132147829697843,-0.0925767605337018,8.53562286938818,0.179079368915813,-0.0526671460570229,0.144127742841555,2.67160213266838,8.10872796642701,-0.297294549596029,995.980706168868,-1.38401653264499,999.948118454723
0.007,0.132147829697238,0.065189672432672,-0.00464105132569437,8.47696895331276,-0.290633928560205,-0.0597005985781051,0.117984858267974,-3.82322717407754,7.57142025588686,0.433332117196723,1011.5647016239,-17.7907922461612,999.948118454723
0.008,0.0735240235509257,0.0924497422967462,-0.102347394893524,8.41831503723287,0.179079368960242,-0.0971185177096078,-0.0803042016241775,-8.09646920309536,2.31241949693748,1.31386396096793,1004.05835758285,-133.895586839283,999.948118454723
0.009,0.0930652922638159,0.0930652922641002,-0.0437235887548532,8.47696895330828,0.0616510445912366,-0.0701995601211101,-0.0751326999152542,-7.89476268796084,-3.08796463506838,1.95091494402021,1003.91553074058,-261.573017938184,999.948118454723
0.01,0.0930652922641002,0.131288872833376,-0.0144116856850897,8.41831503723458,-0.173205604145062,-0.0278114721809908,-0.0899742592279269,-3.53190687198547,-7.64353727635699,2.6881686097338,994.025687468119,-314.974387293346,999.948118454723
0.011,0.161459732764834,0.0938868471147744,-0.014411685677092,8.35966112116898,-0.173205604204016,0.0730379159641873,-0.144714908769467,3.24913806521457,-7.70435176217219,-2.76321323812912,1003.7342505162,-267.261676799303,999.948118454723
0.012,-0.0925767605027419,0.0930652922641002,0.0344414861051334,9.4154316105264,-0.408062252942027,-0.0959157419888596,0.0235975208239901,8.01422862048734,-4.95873036505691,-2.16819461373657,1003.91553074058,-125.100139030103,999.948118454723
0.013,0.112606560980971,0.112196194333936,0.0149002173934873,8.41831503722647,-0.408062252972785,0.113585249473446,0.000803216278107529,8.28116599154763,1.56742868696778,-1.43216817010978,1000.91860853726,-2.58644766389836,999.948118454723
0.014,0.112606560980971,0.0934756589064169,-0.0241823200322948,8.47696895330188,-0.29063392860378,0.0517759584875287,0.10287989259716,5.08931874728676,6.78544806215589,-0.677794756032843,1003.86059734014,-2.23853608573703,999.948118454723
0.015,0.0344414861159747,0.073953501981398,0.0149002173866626,8.77023853371607,-0.408062252937328,0.0122085798709225,0.0354849689528113,-1.08103108395487,8.71291974805655,0.076946824345143,1008.71060626613,-76.7526425047379,999.948118454723
0.016,0.0539827548288649,0.073524023547229,-0.0632648574648998,8.53562286941442,-0.0557772798303144,-0.0820036231615276,-0.0138558939570707,-6.5805988053088,5.43651434628699,0.873782122469182,1008.79849970778,-229.009718629416,999.948118454723
0.017,0.0246708517789376,0.111785827690597,-0.121888663573712,8.7115846175664,0.413936017522241,-0.0197097988657894,-0.122788521710923,-8.72120363898016,0.0604703486090269,1.61134259370249,1001.00650197846,-298.781241448991,999.948118454723
0.018,0.16145973276917,0.112606560980971,0.151689098406754,8.18369937288769,-0.995203874905812,-0.220836731352329,0.017605850361891,-5.76922094044353,-5.88892655063533,2.24544824372804,1000.86367513607,-300.14236906395,999.948118454723
