t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0,0,0,0,0,0,0,0,0,0,0,0,1000
0.001,1.19452793755614,4.46728229522705,-0.0303583674388974,4.02911083497793,0.0427585904945548,-0.0305428972864025,1.1945232335543,0.0421361745145585,4.02911739223306,0.000154479610457494,0.592488460222341,1000
0.002,1.98313912508297,4.46728229522705,-0.0638823640884324,3.81341367740425,0.0856281965310677,-0.0659914489297126,1.98307006294395,0.0815724816860439,3.81350258860362,0.00106352667874915,2.00027779090023,1000
0.003,2.58703215638361,4.46728229522705,-0.0053851636988476,3.64386967176404,0.0341153215612557,-0.0137592779422808,2.587001171322,0.0223200502776436,3.64396101177313,0.00323697448433145,4.01296157015893,1000
0.004,3.04695175643657,4.46728229522705,-0.039324939697187,3.51246108787643,0.0725087113916984,-0.0608459004629275,3.04659797697874,0.0476968664748416,3.51288562523778,0.00706349245629697,6.48765867553818,1000
0.005,3.39461173589977,4.46728229522705,-0.0687648732802518,3.41300221825235,0.105667579096961,-0.112341577204904,3.39344910310097,0.0618403888336863,3.41407755409519,0.0128390438312471,9.31293420506787,1000
0.006,3.65400586978003,4.46728229522705,0.00514873783740048,3.34139211970128,0.0380468343349387,-0.070804131697822,3.65332344322574,-0.0314151884013164,3.34146104947259,0.0207873851659439,12.4019881376578,1000
0.007,3.84562524071556,4.46728229522705,-0.00354949825682601,3.29264409196692,0.054310298430455,-0.123034936379703,3.84365821781757,-0.0480214369852574,3.2927418159446,0.0310759312977087,15.6872330578539,1000
0.008,3.984028650201,4.46728229522705,-0.00144315792733234,3.26427664549588,0.0602561594546822,-0.175999311641238,3.98013952150286,-0.082823793962784,3.26378201512228,0.0438283588733834,19.1160811065708,1000
0.009,4.08306677360298,4.46728229522705,-0.0798998974081526,3.25181429909285,0.147333216474919,-0.321068672760792,4.07120782798891,-0.0451058884995134,3.2548377488416,0.0591342590818284,22.64785360956,1000
0.01,4.14783623873756,4.46728229522705,-0.0473379013724151,3.25735336406266,0.127345063428665,-0.366502643360265,4.13188360831968,-0.123787643676213,3.25749049466351,0.0770573891674606,26.2515124475124,1000
0.011,4.19046013020557,4.42565631866455,-0.091172110226008,3.22448450089584,0.185409366439189,-0.49924814452865,4.16161263775358,-0.129815155931926,3.2272007924781,0.097640857936427,29.9029456717318,1000
0.012,4.21422719953975,4.42565631866455,-0.119351150234037,3.24580045858649,0.227787204208396,-0.626791651043877,4.16906318164939,-0.165378008031626,3.24957808674,0.120912458687552,33.5835817006451,1000
0.013,4.22293479984955,4.42565631866455,-0.125932441873283,3.27904580935292,0.252121816247011,-0.742650165492242,4.15902729437916,-0.230518354364849,3.28063532236723,0.146888864889902,37.2806001986765,1000
0.014,4.21948439861206,4.42565631866455,-0.111139950800501,3.32384265550684,0.257465890284348,-0.846481182038029,4.13519894167742,-0.327093750173958,3.31771432794082,0.17557845130378,40.9838340772796,1000
0.015,4.21291516747086,4.42565631866455,-0.159531945554534,3.37254326624455,0.333622026650222,-1.02191642460048,4.09020677607993,-0.366585134446887,3.36911962960062,0.206983210498135,44.6887347147477,1000
0.016,4.19902311022538,4.42565631866455,-0.178502571508006,3.43064682651617,0.386835824597794,-1.17595687923925,4.03494531145239,-0.443502535919742,3.42378228047732,0.24110311696036,48.3908832647416,1000
0.017,4.17900208341948,4.42565631866455,-0.173260896104038,3.49827164352207,0.417271461388758,-1.3132041789244,3.97109210870241,-0.558562023155045,3.47850951280129,0.2779343752705,52.0856512264842,1000
0.018,4.15377291624484,4.42565631866455,-0.148514911044015,3.5756569622875,0.424986587475852,-1.43775201313093,3.89984041561569,-0.712442383952076,3.52964051442043,0.317470083128828,55.7691197679845,1000
