t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.95,S_pct:-0.17,kp:0.9925,ki:0.0010"
0,-0.0635350341953525,0,-0.152982867861743,0.255023280967306,-0.483364915145896,0,0,0,0,0,0,0,0
0.01,-0.0459403114144386,9.33226401684806e-05,0.00723040741361027,0.324884621004292,-0.224213272902133,-0.000447799660652273,0.00160358824291358,0.0189807852166246,-0.076987262028857,0.793509757327895,-0.000885589097590788,0,0
0.02,0.0230372477823059,8.83445172803476e-05,-0.0206013133530938,-0.246841719944419,-0.400721458524586,-0.00051301865523941,0.00183793676091413,0.0224064739551751,-0.088890474034284,0.793503165924892,-0.000998936504724096,0,0
0.03,0.0889359835270324,8.96387427928858e-05,0.252908200607952,-0.464600401669824,0.0231411208486251,-0.000520770418036247,0.00186563484536604,0.0227458862229051,-0.0902306954020167,0.793496302891305,-0.00099537924970398,0,0
0.04,-0.0606581624814608,8.63511595525779e-05,0.119106342731226,0.130744068063128,-0.389551781165703,-0.00051735481256909,0.00185374196008628,0.0226922783038628,-0.089750114808309,0.79348984214022,-0.000970622425278292,0,0
0.05,0.0976919375192154,8.58355997479521e-05,-0.106589178381025,-0.520886710397403,-0.938582916768004,-0.000520639030691379,0.00186553723683297,0.022873631774233,-0.0903579098867006,0.793483240428312,-0.000958836245374664,0,0
0.06,-0.0818606977303331,8.39509521028958e-05,0.100036388365303,0.588415442778319,0.374832020534878,-0.000520574930611017,0.0018654923683024,0.0229369855540315,-0.090421123062026,0.793476765899034,-0.000940725363019468,0,0
0.07,0.0609474045788402,8.66291738930158e-05,-0.0525284668322396,0.141044740422784,-0.37181952120315,-0.000531217301468812,0.00190356041211718,0.0233710937859414,-0.0922318971277887,0.793470443297419,-0.000944507854936155,0,0
0.08,0.0298923260431177,8.02967479103245e-05,-0.113575691009919,-0.209700942819456,-0.354750513490043,-0.000520454565517661,0.00186541893972934,0.023060013409573,-0.090544359351621,0.793464206578777,-0.000905601432524725,0,0
0.09,-0.069722210922957,7.85193333285861e-05,0.035581840250223,0.217506505258704,0.145455134309129,-0.000520381658726247,0.00186533292782316,0.023119146098147,-0.0906017880668201,0.793458118464325,-0.000888546497810206,0,0
0.1,-0.0487574763338946,7.67819947213866e-05,0.00569563719088135,-0.202258842008448,-0.345386696535034,-0.000520319871687715,0.00186528192820674,0.023177418077923,-0.0906595740721784,0.793452153975531,-0.000871856767976525,0,0
0.11,0.0563866378000205,7.50799154047854e-05,0.0169688108082438,0.0116245887879631,0.0256551749061527,-0.000520259090474362,0.00186523173900597,0.0232344690262521,-0.0907162024778399,0.793446310582639,-0.000855505903350248,0,0
0.12,0.0377877100304053,7.34124114387669e-05,0.162425807715063,0.56115316624378,0.735250046974886,-0.000520199813596087,0.00186518283351614,0.0232904036345672,-0.0907716641674749,0.7934405858271,-0.000839487007005248,0,0
0.13,0.0663681553500795,8.03712173365057e-05,-0.0394396926311511,-0.334580612533343,0.480755601907079,-0.00054061637167975,0.00193825091768649,0.0240589244882652,-0.094184127031938,0.793434733224998,-0.000864271749841562,0,0
0.14,0.113042640891706,6.97977957315743e-05,0.117494557204711,-0.307203563730532,-0.984716991409689,-0.000602884795593378,0.00216237445737107,0.0275370695156434,-0.105771921165711,0.793429088170081,-0.000974471229189474,0,0
0.15,0.0964351887962213,6.84794431435876e-05,0.0620841868500251,-0.382466499325164,-0.383883412690539,-0.000520099586638833,0.00186530250710486,0.0234595771873986,-0.0909489881603929,0.793423541821181,-0.000791945028789084,0,0
