t,iq,id,vq,vd,omega,omega_obs,r
0,0,0,0,0,-0.144963141214248,0,0
0.01,0.0243777327246533,-0.140667822859322,-0.202051010139876,0.645269816826653,-0.144963141214248,516.839376261752,-0.144963141214248
0.02,0.0149002173966153,0.0149002173966153,-0.145156711533001,-0.0557772798034009,-0.144963141214248,514.703077338599,-0.144963141214248
0.03,-0.00452380370774146,-0.102171523485842,-0.0868547189428072,0.530659772213601,-0.144963141214248,516.839376261752,-0.144963141214248
0.04,-0.0141771904620868,0.0147243459841617,0.0293973427909951,-0.0550727098810733,-0.144963141214248,516.839376261752,-0.144963141214248
0.05,-0.0143530618722566,0.0147243459773103,0.0301011897326183,-0.0550727098536253,-0.144963141214248,516.839376261752,-0.144963141214248
0.06,-0.00446517990726926,-0.102054275882969,-0.0872066424168194,0.529955202312313,-0.144963141214248,519.891231866255,-0.144963141214248
0.07,-0.0239478248106779,0.160814870900411,0.0884031823185475,-0.874252700794336,-0.144963141214248,514.703077338599,-0.144963141214248
0.08,-0.0142358142651716,-0.0725078775887471,0.0301011897557703,0.411117738061912,-0.144963141214248,516.839376261752,-0.144963141214248
0.09,0.0149002173966153,0.0146070983626633,-0.086502795445643,-0.0543681398953072,-0.144963141214248,516.839376261752,-0.144963141214248
0.1,0.0149002173966153,0.0537482596116201,-0.086502795445643,-0.289224788731783,-0.144963141214248,516.839376261752,-0.144963141214248
0.11,-0.0141771904508189,-0.0335425877467874,0.0297492662247851,0.176965659113907,-0.144963141214248,516.839376261752,-0.144963141214248
0.12,-0.0144116856786916,-0.0336598353712543,0.0308050367290811,0.060946474658657,-0.144963141214248,516.839376261752,-0.144963141214248
0.13,-0.0143530618715456,0.140980483141945,0.0301011897240828,-0.755415236452729,-0.144963141214248,516.839376261752,-0.144963141214248
0.14,-0.00452380371017604,0.0343242385034066,-0.0285527263379945,-0.172501034263317,-0.144963141214248,516.839376261752,-0.144963141214248
0.15,-0.0144116856786916,-0.0331322210930348,0.0308050367290811,0.174851949219729,-0.144963141214248,516.839376261752,-0.144963141214248
0.16,0.014665722175745,-0.121243801764092,-0.143749017569309,0.52784149248552,-0.144963141214248,516.839376261752,-0.144963141214248
0.17,0.0149002173966153,0.189188793045919,-0.144804788028368,-0.987453605358301,-0.144963141214248,516.839376261752,-0.144963141214248
0.18,-0.00464105132025594,0.0341483670865105,-0.0282008028502704,-0.171796464321769,-0.144963141214248,516.839376261752,-0.144963141214248
0.19,0.0147829697812571,0.0535723881766041,-0.0861508719399433,-0.288520218695072,-0.144963141214248,516.839376261752,-0.144963141214248
0.2,-0.00469967512582905,-0.0147634285121302,-0.0857989484595282,0.0637647544077785,-0.144963141214248,516.839376261752,-0.144963141214248
0.21,-0.00452380370454251,0.120911600142989,-0.086854718952409,-0.635873202099414,-0.144963141214248,516.839376261752,-0.144963141214248
0.22,-0.00452380370875446,-0.0530838564721806,-0.0868547189397667,0.294393983550731,-0.144963141214248,516.839376261752,-0.144963141214248
0.23,0.0147243459725114,0.0149002173966153,-0.1441009410095,-0.0557772798034009,-0.144963141214248,516.839376261752,-0.144963141214248
0.24,-0.0144116856786916,0.0146070983669734,0.0308050367290811,-0.0543681399160278,-0.144963141214248,516.839376261752,-0.144963141214248
0.25,-0.00464105132025594,-0.0532597278795868,-0.027848879358281,0.178374799011322,-0.144963141214248,516.839376261752,-0.144963141214248
0.26,-0.0240650724249697,-0.0149392999334081,0.0887551058242473,0.0637647544260406,-0.144963141214248,516.839376261752,-0.144963141214248
0.27,0.014782969779835,0.0147243459714449,-0.0861508719356747,-0.0550727098301275,-0.144963141214248,516.839376261752,-0.144963141214248
0.28,-0.0239478248120989,0.160580375679289,0.0880512588277796,-0.872843560920399,-0.144963141214248,516.839376261752,-0.144963141214248
0.29,-0.00446517990780296,0.12079435262733,-0.0285527263273215,-0.635168632622462,-0.144963141214248,516.839376261752,-0.144963141214248
0.3,0.0147829697837456,-0.0338357067826948,-0.0861508719474124,0.178374799032683,-0.144963141214248,516.839376261752,-0.144963141214248
0.31,0.0244363565377353,0.0343242385048287,-0.202402933678011,-0.172501034271863,-0.144963141214248,516.885154095875,-0.144963141214248
0.32,-0.0144116856786916,0.0149002173966153,0.0308050367290811,-0.0557772798034009,-0.144963141214248,516.839376261752,-0.144963141214248
0.33,-0.0142358142651712,0.10148757911888,0.0301011897557687,-0.518444878109096,-0.144963141214248,516.839376261752,-0.144963141214248
