t,iq,id,vq,vd,omega,omega_obs,r
0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.033777082977326,-0.0239478248128108,0.14740902191161,0.0602419046985216,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,0.0144898507378854,0.0149002173966153,-0.0843912543858395,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,-0.0337184591705356,0.0144898507528146,0.147057098412312,-0.171091894353409,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.04,0.00512958303817967,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.05,-0.0340702020084346,0.0149002173966153,0.148816715900268,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.06,-0.00458242751592705,0.0147829697879575,0.0304531132434929,-0.172501034271863,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.07,0.0148415935900025,-0.0240650724239034,-0.0861508719463445,0.060946474637616,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.08,0.00507095923367302,-0.00452380371124263,-0.0271450323849702,-0.0564818497300005,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.09,-0.053376975498855,0.0149002173966153,0.264716854077796,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.1,-0.0045238037108871,-0.0239478248183912,0.0301011897536361,0.0602419047320557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.11,0.00507095923121151,-0.00452380370631962,0.0308050367290811,-0.0564818497595841,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.12,-0.024240943841991,-0.00452380371053184,0.0898108763052319,-0.0564818497342718,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.13,0.111609956259491,-0.0530838564624143,-0.492505202524685,0.176965659107498,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.14,-0.0335425877602849,0.0147829697865354,0.204655244052027,-0.172501034263317,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.15,-0.00475829893490306,0.0147829697819682,0.0311569602326465,-0.172501034235872,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.16,-0.00475829893069111,0.0144898507600922,0.0311569602200042,-0.171091894390894,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.17,0.00518820684568113,-0.00475829893525886,-0.0282008028629143,-0.0550727098408082,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.18,0.0144898507588488,0.0149002173966153,-0.0843912544937065,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.19,-0.0533769754970776,0.0149002173966153,0.264716854067126,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.2,-0.0533769755012896,0.0149002173966153,0.264716854092411,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.21,-0.0519700041081612,0.014138107894478,0.316332300017035,-0.168978184395152,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.22,-0.0534942231124358,0.0149002173966153,0.324074617165888,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.23,-0.00493417036042903,-0.0239478248049905,0.032212730760417,0.0602419046515271,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.24,0.161166613743509,-0.0923422653224648,-0.78894209451322,0.412526877880938,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.25,-0.0337184591627156,0.0147829697801908,0.147057098377104,-0.172501034225191,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.26,-0.0529666088577193,0.0147829697844561,0.26295723660584,-0.172501034250822,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.27,-0.0231857152944965,-0.00505141797898697,0.0845320236768875,-0.0536635698835808,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.28,-0.00458242751399843,0.0147829697841003,0.0304531132319152,-0.172501034248684,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.29,-0.0337770829831116,0.0146657221800113,0.147409021934765,-0.171796464351676,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.3,-0.00458242751382107,-0.0240650724242592,0.0304531132308505,0.0609464746397541,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.31,0.0149002173966153,-0.0241823200371289,-0.086502795445643,0.061651044589528,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.32,-0.0240064486172906,-0.00464105132025594,0.0887551058178461,-0.0557772798034009,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.33,0.180356139640448,-0.0921663939146307,-0.845836393201437,0.411822307988507,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.34,0.0345587337270679,-0.00464105132025594,-0.145860558533734,-0.0557772798034009,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.35,-0.024358191451183,-0.00452380371088655,0.0905147232796155,-0.0564818497321402,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.36,0.160521751861663,-0.092049146283466,-0.727472790389444,0.411117737943584,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.37,-0.0532011040881255,0.0149002173966153,0.322314999721944,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.38,-0.0242409438442749,-0.00452380370596409,0.0898108763189422,-0.0564818497617206,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.39,0.00512958303817967,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.4,0.0145484745526723,-0.0240650724224813,-0.0847431779278076,0.0609464746290701,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.41,-0.0825130071616534,0.0149002173966153,0.439622831885988,-0.173205604196326,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.42,-0.0434890935239954,-0.00452380370525357,0.205711014477272,-0.0564818497659903,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.43,-0.0530838564746693,0.0146657221750344,0.263309160126589,-0.171796464321769,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.44,-0.00434793228186051,0.0146657221658989,0.0293973427062822,-0.171796464266871,-0.144963141214248,-0.112918657094945,-0.144963141214248
0.45,-0.00452380370910972,-0.0241823200371289,0.0301011897429663,0.061651044589528,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.46,-0.024065072421415,-0.00452380370454197,0.14740902189027,-0.0564818497702664,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.47,0.043625882414412,-0.0239478248141249,-0.200995239667361,0.0602419047064181,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.48,0.0821221817449777,-0.0530838564561954,-0.374141599757132,0.176965659075465,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.49,-0.0240650724252722,-0.00475829893211269,0.0891070293212531,-0.0550727098597143,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.5,0.053337892940023,-0.0530838564549501,-0.259297232127623,0.176965659069051,-0.144963141214248,-0.144963141214248,-0.144963141214248
