t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00080336300348214,0.000402706402643106,-0.0349805883878421,-0.0201545936166421,0.000389880473614035,-0.000809665226120087,-0.0153757421488763,0.037328752472898,-2.22815984073528,-0.0130663310257699,0
0.02,0.000875877722532348,0.000454460773535638,-0.0406866357999397,-0.0227447897359215,0.000415589401212538,-0.000894975881859878,-0.0183066099878601,0.0428671881933093,-2.22823870847466,-0.00884065233831558,0
0.03,0.000878737349399249,0.000474999155619224,-0.0421095808420598,-0.0237727062093998,0.000405258093742961,-0.000913000221535578,-0.0188026532543844,0.0445513028968603,-2.22828687772507,-0.00527683375220697,0
0.04,0.000828370946071226,0.000464334250665514,-0.0407428135579904,-0.0232389436973342,0.000371890717636272,-0.0008737860234474,-0.0180460957147623,0.04329392324845,-2.22830817695992,-0.00247603715957526,0
0.05,0.000839644716175255,0.000475735983673349,-0.0415192775301485,-0.0238095659145214,0.000373834793702068,-0.000889705300973534,-0.0183113905589892,0.0442203438641039,-2.22832068002761,-0.00180084946718711,0
0.06,0.000834526088415386,0.000476593234826373,-0.0415138842340002,-0.0238524738755079,0.000369253173389637,-0.000887258134744243,-0.0182805854058385,0.0442511388711703,-2.22832774700496,-0.00114660157420296,0
0.07,0.000852144490895635,0.000488030171299471,-0.0422626106503274,-0.0244248778829472,0.000376206083241293,-0.000907079194114063,-0.018523259083681,0.045161839992375,-2.22833024011389,-0.00137663938472953,0
0.08,0.000830987578855554,0.0004775180080176,-0.0415291607241124,-0.0238987625890895,0.000365882285302033,-0.00088582953071992,-0.0182641388798665,0.0442972152027164,-2.22833334297171,-0.00064074607465304,0
0.09,0.000827400241986315,0.000476726147251263,-0.041405831258498,-0.0238591392018768,0.000363526369816295,-0.000883010508635221,-0.0181907152119658,0.0441904884080149,-2.22833390871578,-0.000512982865515767,0
0.1,0.000826772235242631,0.000476666483313346,-0.0413846720225683,-0.0238561542601708,0.000363065664660535,-0.000882579508275041,-0.0181757868425578,0.0441751960624344,-2.22833402527194,-0.000489297404163762,0
0.11,0.000826653607705975,0.000476661983635979,-0.0413808351778516,-0.0238559292290954,0.000362974495033995,-0.00088250345593199,-0.0181728862098312,0.0441726735233974,-2.22833405479688,-0.000484257117064789,0
0.12,0.000826627530648867,0.000476661642775319,-0.0413800310983185,-0.0238559119405737,0.000362954055010252,-0.000882487252073096,-0.0181722599285584,0.0441721685827527,-2.22833406428137,-0.000482921929088584,0
0.13,0.000870090153344327,0.000498513909149393,-0.0431405631627607,-0.0249495671267162,0.000383996517759373,-0.000926347487129338,-0.0188971749553447,0.0461138359770444,-2.22833701682597,-0.00129148490794986,0
0.14,0.000897199649313445,0.000516376547605061,-0.0450296911690461,-0.0258435553393623,0.000394534793133432,-0.000957054986221717,-0.0198459504457976,0.0479760428783085,-2.22833877277181,-0.00180228097947172,0
0.15,0.00083110832313616,0.000479651541313407,-0.0417153417695186,-0.0240055415432669,0.000364667979042219,-0.000887594451836981,-0.0183459441069496,0.0444956413433713,-2.22834001876854,-0.000140290915564511,0
0.16,0.000824096725552744,0.000476886093324276,-0.0413725727580387,-0.0238671458196949,0.000360810816803296,-0.000881119352613812,-0.0181593439540133,0.0441765622627839,-2.22833738944184,-0.000172176925677361,0
0.17,0.000824724194258401,0.000476678178416696,-0.0413500117146044,-0.0238567390927057,0.000361436041199017,-0.000881337659751477,-0.0181479230330618,0.0441545055291237,-2.22833567313642,-0.000316464664328442,0
0.18,0.0008256373549125,0.000476662703564174,-0.0413617692005336,-0.0238559559494459,0.000362169024649168,-0.00088188319656329,-0.0181577457764989,0.0441610558521436,-2.22833481092088,-0.000403132097667202,0
0.19,0.000826153831402262,0.00047666162406211,-0.041370687242113,-0.0238558959591752,0.00036257883102022,-0.000882197850989321,-0.0181648588833322,0.0441664514835452,-2.22833440741865,-0.00044580754670728,0
0.2,0.000826404240754649,0.00047666158198206,-0.0413752895034698,-0.023855892223766,0.00036277721827291,-0.000882350793492632,-0.0181685119980141,0.0441692579410827,-2.22833422301074,-0.0004656500746259,0
0.21,0.000826520015791903,0.00047666159657157,-0.0413774332311604,-0.0238558918851762,0.000362868918971275,-0.000882421532939572,-0.0181702126554185,0.0441705663365688,-2.22833413944145,-0.000474697818379892,0
0.22,0.000826572751932553,0.000476661605690645,-0.0413783886954745,-0.0238558917721376,0.000362910687341266,-0.000882453757196618,-0.018170970641672,0.0441711495120651,-2.22833410168617,-0.000478794632921564,0
0.23,0.000826596558865804,0.000476661609996226,-0.0413787893516571,-0.0238558917632315,0.000362929542920364,-0.000882468304500846,-0.0181712885188657,0.0441713940643938,-2.22833408464809,-0.00048064494125858,0
0.24,0.000826607385490706,0.000476661611952762,-0.0413789440850433,-0.0238558918017206,0.000362938117775189,-0.000882474920166567,-0.018171411306236,0.044171488523573,-2.22833407696215,-0.000481479842126631,0
0.25,0.000826612216726549,0.000476661612836431,-0.0413789810514104,-0.0238558918621193,0.000362941944214973,-0.000882477872313443,-0.018171440681307,0.0441715111011142,-2.22833407349556,-0.000481856438283847,0
0.26,0.000836278697053479,0.000481337510695623,-0.0417457863900227,-0.0240899278356303,0.000367735414950625,-0.000892086611792384,-0.018318742397716,0.0445809262063206,-2.22833382210423,-0.000730153358148293,0
0.27,0.000811563909358059,0.000467854175944515,-0.0408310301087834,-0.02341511425367,0.000356412977477928,-0.000866310162936217,-0.0180070736080997,0.0434877671918124,-2.2283353189656,-3.09281933828313e-05,0
0.28,0.000811495185571239,0.000467318941505244,-0.0400652656524722,-0.0233883222134847,0.00035668600602492,-0.000865844398492519,-0.0174173616122271,0.0429985423268495,-2.22833496824988,-5.57396964257047e-05,0
0.29,0.000824707674975782,0.000475958011601771,-0.0412973470739334,-0.0238206956318463,0.000361864771791149,-0.000880756870486068,-0.0181283508974106,0.0440937559011515,-2.22833378790084,-0.000458205185406718,0
0.3,0.000816730763126043,0.000472270671809764,-0.0408760084384385,-0.0236361428857161,0.000357808260570881,-0.000872961611730628,-0.0179078358036037,0.0436900988005801,-2.2283296390732,-0.000581743094607486,0
0.31,0.00082786064162841,0.000476331502399305,-0.0413507788629836,-0.0238393786883192,0.000364134297568284,-0.000882978570221177,-0.0181593346029523,0.0441411537637892,-2.22833127371666,-0.000722561477813977,0
0.32,0.00082812544480779,0.000476637048020156,-0.0413991838623548,-0.0238546669661625,0.000364155910777385,-0.000883382759923105,-0.0181882415364773,0.0441828635371944,-2.22833267654557,-0.00062307839576142,0
0.33,0.000827454370338311,0.000476659901783309,-0.0413934367107475,-0.0238558189685998,0.000363610131271123,-0.000882990979227445,-0.018182955756759,0.0441802763836648,-2.22833341985053,-0.000551117105744285,0
0.34,0.000827020257727675,0.00047666154778093,-0.0413862323492693,-0.023855906457356,0.00036326521306566,-0.000882727094180995,-0.0181771844139732,0.0441759489739636,-2.22833377346084,-0.000514159456155164,0
0.35,0.000826802735707765,0.000476661637209363,-0.0413821967701474,-0.0238559131388287,0.000363092846356785,-0.00088259428113119,-0.0181739789914876,0.044173490792867,-2.22833393598907,-0.000496743514081253,0
0.36,0.00082670098871675,0.00047666162826757,-0.0413802191174243,-0.0238559135841894,0.000363012253987378,-0.000882532116165155,-0.0181724101479039,0.0441722838051047,-2.22833400979364,-0.000488764831826982,0
0.37,0.00082665442258814,0.00047666162050713,-0.0413792720968718,-0.0238559138314017,0.000362975372213994,-0.000882503662323917,-0.0181716589565601,0.044171705816786,-2.22833404316205,-0.000485145937242244,0
0.38,0.000826633351414943,0.000476661616723948,-0.0413788127018385,-0.0238559139867636,0.000362958683410955,-0.000882490786731496,-0.0181712945853561,0.0441714254450759,-2.22833405822407,-0.000483510460937513,0
0.39,0.000826623805358578,0.000476661614996087,-0.041378573340155,-0.0238559140996944,0.000362951122771752,-0.000882484953568557,-0.0181711047615433,0.0441712793672948,-2.22833406501902,-0.000482772328066328,0
0.4,0.000826619497991682,0.000476661614214969,-0.0413784350250007,-0.0238559141934807,0.000362947711266159,-0.000882482321529841,-0.0181709950924912,0.044171194963161,-2.22833406808343,-0.000482439352661318,0
0.41,0.000826617635346537,0.000476661613862904,-0.0413783463621334,-0.0238559142783632,0.000362946235979153,-0.00088248118336022,-0.0181709248029595,0.0441711408673863,-2.22833406946533,-0.000482289172893772,0
